0:0:0:0:0:0:0:1 - tomcat [09/Mar/2017:19:39:20 +0200] "GET /manager/html/list?org.apache.catalina.filters.CSRF_NONCE=AD065B2F1E15189051B6E0ED53304919 HTTP/1.1" 200 21593
0:0:0:0:0:0:0:1 - tomcat [09/Mar/2017:19:39:30 +0200] "POST /manager/html/undeploy?path=/mist%2D0&org.apache.catalina.filters.CSRF_NONCE=D70E392BDC9D23E2F260111D097835F0 HTTP/1.1" 200 19940
127.0.0.1 - - [09/Mar/2017:19:39:58 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:19:39:58 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - tomcat [09/Mar/2017:19:39:59 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 200 63
127.0.0.1 - - [09/Mar/2017:19:43:53 +0200] "GET /manager/text/undeploy?path=/mistBpmn HTTP/1.1" 401 2474
127.0.0.1 - tomcat [09/Mar/2017:19:43:54 +0200] "GET /manager/text/undeploy?path=/mistBpmn HTTP/1.1" 200 65
127.0.0.1 - - [09/Mar/2017:19:43:56 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:19:43:56 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:19:43:56 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:19:43:56 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
0:0:0:0:0:0:0:1 - tomcat [09/Mar/2017:19:44:33 +0200] "GET /manager/html/list?org.apache.catalina.filters.CSRF_NONCE=C05A3B8305A7797B7A37E8A13E63C0CD HTTP/1.1" 200 19890
127.0.0.1 - - [09/Mar/2017:19:47:33 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:19:47:33 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:19:47:33 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:19:47:33 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:19:48:02 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:19:48:02 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:19:48:02 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:19:48:02 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:22:49:15 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:22:49:15 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:22:49:15 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:22:49:15 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:22:53:31 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:22:53:31 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:22:53:31 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:22:53:31 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:23:02:39 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:23:02:39 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:23:02:39 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
127.0.0.1 - - [09/Mar/2017:23:02:39 +0200] "PUT /manager/text/deploy?path=/mistBpmn&update=true HTTP/1.1" 401 2474
