# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-04-01 20:40:02 UTC;285808;661924;69.84;55736;418700;912872;86.93;354996;265508;36
isaacpi;1;2017-04-01 20:40:03 UTC;285792;661940;69.84;55736;418708;912872;86.93;355004;265508;44
isaacpi;1;2017-04-01 20:40:04 UTC;285824;661908;69.84;55736;418720;912872;86.93;355016;265504;56
isaacpi;1;2017-04-01 20:40:05 UTC;285824;661908;69.84;55736;418732;912872;86.93;355028;265504;68
isaacpi;1;2017-04-01 20:40:06 UTC;285824;661908;69.84;55736;418744;912872;86.93;355040;265504;80
isaacpi;1;2017-04-01 20:40:07 UTC;285824;661908;69.84;55744;418756;912872;86.93;355060;265504;136
isaacpi;1;2017-04-01 20:40:08 UTC;285792;661940;69.84;55744;418764;912872;86.93;355068;265508;144
isaacpi;1;2017-04-01 20:40:09 UTC;285792;661940;69.84;55744;418776;912872;86.93;355080;265504;156
isaacpi;1;2017-04-01 20:40:10 UTC;285700;662032;69.85;55744;418788;912872;86.93;355092;265504;168
isaacpi;1;2017-04-01 20:40:11 UTC;285700;662032;69.85;55744;418800;912872;86.93;355104;265504;180
isaacpi;1;2017-04-01 20:40:12 UTC;285544;662188;69.87;55752;418812;912872;86.93;355116;265504;192
isaacpi;1;2017-04-01 20:40:13 UTC;285576;662156;69.87;55752;418820;912872;86.93;355132;265508;200
isaacpi;1;2017-04-01 20:40:14 UTC;285576;662156;69.87;55752;418832;912872;86.93;355144;265504;212
isaacpi;1;2017-04-01 20:40:15 UTC;285544;662188;69.87;55752;418844;912872;86.93;355156;265504;224
isaacpi;1;2017-04-01 20:40:16 UTC;285576;662156;69.87;55752;418856;912872;86.93;355180;265504;232
isaacpi;1;2017-04-01 20:40:17 UTC;285576;662156;69.87;55760;418868;912872;86.93;355180;265504;244
isaacpi;1;2017-04-01 20:40:18 UTC;285544;662188;69.87;55760;418876;912872;86.93;355196;265508;252
isaacpi;1;2017-04-01 20:40:19 UTC;285576;662156;69.87;55760;418888;912872;86.93;355208;265504;264
isaacpi;1;2017-04-01 20:40:20 UTC;285576;662156;69.87;55760;418900;912872;86.93;355220;265504;276
isaacpi;1;2017-04-01 20:40:21 UTC;285420;662312;69.88;55760;418912;912872;86.93;355232;265504;288
isaacpi;1;2017-04-01 20:40:22 UTC;285420;662312;69.88;55768;418924;912872;86.93;355252;265504;300
isaacpi;1;2017-04-01 20:40:23 UTC;285420;662312;69.88;55768;418932;912872;86.93;355260;265508;308
isaacpi;1;2017-04-01 20:40:24 UTC;285420;662312;69.88;55768;418944;912872;86.93;355272;265504;320
isaacpi;1;2017-04-01 20:40:25 UTC;285452;662280;69.88;55768;418956;912872;86.93;355284;265504;332
isaacpi;1;2017-04-01 20:40:26 UTC;285452;662280;69.88;55768;418968;912872;86.93;355296;265504;344
isaacpi;1;2017-04-01 20:40:27 UTC;285420;662312;69.88;55776;418980;912872;86.93;355316;265504;356
isaacpi;1;2017-04-01 20:40:28 UTC;285420;662312;69.88;55776;418988;912872;86.93;355324;265508;364
isaacpi;1;2017-04-01 20:40:29 UTC;285420;662312;69.88;55776;419000;912872;86.93;355336;265504;376
isaacpi;1;2017-04-01 20:40:30 UTC;285452;662280;69.88;55776;419012;912872;86.93;355348;265504;388
isaacpi;1;2017-04-01 20:40:31 UTC;285452;662280;69.88;55776;419024;912872;86.93;355372;265504;400
isaacpi;1;2017-04-01 20:40:32 UTC;285528;662204;69.87;55784;419036;913812;87.02;355380;265508;420
isaacpi;1;2017-04-01 20:40:33 UTC;285544;662188;69.87;55784;419044;913812;87.02;355388;265508;428
isaacpi;1;2017-04-01 20:40:34 UTC;285576;662156;69.87;55784;419056;913812;87.02;355400;265504;440
isaacpi;1;2017-04-01 20:40:35 UTC;285544;662188;69.87;55784;419068;913812;87.02;355412;265504;452
isaacpi;1;2017-04-01 20:40:36 UTC;285576;662156;69.87;55784;419080;913812;87.02;355436;265504;64
isaacpi;1;2017-04-01 20:40:37 UTC;285576;662156;69.87;55788;419092;913812;87.02;355440;265504;80
isaacpi;1;2017-04-01 20:40:38 UTC;285544;662188;69.87;55792;419100;913812;87.02;355448;265508;96
isaacpi;1;2017-04-01 20:40:39 UTC;285452;662280;69.88;55792;419112;913812;87.02;355464;265504;108
isaacpi;1;2017-04-01 20:40:40 UTC;285452;662280;69.88;55792;419124;913812;87.02;355476;265504;120
isaacpi;1;2017-04-01 20:40:41 UTC;285420;662312;69.88;55792;419136;913812;87.02;355500;265504;80
isaacpi;1;2017-04-01 20:40:42 UTC;285452;662280;69.88;55800;419148;913812;87.02;355504;265504;92
isaacpi;1;2017-04-01 20:40:43 UTC;285388;662344;69.89;55800;419160;913812;87.02;355516;265508;108
isaacpi;1;2017-04-01 20:40:44 UTC;285420;662312;69.88;55800;419168;913812;87.02;355528;265508;116
isaacpi;1;2017-04-01 20:40:45 UTC;285420;662312;69.88;55800;419180;913812;87.02;355548;265504;128
isaacpi;1;2017-04-01 20:40:46 UTC;285420;662312;69.88;55800;419192;913812;87.02;355560;265504;140
isaacpi;1;2017-04-01 20:40:47 UTC;285452;662280;69.88;55808;419204;913812;87.02;355572;265504;156
isaacpi;1;2017-04-01 20:40:48 UTC;285420;662312;69.88;55808;419216;913812;87.02;355588;265508;168
isaacpi;1;2017-04-01 20:40:49 UTC;285452;662280;69.88;55808;419224;913812;87.02;355600;265508;176
isaacpi;1;2017-04-01 20:40:50 UTC;285328;662404;69.89;55808;419236;913812;87.02;355612;265504;188
isaacpi;1;2017-04-01 20:40:51 UTC;285328;662404;69.89;55808;419248;913812;87.02;355624;265504;200
isaacpi;1;2017-04-01 20:40:52 UTC;285328;662404;69.89;55816;419260;913812;87.02;355644;265504;212
isaacpi;1;2017-04-01 20:40:53 UTC;285296;662436;69.90;55816;419272;913812;87.02;355652;265508;224
isaacpi;1;2017-04-01 20:40:54 UTC;285296;662436;69.90;55816;419280;913812;87.02;355664;265508;232
isaacpi;1;2017-04-01 20:40:55 UTC;285328;662404;69.89;55816;419292;913812;87.02;355676;265504;244
isaacpi;1;2017-04-01 20:40:56 UTC;285452;662280;69.88;55816;419304;913812;87.02;355688;265504;256
isaacpi;1;2017-04-01 20:40:57 UTC;285296;662436;69.90;55824;419316;913812;87.02;355708;265504;268
isaacpi;1;2017-04-01 20:40:58 UTC;285296;662436;69.90;55824;419328;913812;87.02;355720;265504;280
isaacpi;1;2017-04-01 20:40:59 UTC;285296;662436;69.90;55824;419336;913812;87.02;355728;265508;288
isaacpi;1;2017-04-01 20:41:00 UTC;285204;662528;69.91;55824;419348;913812;87.02;355740;265504;300
isaacpi;1;2017-04-01 20:41:01 UTC;285080;662652;69.92;55824;419360;913812;87.02;355764;265504;312
isaacpi;1;2017-04-01 20:41:02 UTC;284816;662916;69.95;55832;419372;914736;87.11;355776;265504;332
isaacpi;1;2017-04-01 20:41:03 UTC;284832;662900;69.95;55832;419384;914736;87.11;355784;265504;344
isaacpi;1;2017-04-01 20:41:04 UTC;284800;662932;69.95;55832;419392;914736;87.11;355792;265508;352
isaacpi;1;2017-04-01 20:41:05 UTC;284800;662932;69.95;55832;419404;914736;87.11;355804;265504;364
isaacpi;1;2017-04-01 20:41:06 UTC;284832;662900;69.95;55832;419416;914736;87.11;355828;265504;368
isaacpi;1;2017-04-01 20:41:07 UTC;284708;663024;69.96;55840;419428;914736;87.11;355836;265504;384
isaacpi;1;2017-04-01 20:41:08 UTC;284708;663024;69.96;55840;419440;914736;87.11;355848;265504;396
isaacpi;1;2017-04-01 20:41:09 UTC;284708;663024;69.96;55840;419448;914736;87.11;355856;265508;404
isaacpi;1;2017-04-01 20:41:10 UTC;284708;663024;69.96;55840;419460;914736;87.11;355868;265504;416
isaacpi;1;2017-04-01 20:41:11 UTC;284676;663056;69.96;55840;419472;914736;87.11;355892;265504;32
isaacpi;1;2017-04-01 20:41:12 UTC;284708;663024;69.96;55848;419484;914736;87.11;355900;265504;56
isaacpi;1;2017-04-01 20:41:13 UTC;284676;663056;69.96;55848;419496;914736;87.11;355912;265504;68
isaacpi;1;2017-04-01 20:41:14 UTC;284708;663024;69.96;55848;419504;914736;87.11;355920;265508;76
isaacpi;1;2017-04-01 20:41:15 UTC;284708;663024;69.96;55848;419516;914736;87.11;355932;265504;88
isaacpi;1;2017-04-01 20:41:16 UTC;284708;663024;69.96;55848;419528;914736;87.11;355956;265504;96
isaacpi;1;2017-04-01 20:41:17 UTC;281972;665760;70.25;55856;419540;914736;87.11;359060;265432;112
isaacpi;1;2017-04-01 20:41:18 UTC;278872;668860;70.57;55856;419552;916592;87.28;362504;264932;128
isaacpi;1;2017-04-01 20:41:19 UTC;275860;671872;70.89;55856;419560;916592;87.28;364508;264932;136
isaacpi;1;2017-04-01 20:41:20 UTC;276780;670952;70.80;55856;419572;916592;87.28;364524;264928;148
isaacpi;1;2017-04-01 20:41:21 UTC;276780;670952;70.80;55856;419584;916592;87.28;364548;264928;140
isaacpi;1;2017-04-01 20:41:22 UTC;276748;670984;70.80;55864;419596;916592;87.28;364568;264928;192
