# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu-512mb-lon1-01;1;2017-04-01 17:47:47 UTC;174500;841260;82.82;102756;162876;901280;88.73;656820;99948;56
ubuntu-512mb-lon1-01;1;2017-04-01 17:47:48 UTC;174500;841260;82.82;102756;162876;901280;88.73;656820;99948;56
ubuntu-512mb-lon1-01;1;2017-04-01 17:47:49 UTC;174500;841260;82.82;102756;162900;901280;88.73;656840;99984;112
ubuntu-512mb-lon1-01;1;2017-04-01 17:47:50 UTC;174500;841260;82.82;102756;162900;901280;88.73;656840;99984;112
ubuntu-512mb-lon1-01;1;2017-04-01 17:47:51 UTC;174500;841260;82.82;102756;162924;901280;88.73;656840;99984;136
ubuntu-512mb-lon1-01;1;2017-04-01 17:47:52 UTC;174500;841260;82.82;102756;162924;901280;88.73;656840;99984;136
ubuntu-512mb-lon1-01;1;2017-04-01 17:47:53 UTC;174500;841260;82.82;102756;162948;901280;88.73;656840;99984;160
ubuntu-512mb-lon1-01;1;2017-04-01 17:47:54 UTC;174500;841260;82.82;102760;162960;901280;88.73;656844;100036;172
ubuntu-512mb-lon1-01;1;2017-04-01 17:47:55 UTC;174500;841260;82.82;102760;162972;901280;88.73;656844;100036;184
ubuntu-512mb-lon1-01;1;2017-04-01 17:47:56 UTC;174500;841260;82.82;102760;162984;901280;88.73;656844;100036;196
ubuntu-512mb-lon1-01;1;2017-04-01 17:47:57 UTC;174376;841384;82.83;102760;163000;901280;88.73;656844;100036;212
ubuntu-512mb-lon1-01;1;2017-04-01 17:47:58 UTC;174376;841384;82.83;102760;163012;901280;88.73;656844;100092;224
ubuntu-512mb-lon1-01;1;2017-04-01 17:47:59 UTC;174376;841384;82.83;102764;163024;901280;88.73;656844;100092;236
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:00 UTC;174376;841384;82.83;102764;163036;901280;88.73;656844;100092;248
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:01 UTC;174376;841384;82.83;102764;163048;901280;88.73;656844;100092;260
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:02 UTC;174376;841384;82.83;102764;163048;901280;88.73;656844;100128;260
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:03 UTC;174376;841384;82.83;102764;163072;901280;88.73;656848;100144;284
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:04 UTC;174376;841384;82.83;102768;163084;901280;88.73;656848;100144;300
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:05 UTC;174376;841384;82.83;102768;163096;901280;88.73;656848;100144;312
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:06 UTC;174252;841508;82.85;102768;163108;901280;88.73;656860;100192;324
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:07 UTC;174252;841508;82.85;102768;163108;901280;88.73;656860;100192;324
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:08 UTC;174252;841508;82.85;102768;163132;901280;88.73;656860;100192;348
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:09 UTC;174252;841508;82.85;102768;163132;901280;88.73;656860;100192;348
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:10 UTC;174252;841508;82.85;102768;163156;901280;88.73;656860;100192;372
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:11 UTC;174252;841508;82.85;102768;163172;901280;88.73;656860;100256;344
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:12 UTC;174252;841508;82.85;102768;163184;901280;88.73;656860;100256;356
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:13 UTC;174128;841632;82.86;102768;163184;901280;88.73;656896;100256;356
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:14 UTC;174128;841632;82.86;102772;163208;901280;88.73;656896;100276;384
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:15 UTC;174128;841632;82.86;102772;163220;901280;88.73;656896;100276;396
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:16 UTC;174128;841632;82.86;102772;163232;901280;88.73;656896;100276;408
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:17 UTC;174128;841632;82.86;102772;163244;901280;88.73;656900;100328;420
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:18 UTC;174128;841632;82.86;102772;163256;901280;88.73;656900;100328;432
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:19 UTC;174128;841632;82.86;102772;163256;901280;88.73;656900;100328;432
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:20 UTC;174128;841632;82.86;102772;163280;901280;88.73;656900;100328;464
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:21 UTC;174128;841632;82.86;102772;163280;901280;88.73;656900;100364;48
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:22 UTC;174004;841756;82.87;102772;163304;901280;88.73;656908;100376;56
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:23 UTC;174004;841756;82.87;102772;163316;901280;88.73;656908;100376;68
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:24 UTC;174004;841756;82.87;102772;163328;901280;88.73;656908;100376;88
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:25 UTC;174256;841504;82.84;102772;163328;901280;88.73;656908;100412;88
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:26 UTC;174028;841732;82.87;102772;163356;901280;88.73;656908;100436;116
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:27 UTC;174028;841732;82.87;102772;163356;901280;88.73;656908;100436;116
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:28 UTC;174028;841732;82.87;102772;163380;901280;88.73;656908;100436;140
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:29 UTC;171920;843840;83.07;102772;163392;901280;88.73;658928;100488;152
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:30 UTC;171920;843840;83.07;102772;163404;901280;88.73;658976;100496;164
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:31 UTC;171920;843840;83.07;102772;163416;901280;88.73;658976;100496;176
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:32 UTC;171920;843840;83.07;102772;163428;901280;88.73;658976;100496;188
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:33 UTC;171920;843840;83.07;102772;163440;901280;88.73;658976;100496;200
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:34 UTC;171920;843840;83.07;102772;163452;901280;88.73;658976;100496;212
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:35 UTC;172064;843696;83.06;102772;163464;901280;88.73;658976;100552;224
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:36 UTC;171832;843928;83.08;102772;163476;901280;88.73;658968;100568;236
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:37 UTC;171832;843928;83.08;102772;163476;901280;88.73;658968;100568;236
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:38 UTC;171832;843928;83.08;102772;163500;901280;88.73;658968;100592;252
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:39 UTC;171832;843928;83.08;102772;163500;901280;88.73;658968;100592;252
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:40 UTC;171832;843928;83.08;102772;163528;901280;88.73;658968;100592;284
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:41 UTC;171832;843928;83.08;102772;163528;901280;88.73;658968;100592;284
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:42 UTC;171832;843928;83.08;102772;163552;901280;88.73;658968;100648;308
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:43 UTC;171832;843928;83.08;102772;163552;901280;88.73;658968;100648;308
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:44 UTC;171708;844052;83.10;102776;163576;901280;88.73;658996;100676;332
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:45 UTC;171708;844052;83.10;102776;163576;901280;88.73;658996;100676;332
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:46 UTC;171708;844052;83.10;102776;163600;901280;88.73;658996;100676;356
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:47 UTC;171708;844052;83.10;102776;163600;901280;88.73;658996;100712;0
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:48 UTC;171708;844052;83.10;102776;163624;901280;88.73;658996;100716;40
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:49 UTC;171708;844052;83.10;102776;163636;901280;88.73;658996;100716;72
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:50 UTC;171708;844052;83.10;102776;163648;901280;88.73;658996;100716;84
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:51 UTC;171708;844052;83.10;102776;163648;901280;88.73;658996;100716;84
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:52 UTC;171708;844052;83.10;102776;163672;901280;88.73;658996;100772;108
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:53 UTC;171708;844052;83.10;102776;163684;901280;88.73;658996;100772;124
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:54 UTC;171584;844176;83.11;102784;163700;901280;88.73;658996;100772;140
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:55 UTC;171584;844176;83.11;102784;163712;901280;88.73;658996;100772;152
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:56 UTC;171584;844176;83.11;102784;163724;901280;88.73;659004;100820;164
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:57 UTC;171584;844176;83.11;102784;163736;901280;88.73;659004;100820;176
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:58 UTC;171584;844176;83.11;102784;163748;901280;88.73;659004;100820;188
ubuntu-512mb-lon1-01;1;2017-04-01 17:48:59 UTC;171584;844176;83.11;102788;163760;901280;88.73;659004;100820;200
ubuntu-512mb-lon1-01;1;2017-04-01 17:49:00 UTC;171584;844176;83.11;102788;163772;901280;88.73;659008;100872;212
ubuntu-512mb-lon1-01;1;2017-04-01 17:49:01 UTC;171584;844176;83.11;102788;163772;901280;88.73;659008;100872;212
ubuntu-512mb-lon1-01;1;2017-04-01 17:49:02 UTC;171584;844176;83.11;102788;163796;901280;88.73;659008;100872;236
ubuntu-512mb-lon1-01;1;2017-04-01 17:49:03 UTC;171460;844300;83.12;102788;163808;901280;88.73;659008;100872;248
ubuntu-512mb-lon1-01;1;2017-04-01 17:49:04 UTC;171460;844300;83.12;102788;163820;901280;88.73;659008;100872;260
ubuntu-512mb-lon1-01;1;2017-04-01 17:49:05 UTC;171460;844300;83.12;102792;163832;901280;88.73;659008;100928;272
ubuntu-512mb-lon1-01;1;2017-04-01 17:49:06 UTC;171460;844300;83.12;102792;163844;901280;88.73;659008;100928;284
ubuntu-512mb-lon1-01;1;2017-04-01 17:49:07 UTC;171460;844300;83.12;102792;163856;901280;88.73;659008;100928;296
ubuntu-512mb-lon1-01;1;2017-04-01 17:49:08 UTC;171460;844300;83.12;102792;163872;901280;88.73;659016;100976;312
ubuntu-512mb-lon1-01;1;2017-04-01 17:49:09 UTC;171460;844300;83.12;102792;163884;901280;88.73;659016;100976;324
ubuntu-512mb-lon1-01;1;2017-04-01 17:49:10 UTC;171460;844300;83.12;102796;163892;901280;88.73;659016;100976;336
