sep=;
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
docker10;1;2017-07-18 18:26:43 UTC;321188;694956;68.39;18088;233440;687692;67.68;490108;146464;48
docker10;1;2017-07-18 18:26:44 UTC;321180;694964;68.39;18088;233452;687692;67.68;490108;146464;60
docker10;1;2017-07-18 18:26:45 UTC;321188;694956;68.39;18088;233460;687692;67.68;490108;146464;68
docker10;1;2017-07-18 18:26:46 UTC;317752;698392;68.73;18088;233472;687692;67.68;490912;146464;76
docker10;1;2017-07-18 18:26:47 UTC;317768;698376;68.73;18088;233484;687692;67.68;492960;146464;88
docker10;1;2017-07-18 18:26:48 UTC;317768;698376;68.73;18096;233492;687692;67.68;492960;146464;100
docker10;1;2017-07-18 18:26:49 UTC;317116;699028;68.79;18096;233508;691648;68.07;493824;146472;112
docker10;1;2017-07-18 18:26:50 UTC;316984;699160;68.81;18096;233516;691648;68.07;493824;146472;120
docker10;1;2017-07-18 18:26:51 UTC;317668;698476;68.74;18096;233524;691648;68.07;493040;146456;128
docker10;1;2017-07-18 18:26:52 UTC;317556;698588;68.75;18096;233536;691648;68.07;493124;146460;140
docker10;1;2017-07-18 18:26:53 UTC;317540;698604;68.75;18104;233544;691648;68.07;493124;146460;148
docker10;1;2017-07-18 18:26:54 UTC;317540;698604;68.75;18104;233556;691648;68.07;493124;146460;160
docker10;1;2017-07-18 18:26:55 UTC;317540;698604;68.75;18104;233568;691648;68.07;493124;146460;172
docker10;1;2017-07-18 18:26:56 UTC;317484;698660;68.76;18104;233576;691648;68.07;491172;146456;168
docker10;16;2017-07-18 18:27:12 UTC;315944;700200;68.91;18112;235504;687648;67.67;495120;146484;280
docker10;1;2017-07-18 18:27:13 UTC;315968;700176;68.91;18112;235520;687648;67.67;495168;146464;296
docker10;1;2017-07-18 18:27:14 UTC;315968;700176;68.91;18112;235528;687648;67.67;495168;146464;304
docker10;1;2017-07-18 18:27:15 UTC;315960;700184;68.91;18112;235540;687648;67.67;495168;146464;316
docker10;1;2017-07-18 18:27:16 UTC;311016;705128;69.39;18116;235556;687648;67.67;497560;146452;112
docker10;1;2017-07-18 18:27:17 UTC;311040;705104;69.39;18116;235568;687648;67.67;497560;146452;128
docker10;1;2017-07-18 18:27:18 UTC;311040;705104;69.39;18124;235580;687648;67.67;499620;146452;160
docker10;1;2017-07-18 18:27:19 UTC;311040;705104;69.39;18124;235588;687648;67.67;499620;146452;168
docker10;1;2017-07-18 18:27:20 UTC;311040;705104;69.39;18124;235600;687648;67.67;499620;146452;180
docker10;1;2017-07-18 18:27:21 UTC;310048;706096;69.49;18124;236696;687648;67.67;500972;146456;1284
docker10;1;2017-07-18 18:27:22 UTC;302592;713552;70.22;18124;242948;687648;67.67;505260;149364;7536
docker10;1;2017-07-18 18:27:23 UTC;297728;718416;70.70;18132;242940;687648;67.67;510712;148864;7676
docker10;1;2017-07-18 18:27:24 UTC;291016;725128;71.36;18132;242948;687648;67.67;517412;148864;7684
docker10;1;2017-07-18 18:27:25 UTC;280948;735196;72.35;18136;243224;703760;69.26;527460;148848;7740
docker10;1;2017-07-18 18:27:26 UTC;278848;737296;72.56;18140;243344;703760;69.26;528880;148920;7860
docker10;1;2017-07-18 18:27:27 UTC;278944;737200;72.55;18140;243668;703760;69.26;529068;149052;8144
docker10;1;2017-07-18 18:27:28 UTC;278048;738096;72.64;18148;244268;703760;69.26;529716;149284;8752
docker10;1;2017-07-18 18:27:29 UTC;277064;739080;72.73;18148;245168;703760;69.26;530208;149736;9656
docker10;1;2017-07-18 18:27:30 UTC;275772;740372;72.86;18148;246484;703760;69.26;530880;150360;10972
docker10;1;2017-07-18 18:27:31 UTC;274028;742116;73.03;18148;248180;703760;69.26;531824;151176;12400
docker10;1;2017-07-18 18:27:32 UTC;271588;744556;73.27;18148;250672;703760;69.26;533080;152384;14892
docker10;1;2017-07-18 18:27:33 UTC;268228;747916;73.60;18156;253800;703760;69.26;534676;153940;18040
docker10;1;2017-07-18 18:27:34 UTC;264080;752064;74.01;18156;257820;703760;69.26;536704;155896;22060
docker10;1;2017-07-18 18:27:35 UTC;256756;759388;74.73;18156;264760;703760;69.26;540244;159328;29000
docker10;1;2017-07-18 18:27:36 UTC;217720;798424;78.57;18436;287008;846484;83.30;559156;177372;7860
docker10;1;2017-07-18 18:27:37 UTC;165196;850948;83.74;18652;317676;905900;89.15;609348;178876;7932
docker10;1;2017-07-18 18:27:38 UTC;144988;871156;85.73;18652;320844;905900;89.15;627956;180412;7940
docker10;1;2017-07-18 18:27:39 UTC;136300;879844;86.59;18652;323924;962828;94.75;635124;182008;7952
docker10;1;2017-07-18 18:27:40 UTC;113980;902164;88.78;18652;329924;966932;95.16;653260;186000;7968
docker10;1;2017-07-18 18:27:41 UTC;101564;914580;90.00;18652;330920;971916;95.65;665260;186368;7976
docker10;1;2017-07-18 18:27:42 UTC;83644;932500;91.77;18660;333900;971916;95.65;681524;188176;7988
docker10;1;2017-07-18 18:27:43 UTC;76272;939872;92.49;18660;335192;982032;96.64;688164;188740;8012
docker10;1;2017-07-18 18:27:44 UTC;68272;947872;93.28;18660;336248;986228;97.06;696216;188740;8020
docker10;1;2017-07-18 18:27:45 UTC;62444;953700;93.85;18660;337572;986228;97.06;701332;189232;8032
docker10;1;2017-07-18 18:27:46 UTC;70628;945516;93.05;16496;321796;990280;97.45;702436;179648;8036
docker10;1;2017-07-18 18:27:47 UTC;68760;947384;93.23;16496;322060;990280;97.45;704688;179748;8024
docker10;1;2017-07-18 18:27:48 UTC;61204;954940;93.98;16504;322984;1005380;98.94;711676;180140;8036
docker10;1;2017-07-18 18:27:49 UTC;75832;940312;92.54;16024;305800;1005380;98.94;715032;162204;8048
docker10;1;2017-07-18 18:27:50 UTC;72136;944008;92.90;16040;306676;1009560;99.35;718252;162700;8060
docker10;1;2017-07-18 18:27:51 UTC;62276;953868;93.87;16044;308508;1013928;99.78;727088;163484;4080
docker10;1;2017-07-18 18:27:52 UTC;67940;948204;93.31;15408;298864;1018024;100.19;730196;154844;4092
docker10;1;2017-07-18 18:27:53 UTC;69524;946620;93.16;14640;278760;1035436;101.90;743928;139548;4140
docker10;1;2017-07-18 18:27:54 UTC;64692;951452;93.63;14640;278856;1039548;102.30;750036;138292;4144
docker10;1;2017-07-18 18:27:55 UTC;62516;953628;93.85;14640;279116;1039548;102.30;752176;138280;4156
docker10;1;2017-07-18 18:27:56 UTC;74728;941416;92.65;14492;264324;1043664;102.71;748160;130052;420
docker10;1;2017-07-18 18:27:57 UTC;69108;947036;93.20;14492;264532;1043664;102.71;754128;129856;432
docker10;1;2017-07-18 18:27:58 UTC;63824;952320;93.72;14500;265172;1052700;103.60;759192;129960;528
docker10;1;2017-07-18 18:27:59 UTC;70156;945988;93.10;11276;234176;1126952;110.90;763564;118708;552
docker10;1;2017-07-18 18:28:00 UTC;65292;950852;93.57;7220;206620;1126952;110.90;778920;108724;552
docker10;1;2017-07-18 18:28:01 UTC;68524;947620;93.26;6356;204396;1126952;110.90;772944;111628;560
docker10;1;2017-07-18 18:28:02 UTC;79112;937032;92.21;5824;198736;1127572;110.97;766156;107388;576
docker10;1;2017-07-18 18:28:03 UTC;79116;937028;92.21;5832;198756;1127572;110.97;766156;107404;584
docker10;1;2017-07-18 18:28:04 UTC;79116;937028;92.21;5832;198768;1127572;110.97;766156;107404;596
docker10;1;2017-07-18 18:28:05 UTC;79116;937028;92.21;5832;198776;1127572;110.97;766156;107404;604
docker10;1;2017-07-18 18:28:06 UTC;317012;699132;68.80;6628;205012;732224;72.06;530080;107684;292
docker10;1;2017-07-18 18:28:07 UTC;317196;698948;68.78;6628;205044;728268;71.67;530052;107644;336
docker10;1;2017-07-18 18:28:08 UTC;332520;683624;67.28;6800;190072;728268;71.67;523128;99804;292
docker10;1;2017-07-18 18:28:09 UTC;332600;683544;67.27;6800;190336;728268;71.67;523224;99920;604
docker10;1;2017-07-18 18:28:10 UTC;332256;683888;67.30;6800;190800;728268;71.67;523468;100140;1068
docker10;1;2017-07-18 18:28:11 UTC;331708;684436;67.36;6800;191572;728268;71.67;523864;100464;1828
docker10;1;2017-07-18 18:28:12 UTC;330500;685644;67.48;6800;192804;728268;71.67;524476;101104;3060
docker10;1;2017-07-18 18:28:13 UTC;328520;687624;67.67;6812;194580;728268;71.67;525404;101976;4952
docker10;1;2017-07-18 18:28:14 UTC;326012;690132;67.92;6812;197204;728268;71.67;526752;103284;7568
docker10;1;2017-07-18 18:28:15 UTC;322720;693424;68.24;6812;200436;728268;71.67;528376;104884;10800
docker10;1;2017-07-18 18:28:16 UTC;318968;697176;68.61;6812;203940;728268;71.67;530180;106604;14300
docker10;1;2017-07-18 18:28:17 UTC;314008;702136;69.10;6812;208840;728268;71.67;532656;108996;19204
docker10;1;2017-07-18 18:28:18 UTC;306884;709260;69.80;6820;215668;728268;71.67;536104;112348;26040
docker10;1;2017-07-18 18:28:19 UTC;273416;742728;73.09;7040;225168;930372;91.56;574780;105592;640
docker10;1;2017-07-18 18:28:20 UTC;246636;769508;75.73;7052;233260;939296;92.44;600024;107160;656
docker10;1;2017-07-18 18:28:21 UTC;226164;789980;77.74;7064;238400;947296;93.22;618500;108556;668
docker10;1;2017-07-18 18:28:22 UTC;210824;805320;79.25;7196;243140;999732;98.38;631240;111620;676
docker10;1;2017-07-18 18:28:23 UTC;199228;816916;80.39;7196;244376;999732;98.38;642760;111756;700
docker10;1;2017-07-18 18:28:24 UTC;177836;838308;82.50;7196;245308;1003796;98.78;664072;111708;708
docker10;1;2017-07-18 18:28:25 UTC;175868;840276;82.69;7204;245936;1007780;99.18;666276;111516;740
docker10;1;2017-07-18 18:28:26 UTC;169232;846912;83.35;7204;246052;1020012;100.38;673264;111144;380
docker10;1;2017-07-18 18:28:27 UTC;157664;858480;84.48;7204;246044;1023992;100.77;685348;110152;392
docker10;1;2017-07-18 18:28:28 UTC;148272;867872;85.41;7204;246076;1023488;100.72;695584;109628;404
docker10;1;2017-07-18 18:28:29 UTC;145172;870972;85.71;7204;246124;1027504;101.12;699072;109484;416
docker10;1;2017-07-18 18:28:30 UTC;141328;874816;86.09;7212;246252;1027504;101.12;703008;109212;424
docker10;1;2017-07-18 18:28:31 UTC;135436;880708;86.67;7216;246588;1039172;102.27;708800;109336;424
docker10;1;2017-07-18 18:28:32 UTC;132924;883220;86.92;7236;246760;1043228;102.67;711072;109512;436
docker10;1;2017-07-18 18:28:33 UTC;127852;888292;87.42;7236;246948;1047720;103.11;715756;109628;448
docker10;1;2017-07-18 18:28:34 UTC;123388;892756;87.86;7236;246964;1047720;103.11;720236;109640;460
docker10;1;2017-07-18 18:28:35 UTC;96844;919300;90.47;7244;257708;1078660;106.15;745232;111112;500
docker10;1;2017-07-18 18:28:36 UTC;90588;925556;91.09;7244;257716;1082652;106.55;751292;111128;508
docker10;1;2017-07-18 18:28:37 UTC;88608;927536;91.28;7244;257820;1082652;106.55;753612;111132;520
docker10;1;2017-07-18 18:28:38 UTC;83832;932312;91.75;7244;257832;1082652;106.55;758436;111140;528
docker10;1;2017-07-18 18:28:39 UTC;80224;935920;92.11;7244;257844;1086644;106.94;762048;111140;540
docker10;1;2017-07-18 18:28:40 UTC;76316;939828;92.49;7252;258032;1086644;106.94;765848;111144;556
docker10;1;2017-07-18 18:28:41 UTC;70840;945304;93.03;7252;258280;1095940;107.85;771276;111140;280
docker10;1;2017-07-18 18:28:42 UTC;70968;945176;93.02;4956;190872;1170256;115.17;786280;96048;304
docker10;1;2017-07-18 18:28:43 UTC;66352;949792;93.47;4956;197848;1170256;115.17;791756;95268;312
docker10;1;2017-07-18 18:28:44 UTC;77976;938168;92.33;3952;187372;1170256;115.17;785512;90044;324
docker10;1;2017-07-18 18:28:45 UTC;77060;939084;92.42;3964;187504;1171104;115.25;786300;89656;340
docker10;1;2017-07-18 18:28:46 UTC;77060;939084;92.42;3964;187520;1171104;115.25;786324;89652;364
docker10;1;2017-07-18 18:28:47 UTC;77060;939084;92.42;3964;187532;1171104;115.25;786324;89652;380
docker10;1;2017-07-18 18:28:48 UTC;77092;939052;92.41;4000;187560;1171104;115.25;786360;89652;392
docker10;1;2017-07-18 18:28:49 UTC;337096;679048;66.83;4024;187772;730500;71.89;533432;84764;428
docker10;1;2017-07-18 18:28:50 UTC;337268;678876;66.81;4024;187784;730500;71.89;533380;84764;440
docker10;1;2017-07-18 18:28:51 UTC;336184;679960;66.92;4216;188488;728268;71.67;534848;84984;396
docker10;1;2017-07-18 18:28:52 UTC;336184;679960;66.92;4216;188496;728268;71.67;534848;84984;404
docker10;1;2017-07-18 18:28:53 UTC;335448;680696;66.99;4216;188976;728268;71.67;534976;85452;416
docker10;1;2017-07-18 18:28:54 UTC;335448;680696;66.99;4216;189012;728268;71.67;535004;85460;424
docker10;1;2017-07-18 18:28:55 UTC;335448;680696;66.99;4216;189024;728268;71.67;535004;85460;436
docker10;1;2017-07-18 18:28:56 UTC;335324;680820;67.00;4232;189036;728268;71.67;535060;85456;556
docker10;1;2017-07-18 18:28:57 UTC;335324;680820;67.00;4232;189044;728268;71.67;535060;85456;564
