# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
docker10;1;2017-07-18 19:16:13 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:13 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:13 UTC;eth0;5.05;0.00;0.33;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:14 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:14 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:14 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:15 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:15 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:15 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:16 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:16 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:16 UTC;eth0;180.81;59.60;252.94;3.92;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:17 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:17 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:17 UTC;eth0;2895.35;1168.60;4110.18;75.63;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:18 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:18 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:18 UTC;eth0;5.00;2.00;1.22;0.14;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:19 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:19 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:19 UTC;eth0;34.00;28.00;31.95;21.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:20 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:20 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:20 UTC;eth0;185.71;38.78;222.66;60.85;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:21 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:21 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:21 UTC;eth0;18.00;14.00;12.72;6.72;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:22 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:22 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:22 UTC;eth0;1.00;1.00;0.06;0.06;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:23 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:23 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:23 UTC;eth0;1.02;2.04;0.07;0.13;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:24 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:24 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:24 UTC;eth0;1.00;1.00;0.06;1.42;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:25 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:25 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:25 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:26 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:26 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:26 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:27 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:27 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:27 UTC;eth0;0.00;0.99;0.00;0.06;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:28 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:28 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:28 UTC;eth0;1.00;1.00;0.06;1.42;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:29 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:29 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:29 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:30 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:30 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:30 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:31 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:31 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:31 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:32 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:32 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:32 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:33 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:33 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:33 UTC;eth0;7.07;5.05;0.56;0.51;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:34 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:34 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:34 UTC;eth0;2.00;2.00;0.13;1.52;0.00;0.00;0.00;0.00
docker10;1;2017-07-18 19:16:35 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
