sep=;
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-07-18 19:22:49 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-18 19:22:50 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-18 19:22:51 UTC;-1;2.30;0.00;0.77;0.00;0.00;96.94
isaacpi;1;2017-07-18 19:22:52 UTC;-1;0.00;0.00;7.87;0.00;0.00;92.13
isaacpi;1;2017-07-18 19:22:53 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-18 19:22:54 UTC;-1;0.00;0.00;0.00;0.50;0.00;99.50
isaacpi;1;2017-07-18 19:22:55 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-07-18 19:22:56 UTC;-1;1.50;0.00;1.00;0.00;0.00;97.49
isaacpi;1;2017-07-18 19:22:57 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-18 19:22:58 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.49
isaacpi;1;2017-07-18 19:22:59 UTC;-1;0.25;0.00;0.50;0.25;0.00;99.00
isaacpi;1;2017-07-18 19:23:00 UTC;-1;0.00;0.00;0.51;0.00;0.00;99.49
isaacpi;1;2017-07-18 19:23:01 UTC;-1;0.76;0.00;0.25;0.00;0.00;98.99
isaacpi;1;2017-07-18 19:23:02 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-18 19:23:03 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-18 19:23:04 UTC;-1;0.25;0.00;0.50;0.25;0.00;98.99
isaacpi;1;2017-07-18 19:23:05 UTC;-1;0.25;0.00;0.51;0.00;0.00;99.24
isaacpi;1;2017-07-18 19:23:06 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-18 19:23:07 UTC;-1;4.79;0.00;0.50;0.00;0.00;94.71
isaacpi;1;2017-07-18 19:23:08 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.49
isaacpi;1;2017-07-18 19:23:09 UTC;-1;0.00;0.00;0.50;0.25;0.00;99.24
isaacpi;1;2017-07-18 19:23:10 UTC;-1;0.75;0.00;0.00;0.00;0.00;99.25
isaacpi;1;2017-07-18 19:23:11 UTC;-1;0.75;0.00;0.00;0.00;0.00;99.25
isaacpi;1;2017-07-18 19:23:12 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-18 19:23:13 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.24
isaacpi;1;2017-07-18 19:23:14 UTC;-1;0.25;0.00;0.25;0.25;0.00;99.25
