sep=;
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-07-18 19:22:49 UTC;504308;443424;46.79;31876;234708;846424;80.60;276676;129800;68
isaacpi;1;2017-07-18 19:22:50 UTC;504332;443400;46.79;31876;234716;846424;80.60;276684;129804;76
isaacpi;1;2017-07-18 19:22:51 UTC;504100;443632;46.81;31876;234732;846424;80.60;276732;129804;96
isaacpi;1;2017-07-18 19:22:52 UTC;502708;445024;46.96;31876;234744;846424;80.60;276752;129804;108
isaacpi;1;2017-07-18 19:22:53 UTC;504188;443544;46.80;31876;234756;846424;80.60;276764;129804;120
isaacpi;1;2017-07-18 19:22:54 UTC;504284;443448;46.79;31884;234768;846424;80.60;276776;129804;184
isaacpi;1;2017-07-18 19:22:55 UTC;504160;443572;46.80;31884;234780;846424;80.60;276792;129808;208
isaacpi;1;2017-07-18 19:22:56 UTC;504160;443572;46.80;31884;234788;846424;80.60;276820;129804;200
isaacpi;1;2017-07-18 19:22:57 UTC;504152;443580;46.80;31884;234800;846424;80.60;276880;129804;216
isaacpi;1;2017-07-18 19:22:58 UTC;504160;443572;46.80;31884;234812;846424;80.60;276900;129804;228
isaacpi;1;2017-07-18 19:22:59 UTC;504160;443572;46.80;31892;234824;846424;80.60;276900;129804;240
isaacpi;1;2017-07-18 19:23:00 UTC;504160;443572;46.80;31892;234836;846424;80.60;276920;129804;252
isaacpi;1;2017-07-18 19:23:01 UTC;504192;443540;46.80;31892;234844;846424;80.60;276940;129804;244
isaacpi;1;2017-07-18 19:23:02 UTC;504192;443540;46.80;31892;234856;846424;80.60;276952;129800;256
isaacpi;1;2017-07-18 19:23:03 UTC;504068;443664;46.81;31892;234868;846424;80.60;276964;129800;268
isaacpi;1;2017-07-18 19:23:04 UTC;504068;443664;46.81;31900;234876;846424;80.60;276976;129800;280
isaacpi;1;2017-07-18 19:23:05 UTC;504068;443664;46.81;31900;234892;846424;80.60;276988;129800;8
isaacpi;1;2017-07-18 19:23:06 UTC;503944;443788;46.83;31900;234908;846424;80.60;277008;129800;28
isaacpi;1;2017-07-18 19:23:07 UTC;503944;443788;46.83;31900;234916;846424;80.60;277028;129800;40
isaacpi;1;2017-07-18 19:23:08 UTC;503944;443788;46.83;31900;234928;846424;80.60;277028;129800;52
isaacpi;1;2017-07-18 19:23:09 UTC;503944;443788;46.83;31908;234940;846424;80.60;277040;129800;76
isaacpi;1;2017-07-18 19:23:10 UTC;503944;443788;46.83;31908;234952;846424;80.60;277060;129800;88
isaacpi;1;2017-07-18 19:23:11 UTC;503944;443788;46.83;31908;234964;846424;80.60;277072;129800;100
isaacpi;1;2017-07-18 19:23:12 UTC;503944;443788;46.83;31908;234976;846424;80.60;277080;129804;112
isaacpi;1;2017-07-18 19:23:13 UTC;503944;443788;46.83;31908;234984;846424;80.60;277092;129804;120
isaacpi;1;2017-07-18 19:23:14 UTC;503944;443788;46.83;31916;234996;846424;80.60;277104;129800;132
