sep=;
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
docker10;1;2017-07-18 20:16:35 UTC;198164;817980;80.50;18220;247516;757004;74.50;609208;148980;44
docker10;1;2017-07-18 20:16:36 UTC;198164;817980;80.50;18228;247528;757004;74.50;609264;148980;96
docker10;1;2017-07-18 20:16:37 UTC;198164;817980;80.50;18228;247540;757004;74.50;609076;148984;108
docker10;1;2017-07-18 20:16:38 UTC;194484;821660;80.86;18228;248328;757004;74.50;612820;149092;532
docker10;1;2017-07-18 20:16:39 UTC;189856;826288;81.32;18228;252368;757004;74.50;617328;149092;4556
docker10;1;2017-07-18 20:16:40 UTC;185448;830696;81.75;18232;256652;757004;74.50;621680;149096;1928
docker10;1;2017-07-18 20:16:41 UTC;180600;835544;82.23;18240;261268;757004;74.50;626420;149100;6600
docker10;1;2017-07-18 20:16:42 UTC;175936;840208;82.69;18240;265796;757004;74.50;630988;149092;11128
docker10;1;2017-07-18 20:16:43 UTC;171464;844680;83.13;18240;270160;757004;74.50;635392;149096;15492
docker10;1;2017-07-18 20:16:44 UTC;166712;849432;83.59;18240;274732;757004;74.50;639960;149096;20064
docker10;1;2017-07-18 20:16:45 UTC;162080;854064;84.05;18240;279244;757004;74.50;644476;149100;24576
docker10;1;2017-07-18 20:16:46 UTC;157732;858412;84.48;18248;283416;757004;74.50;648720;149100;28748
docker10;1;2017-07-18 20:16:47 UTC;153504;862640;84.89;18248;287440;757004;74.50;652704;149100;32772
docker10;1;2017-07-18 20:16:48 UTC;149188;866956;85.32;18248;291676;757004;74.50;656960;149092;37008
docker10;1;2017-07-18 20:16:49 UTC;144964;871180;85.73;18252;295736;757004;74.50;661036;149092;2748
docker10;1;2017-07-18 20:16:50 UTC;141328;874816;86.09;18252;299252;757004;74.50;664556;149092;6276
docker10;1;2017-07-18 20:16:51 UTC;137940;878204;86.43;18260;302536;757004;74.50;667864;149096;9580
docker10;1;2017-07-18 20:16:52 UTC;133720;882424;86.84;18260;306720;757004;74.50;672068;149096;13764
docker10;1;2017-07-18 20:16:53 UTC;67580;948564;93.35;14568;266112;843068;82.97;723892;146072;13728
docker10;1;2017-07-18 20:16:54 UTC;120512;895632;88.14;14112;201072;843068;82.97;704036;130380;17288
docker10;1;2017-07-18 20:16:55 UTC;116916;899228;88.49;14112;204572;843068;82.97;707344;130588;20444
docker10;1;2017-07-18 20:16:56 UTC;361760;654384;64.40;14356;209968;656588;64.62;467612;126644;24532
docker10;1;2017-07-18 20:16:57 UTC;361392;654752;64.43;14356;209972;656588;64.62;475684;118936;24528
docker10;1;2017-07-18 20:16:58 UTC;357564;658580;64.81;14356;210108;656588;64.62;479604;118804;24596
docker10;1;2017-07-18 20:16:59 UTC;291476;724668;71.32;15156;247156;859488;84.58;515596;146884;24960
docker10;1;2017-07-18 20:17:00 UTC;261616;754528;74.25;15200;258324;868412;85.46;538676;153052;24964
docker10;1;2017-07-18 20:17:01 UTC;244600;771544;75.93;15200;261072;872388;85.85;554420;154396;24976
docker10;1;2017-07-18 20:17:02 UTC;235216;780928;76.85;15244;263496;925208;91.05;562492;155392;24984
docker10;1;2017-07-18 20:17:03 UTC;214340;801804;78.91;15244;269356;929316;91.46;579444;159340;25004
docker10;1;2017-07-18 20:17:04 UTC;198144;818000;80.50;15244;270336;929316;91.46;593336;159652;25016
docker10;1;2017-07-18 20:17:05 UTC;186100;830044;81.69;15252;273656;934688;91.98;605392;161696;25044
docker10;1;2017-07-18 20:17:06 UTC;179484;836660;82.34;15252;274488;949288;93.42;611900;161912;25056
docker10;1;2017-07-18 20:17:07 UTC;169748;846396;83.29;15252;275920;949288;93.42;621296;162012;25068
docker10;1;2017-07-18 20:17:08 UTC;159940;856204;84.26;15252;276796;953344;93.82;630832;162384;25076
docker10;1;2017-07-18 20:17:09 UTC;153308;862836;84.91;15252;277388;953344;93.82;636992;162600;25088
docker10;1;2017-07-18 20:17:10 UTC;149092;867052;85.33;15260;278300;953344;93.82;640976;163028;25100
docker10;1;2017-07-18 20:17:11 UTC;141092;875052;86.11;15268;279912;968276;95.29;647956;163924;25108
docker10;1;2017-07-18 20:17:12 UTC;137084;879060;86.51;15284;281036;968276;95.29;651284;164604;25120
docker10;1;2017-07-18 20:17:13 UTC;131880;884264;87.02;15284;281848;976436;96.09;656344;164716;25128
docker10;1;2017-07-18 20:17:14 UTC;124316;891828;87.77;15284;284324;976436;96.09;662716;165908;25144
docker10;1;2017-07-18 20:17:15 UTC;100868;915276;90.07;15292;296440;995188;97.94;678056;174024;25184
docker10;1;2017-07-18 20:17:16 UTC;96156;919988;90.54;15292;296564;999168;98.33;684000;172732;25192
docker10;1;2017-07-18 20:17:17 UTC;94296;921848;90.72;15292;296656;999168;98.33;685916;172684;25204
docker10;1;2017-07-18 20:17:18 UTC;93056;923088;90.84;15292;296692;999168;98.33;687308;172536;25216
docker10;1;2017-07-18 20:17:19 UTC;87040;929104;91.43;15292;296908;1003284;98.73;693664;172208;25224
docker10;1;2017-07-18 20:17:20 UTC;82572;933572;91.87;15300;297228;1007656;99.16;698024;172264;25240
docker10;1;2017-07-18 20:17:21 UTC;75516;940628;92.57;9840;242884;1088396;107.11;747300;129976;25272
docker10;1;2017-07-18 20:17:22 UTC;67168;948976;93.39;9848;251480;1088396;107.11;747608;138564;25280
docker10;1;2017-07-18 20:17:23 UTC;70220;945924;93.09;7936;250480;1088396;107.11;742940;140160;25292
docker10;1;2017-07-18 20:17:24 UTC;66364;949780;93.47;7940;253356;1090416;107.31;744132;142280;8232
docker10;1;2017-07-18 20:17:25 UTC;66380;949764;93.47;7948;253380;1090416;107.31;744152;142248;8260
docker10;1;2017-07-18 20:17:26 UTC;66380;949764;93.47;7948;253392;1090416;107.31;744152;142248;8272
docker10;1;2017-07-18 20:17:27 UTC;66380;949764;93.47;7948;253400;1090416;107.31;744200;142248;8280
docker10;1;2017-07-18 20:17:28 UTC;307100;709044;69.78;7984;253912;695336;68.43;506432;141432;8292
docker10;1;2017-07-18 20:17:29 UTC;307116;709028;69.78;8000;253964;695336;68.43;506448;141396;116
docker10;1;2017-07-18 20:17:30 UTC;279552;736592;72.49;8140;256884;870168;85.63;550080;124280;368
docker10;1;2017-07-18 20:17:31 UTC;260000;756144;74.41;8140;257528;870168;85.63;571716;122184;376
docker10;1;2017-07-18 20:17:32 UTC;250692;765452;75.33;8140;258164;874272;86.04;581752;120952;384
docker10;1;2017-07-18 20:17:33 UTC;228232;787912;77.54;8140;260920;930680;91.59;606316;119340;396
docker10;1;2017-07-18 20:17:34 UTC;213408;802736;79.00;8140;261088;934800;91.99;621860;118688;412
docker10;1;2017-07-18 20:17:35 UTC;203980;812164;79.93;8140;261832;934800;91.99;631220;118652;400
docker10;1;2017-07-18 20:17:36 UTC;199780;816364;80.34;8148;262552;938828;92.39;635392;118652;432
docker10;1;2017-07-18 20:17:37 UTC;193268;822876;80.98;8148;262552;950380;93.53;641800;118648;444
docker10;1;2017-07-18 20:17:38 UTC;186384;829760;81.66;8148;262560;950380;93.53;648776;118644;452
docker10;1;2017-07-18 20:17:39 UTC;180740;835404;82.21;8148;262640;954496;93.93;654220;118648;464
docker10;1;2017-07-18 20:17:40 UTC;178012;838132;82.48;8148;262692;954496;93.93;657000;118648;476
docker10;1;2017-07-18 20:17:41 UTC;174416;841728;82.84;8156;262800;969644;95.42;660600;118644;484
docker10;1;2017-07-18 20:17:42 UTC;168276;847868;83.44;8156;262984;969644;95.42;666648;118648;496
docker10;1;2017-07-18 20:17:43 UTC;166228;849916;83.64;8168;263288;973828;95.84;668704;118644;504
docker10;1;2017-07-18 20:17:44 UTC;158832;857312;84.37;8168;263360;978064;96.25;676036;118644;520
docker10;1;2017-07-18 20:17:45 UTC;147732;868412;85.46;8168;266964;982032;96.64;691224;114616;532
docker10;1;2017-07-18 20:17:46 UTC;136012;880132;86.61;8176;268124;1004092;98.81;706928;110576;548
docker10;1;2017-07-18 20:17:47 UTC;133904;882240;86.82;8176;268128;1004092;98.81;709116;110576;584
