sep=;
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
docker10;1;2017-07-18 20:31:27 UTC;-1;1.00;0.00;1.00;0.00;0.00;98.00
docker10;1;2017-07-18 20:31:28 UTC;-1;1.00;0.00;0.00;0.00;0.00;99.00
docker10;1;2017-07-18 20:31:29 UTC;-1;3.00;0.00;1.00;0.00;0.00;96.00
docker10;1;2017-07-18 20:31:30 UTC;-1;0.00;0.00;1.00;0.00;0.00;99.00
docker10;1;2017-07-18 20:31:31 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
docker10;1;2017-07-18 20:31:32 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
docker10;1;2017-07-18 20:31:33 UTC;-1;33.66;0.00;1.98;0.99;0.00;63.37
docker10;1;2017-07-18 20:31:34 UTC;-1;23.91;0.00;5.43;0.00;0.00;70.65
docker10;1;2017-07-18 20:31:35 UTC;-1;23.86;0.00;6.82;0.00;0.00;69.32
docker10;1;2017-07-18 20:31:36 UTC;-1;23.26;0.00;3.49;0.00;1.16;72.09
docker10;1;2017-07-18 20:31:37 UTC;-1;25.81;0.00;5.38;0.00;1.08;67.74
docker10;1;2017-07-18 20:31:38 UTC;-1;18.39;0.00;3.45;0.00;0.00;78.16
docker10;1;2017-07-18 20:31:39 UTC;-1;6.82;0.00;3.41;0.00;0.00;89.77
docker10;1;2017-07-18 20:31:40 UTC;-1;11.11;0.00;5.56;0.00;0.00;83.33
docker10;1;2017-07-18 20:31:41 UTC;-1;14.61;0.00;4.49;0.00;0.00;80.90
docker10;1;2017-07-18 20:31:42 UTC;-1;17.98;0.00;5.62;0.00;0.00;76.40
docker10;1;2017-07-18 20:31:43 UTC;-1;9.52;0.00;3.57;0.00;0.00;86.90
docker10;1;2017-07-18 20:31:44 UTC;-1;6.90;0.00;4.60;0.00;0.00;88.51
docker10;1;2017-07-18 20:31:45 UTC;-1;2.38;0.00;4.76;0.00;0.00;92.86
docker10;1;2017-07-18 20:31:46 UTC;-1;3.57;0.00;4.76;0.00;0.00;91.67
docker10;1;2017-07-18 20:31:47 UTC;-1;63.64;0.00;26.26;0.00;0.00;10.10
docker10;1;2017-07-18 20:31:48 UTC;-1;44.44;0.00;21.21;1.01;0.00;33.33
docker10;1;2017-07-18 20:31:49 UTC;-1;31.87;0.00;3.30;1.10;0.00;63.74
docker10;1;2017-07-18 20:31:50 UTC;-1;83.16;0.00;6.32;0.00;0.00;10.53
docker10;1;2017-07-18 20:31:51 UTC;-1;86.00;0.00;10.00;3.00;1.00;0.00
docker10;1;2017-07-18 20:31:52 UTC;-1;77.00;0.00;1.00;0.00;0.00;22.00
docker10;1;2017-07-18 20:31:53 UTC;-1;56.25;0.00;23.96;6.25;0.00;13.54
docker10;1;2017-07-18 20:31:54 UTC;-1;75.25;0.00;15.84;8.91;0.00;0.00
docker10;1;2017-07-18 20:31:55 UTC;-1;92.93;0.00;7.07;0.00;0.00;0.00
docker10;1;2017-07-18 20:31:56 UTC;-1;93.94;0.00;6.06;0.00;0.00;0.00
docker10;1;2017-07-18 20:31:57 UTC;-1;90.00;0.00;10.00;0.00;0.00;0.00
docker10;1;2017-07-18 20:31:58 UTC;-1;95.00;0.00;5.00;0.00;0.00;0.00
docker10;1;2017-07-18 20:31:59 UTC;-1;90.00;0.00;10.00;0.00;0.00;0.00
docker10;1;2017-07-18 20:32:00 UTC;-1;93.00;0.00;7.00;0.00;0.00;0.00
docker10;1;2017-07-18 20:32:01 UTC;-1;88.12;0.00;11.88;0.00;0.00;0.00
docker10;1;2017-07-18 20:32:02 UTC;-1;94.95;0.00;5.05;0.00;0.00;0.00
docker10;1;2017-07-18 20:32:03 UTC;-1;93.94;0.00;6.06;0.00;0.00;0.00
docker10;1;2017-07-18 20:32:04 UTC;-1;95.05;0.00;4.95;0.00;0.00;0.00
docker10;1;2017-07-18 20:32:05 UTC;-1;96.97;0.00;3.03;0.00;0.00;0.00
docker10;1;2017-07-18 20:32:06 UTC;-1;94.06;0.00;5.94;0.00;0.00;0.00
docker10;1;2017-07-18 20:32:07 UTC;-1;95.96;0.00;4.04;0.00;0.00;0.00
