sep=;
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-07-18 20:16:36 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:16:37 UTC;-1;1.02;0.00;0.00;0.00;0.00;98.98
isaacpi;1;2017-07-18 20:16:38 UTC;-1;0.51;0.00;3.81;0.00;0.00;95.69
isaacpi;1;2017-07-18 20:16:39 UTC;-1;2.86;0.00;7.55;0.00;0.00;89.58
isaacpi;1;2017-07-18 20:16:40 UTC;-1;0.78;0.00;7.01;0.00;0.00;92.21
isaacpi;1;2017-07-18 20:16:41 UTC;-1;0.54;0.00;5.14;0.54;0.00;93.78
isaacpi;1;2017-07-18 20:16:42 UTC;-1;1.03;0.00;7.99;0.00;0.00;90.98
isaacpi;1;2017-07-18 20:16:43 UTC;-1;1.06;0.00;5.84;0.00;0.00;93.10
isaacpi;1;2017-07-18 20:16:44 UTC;-1;1.60;0.00;6.65;0.00;0.00;91.76
isaacpi;1;2017-07-18 20:16:45 UTC;-1;1.85;0.00;5.54;0.00;0.00;92.61
isaacpi;1;2017-07-18 20:16:46 UTC;-1;1.05;0.00;5.25;0.26;0.00;93.44
isaacpi;1;2017-07-18 20:16:47 UTC;-1;0.26;0.00;6.81;0.00;0.00;92.93
isaacpi;1;2017-07-18 20:16:48 UTC;-1;0.27;0.00;6.37;0.00;0.00;93.37
isaacpi;1;2017-07-18 20:16:49 UTC;-1;1.53;0.00;7.67;0.00;0.00;90.79
isaacpi;1;2017-07-18 20:16:50 UTC;-1;1.84;0.00;2.89;0.00;0.00;95.28
isaacpi;1;2017-07-18 20:16:51 UTC;-1;0.26;0.00;7.29;0.26;0.00;92.19
isaacpi;1;2017-07-18 20:16:52 UTC;-1;0.51;0.00;2.81;0.00;0.00;96.68
isaacpi;1;2017-07-18 20:16:53 UTC;-1;0.50;0.00;0.00;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:16:54 UTC;-1;0.52;0.00;1.81;0.52;0.00;97.16
isaacpi;1;2017-07-18 20:16:55 UTC;-1;1.07;0.00;6.43;0.00;0.00;92.49
isaacpi;1;2017-07-18 20:16:56 UTC;-1;0.00;0.00;0.00;0.25;0.00;99.75
isaacpi;1;2017-07-18 20:16:57 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-07-18 20:16:58 UTC;-1;0.75;0.00;0.25;0.00;0.00;99.00
isaacpi;1;2017-07-18 20:16:59 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-07-18 20:17:00 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-18 20:17:01 UTC;-1;1.52;0.00;1.27;0.00;0.00;97.22
isaacpi;1;2017-07-18 20:17:02 UTC;-1;0.25;0.00;0.25;0.25;0.00;99.24
isaacpi;1;2017-07-18 20:17:03 UTC;-1;0.00;0.00;0.51;0.00;0.00;99.49
isaacpi;1;2017-07-18 20:17:04 UTC;-1;0.00;0.00;0.51;0.51;0.00;98.99
isaacpi;1;2017-07-18 20:17:05 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-07-18 20:17:06 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:17:07 UTC;-1;0.00;0.00;0.25;1.26;0.00;98.49
isaacpi;1;2017-07-18 20:17:08 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.49
isaacpi;1;2017-07-18 20:17:09 UTC;-1;0.50;0.00;0.25;0.00;0.00;99.25
isaacpi;1;2017-07-18 20:17:10 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-18 20:17:11 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-07-18 20:17:12 UTC;-1;0.00;0.00;0.25;0.25;0.00;99.49
isaacpi;1;2017-07-18 20:17:13 UTC;-1;0.00;0.00;0.51;0.00;0.00;99.49
isaacpi;1;2017-07-18 20:17:14 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-18 20:17:15 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-18 20:17:16 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-18 20:17:17 UTC;-1;0.00;0.00;0.50;0.25;0.00;99.24
isaacpi;1;2017-07-18 20:17:18 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:17:19 UTC;-1;0.00;0.00;0.25;6.08;0.00;93.67
isaacpi;1;2017-07-18 20:17:20 UTC;-1;0.25;0.00;0.00;2.53;0.00;97.22
isaacpi;1;2017-07-18 20:17:21 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-18 20:17:22 UTC;-1;0.00;0.00;0.25;0.25;0.00;99.49
isaacpi;1;2017-07-18 20:17:23 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-18 20:17:24 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:17:25 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-07-18 20:17:26 UTC;-1;0.25;0.00;0.00;0.00;0.00;99.75
isaacpi;1;2017-07-18 20:17:27 UTC;-1;0.00;0.00;1.01;0.25;0.00;98.74
isaacpi;1;2017-07-18 20:17:28 UTC;-1;1.00;0.00;1.00;0.00;0.00;97.99
isaacpi;1;2017-07-18 20:17:29 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-18 20:17:30 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-18 20:17:31 UTC;-1;0.00;0.00;0.51;0.00;0.00;99.49
isaacpi;1;2017-07-18 20:17:32 UTC;-1;0.25;0.00;0.75;0.25;0.00;98.75
isaacpi;1;2017-07-18 20:17:33 UTC;-1;0.25;0.00;0.75;0.00;0.00;98.99
isaacpi;1;2017-07-18 20:17:34 UTC;-1;3.51;0.00;0.75;0.00;0.00;95.74
isaacpi;1;2017-07-18 20:17:35 UTC;-1;0.00;0.00;1.00;0.00;0.00;99.00
isaacpi;1;2017-07-18 20:17:36 UTC;-1;0.00;0.00;0.75;0.00;0.00;99.25
isaacpi;1;2017-07-18 20:17:37 UTC;-1;0.00;0.00;0.50;0.25;0.00;99.24
isaacpi;1;2017-07-18 20:17:38 UTC;-1;0.00;0.00;0.51;0.00;0.00;99.49
isaacpi;1;2017-07-18 20:17:39 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:17:40 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-07-18 20:17:41 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-07-18 20:17:42 UTC;-1;0.00;0.00;0.51;0.25;0.00;99.24
isaacpi;1;2017-07-18 20:17:43 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:17:44 UTC;-1;0.00;0.00;0.76;0.00;0.00;99.24
isaacpi;1;2017-07-18 20:17:45 UTC;-1;0.25;0.00;0.75;0.00;0.00;99.00
isaacpi;1;2017-07-18 20:17:46 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:17:47 UTC;-1;0.00;0.00;0.51;0.25;0.00;99.24
isaacpi;1;2017-07-18 20:17:48 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-07-18 20:17:49 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:17:50 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.49
isaacpi;1;2017-07-18 20:17:51 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:17:52 UTC;-1;0.25;0.00;0.25;0.25;0.00;99.25
isaacpi;1;2017-07-18 20:17:53 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.49
isaacpi;1;2017-07-18 20:17:54 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:17:55 UTC;-1;0.25;0.00;0.25;7.29;0.00;92.21
isaacpi;1;2017-07-18 20:17:56 UTC;-1;0.50;0.00;0.25;0.00;0.00;99.24
isaacpi;1;2017-07-18 20:17:57 UTC;-1;0.00;0.00;0.51;0.76;0.00;98.74
isaacpi;1;2017-07-18 20:17:58 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:17:59 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:18:00 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:18:01 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.24
isaacpi;1;2017-07-18 20:18:02 UTC;-1;0.00;0.00;0.51;0.25;0.00;99.24
isaacpi;1;2017-07-18 20:18:03 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-07-18 20:18:04 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:18:05 UTC;-1;0.00;0.00;0.76;0.00;0.00;99.24
isaacpi;1;2017-07-18 20:18:06 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:18:07 UTC;-1;0.00;0.00;0.51;0.25;0.00;99.24
isaacpi;1;2017-07-18 20:18:08 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-18 20:18:09 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
