sep=;
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-07-18 20:16:36 UTC;450612;497120;52.45;35664;282008;848348;80.79;321476;136428;72
isaacpi;1;2017-07-18 20:16:37 UTC;450364;497368;52.48;35664;282016;848348;80.79;321684;136432;80
isaacpi;1;2017-07-18 20:16:38 UTC;447916;499816;52.74;35664;282032;848348;80.79;321768;136432;96
isaacpi;1;2017-07-18 20:16:39 UTC;447260;500472;52.81;35664;282044;848348;80.79;321780;136432;108
isaacpi;1;2017-07-18 20:16:40 UTC;447236;500496;52.81;35664;282056;848348;80.79;321792;136432;120
isaacpi;1;2017-07-18 20:16:41 UTC;447048;500684;52.83;35672;282068;848348;80.79;321804;136432;196
isaacpi;1;2017-07-18 20:16:42 UTC;446300;501432;52.91;35672;282080;848348;80.79;321820;136436;208
isaacpi;1;2017-07-18 20:16:43 UTC;446196;501536;52.92;35672;282088;848348;80.79;321832;136436;216
isaacpi;1;2017-07-18 20:16:44 UTC;447148;500584;52.82;35672;282100;848348;80.79;321844;136432;228
isaacpi;1;2017-07-18 20:16:45 UTC;446828;500904;52.85;35672;282112;848348;80.79;321856;136432;240
isaacpi;1;2017-07-18 20:16:46 UTC;447020;500712;52.83;35680;282124;848348;80.79;321868;136432;252
isaacpi;1;2017-07-18 20:16:47 UTC;446292;501440;52.91;35680;282136;848348;80.79;321888;136432;264
isaacpi;1;2017-07-18 20:16:48 UTC;445972;501760;52.94;35680;282144;848348;80.79;321896;136436;272
isaacpi;1;2017-07-18 20:16:49 UTC;445916;501816;52.95;35680;282156;848348;80.79;321908;136432;284
isaacpi;1;2017-07-18 20:16:50 UTC;446764;500968;52.86;35680;282168;848348;80.79;321920;136432;296
isaacpi;1;2017-07-18 20:16:51 UTC;447204;500528;52.81;35688;282180;848348;80.79;321932;136432;308
isaacpi;1;2017-07-18 20:16:52 UTC;449976;497756;52.52;35688;282192;848348;80.79;321952;136432;320
isaacpi;1;2017-07-18 20:16:53 UTC;449976;497756;52.52;35688;282204;848348;80.79;321964;136432;332
isaacpi;1;2017-07-18 20:16:54 UTC;448880;498852;52.64;35688;282212;848348;80.79;321972;136440;44
isaacpi;1;2017-07-18 20:16:55 UTC;450064;497668;52.51;35688;282224;848348;80.79;321984;136436;32
isaacpi;1;2017-07-18 20:16:56 UTC;450012;497720;52.52;35696;282228;848348;80.79;321996;136436;44
isaacpi;1;2017-07-18 20:16:57 UTC;450012;497720;52.52;35696;282248;848348;80.79;322016;136436;92
isaacpi;1;2017-07-18 20:16:58 UTC;450004;497728;52.52;35696;282260;848348;80.79;322028;136436;108
isaacpi;1;2017-07-18 20:16:59 UTC;450004;497728;52.52;35696;282272;848348;80.79;322048;136436;120
isaacpi;1;2017-07-18 20:17:00 UTC;450004;497728;52.52;35696;282280;848348;80.79;322084;136432;128
isaacpi;1;2017-07-18 20:17:01 UTC;449384;498348;52.58;35696;282292;850144;80.96;322084;136428;148
isaacpi;1;2017-07-18 20:17:02 UTC;449384;498348;52.58;35704;282304;850144;80.96;322112;136428;196
isaacpi;1;2017-07-18 20:17:03 UTC;449384;498348;52.58;35704;282316;850144;80.96;322128;136428;208
isaacpi;1;2017-07-18 20:17:04 UTC;449384;498348;52.58;35704;282328;850144;80.96;322140;136428;72
isaacpi;1;2017-07-18 20:17:05 UTC;449384;498348;52.58;35704;282340;850144;80.96;322148;136432;28
isaacpi;1;2017-07-18 20:17:06 UTC;449384;498348;52.58;35704;282348;850144;80.96;322160;136432;36
isaacpi;1;2017-07-18 20:17:07 UTC;449384;498348;52.58;35712;282360;850144;80.96;322188;136428;60
isaacpi;1;2017-07-18 20:17:08 UTC;449384;498348;52.58;35712;282372;850144;80.96;322188;136428;76
isaacpi;1;2017-07-18 20:17:09 UTC;449384;498348;52.58;35712;282384;850144;80.96;322200;136428;88
isaacpi;1;2017-07-18 20:17:10 UTC;449384;498348;52.58;35712;282396;850144;80.96;322212;136428;100
isaacpi;1;2017-07-18 20:17:11 UTC;449384;498348;52.58;35712;282404;850144;80.96;322220;136432;108
isaacpi;1;2017-07-18 20:17:12 UTC;449384;498348;52.58;35720;282416;850144;80.96;322232;136428;120
isaacpi;1;2017-07-18 20:17:13 UTC;449352;498380;52.59;35720;282428;850144;80.96;322244;136428;132
isaacpi;1;2017-07-18 20:17:14 UTC;449352;498380;52.59;35720;282440;850144;80.96;322256;136428;144
isaacpi;1;2017-07-18 20:17:15 UTC;449228;498504;52.60;35720;282452;850144;80.96;322268;136428;156
isaacpi;1;2017-07-18 20:17:16 UTC;449228;498504;52.60;35720;282464;850144;80.96;322280;136428;168
isaacpi;1;2017-07-18 20:17:17 UTC;449228;498504;52.60;35728;282472;850144;80.96;322288;136432;176
isaacpi;1;2017-07-18 20:17:18 UTC;449228;498504;52.60;35728;282484;850144;80.96;322300;136428;188
isaacpi;1;2017-07-18 20:17:19 UTC;449228;498504;52.60;35728;282496;850144;80.96;322312;136428;52
isaacpi;1;2017-07-18 20:17:20 UTC;449228;498504;52.60;35728;282508;850144;80.96;322324;136428;28
isaacpi;1;2017-07-18 20:17:21 UTC;449228;498504;52.60;35728;282520;850144;80.96;322336;136428;40
isaacpi;1;2017-07-18 20:17:22 UTC;449228;498504;52.60;35736;282532;850144;80.96;322344;136432;64
isaacpi;1;2017-07-18 20:17:23 UTC;449228;498504;52.60;35736;282540;850144;80.96;322356;136432;72
isaacpi;1;2017-07-18 20:17:24 UTC;449228;498504;52.60;35736;282552;850144;80.96;322368;136428;84
isaacpi;1;2017-07-18 20:17:25 UTC;449228;498504;52.60;35736;282564;850144;80.96;322380;136428;96
isaacpi;1;2017-07-18 20:17:26 UTC;449104;498628;52.61;35736;282576;850144;80.96;322392;136428;108
isaacpi;1;2017-07-18 20:17:27 UTC;449064;498668;52.62;35744;282588;850144;80.96;322404;136428;120
isaacpi;1;2017-07-18 20:17:28 UTC;449188;498544;52.60;35744;282596;850144;80.96;322412;136432;140
isaacpi;1;2017-07-18 20:17:29 UTC;449188;498544;52.60;35744;282608;850144;80.96;322468;136428;152
isaacpi;1;2017-07-18 20:17:30 UTC;449188;498544;52.60;35744;282620;850144;80.96;322480;136428;164
isaacpi;1;2017-07-18 20:17:31 UTC;449188;498544;52.60;35744;282632;850144;80.96;322492;136428;176
isaacpi;1;2017-07-18 20:17:32 UTC;449064;498668;52.62;35752;282644;850144;80.96;322512;136428;200
isaacpi;1;2017-07-18 20:17:33 UTC;449064;498668;52.62;35752;282656;850144;80.96;322524;136428;212
isaacpi;1;2017-07-18 20:17:34 UTC;448940;498792;52.63;35752;282664;850144;80.96;322532;136432;220
isaacpi;1;2017-07-18 20:17:35 UTC;448940;498792;52.63;35752;282676;850144;80.96;322544;136428;232
isaacpi;1;2017-07-18 20:17:36 UTC;448940;498792;52.63;35752;282688;850144;80.96;322556;136428;244
isaacpi;1;2017-07-18 20:17:37 UTC;448816;498916;52.64;35760;282700;850144;80.96;322568;136428;256
isaacpi;1;2017-07-18 20:17:38 UTC;448816;498916;52.64;35760;282712;850144;80.96;322588;136428;268
isaacpi;1;2017-07-18 20:17:39 UTC;448816;498916;52.64;35760;282724;850144;80.96;322596;136432;280
isaacpi;1;2017-07-18 20:17:40 UTC;448816;498916;52.64;35760;282732;850144;80.96;322608;136432;288
isaacpi;1;2017-07-18 20:17:41 UTC;448816;498916;52.64;35760;282744;850144;80.96;322620;136428;300
isaacpi;1;2017-07-18 20:17:42 UTC;448824;498908;52.64;35768;282756;850144;80.96;322640;136428;312
isaacpi;1;2017-07-18 20:17:43 UTC;448824;498908;52.64;35768;282768;850144;80.96;322652;136428;324
isaacpi;1;2017-07-18 20:17:44 UTC;448824;498908;52.64;35768;282780;850144;80.96;322664;136428;336
isaacpi;1;2017-07-18 20:17:45 UTC;448824;498908;52.64;35768;282792;850144;80.96;322672;136432;348
isaacpi;1;2017-07-18 20:17:46 UTC;448824;498908;52.64;35768;282800;850144;80.96;322684;136432;356
isaacpi;1;2017-07-18 20:17:47 UTC;448824;498908;52.64;35776;282812;850144;80.96;322716;136428;368
isaacpi;1;2017-07-18 20:17:48 UTC;448700;499032;52.66;35776;282824;850144;80.96;322716;136428;380
isaacpi;1;2017-07-18 20:17:49 UTC;448700;499032;52.66;35776;282836;850144;80.96;322728;136428;392
isaacpi;1;2017-07-18 20:17:50 UTC;448700;499032;52.66;35776;282848;850144;80.96;322748;136432;48
isaacpi;1;2017-07-18 20:17:51 UTC;448700;499032;52.66;35776;282856;850144;80.96;322748;136432;60
isaacpi;1;2017-07-18 20:17:52 UTC;448700;499032;52.66;35784;282868;850144;80.96;322760;136428;76
isaacpi;1;2017-07-18 20:17:53 UTC;448700;499032;52.66;35784;282880;850144;80.96;322780;136428;88
isaacpi;1;2017-07-18 20:17:54 UTC;448700;499032;52.66;35784;282892;850144;80.96;322792;136428;100
isaacpi;1;2017-07-18 20:17:55 UTC;448700;499032;52.66;35784;282904;850144;80.96;322816;136428;84
isaacpi;1;2017-07-18 20:17:56 UTC;448824;498908;52.64;35784;282916;850144;80.96;322816;136428;96
isaacpi;1;2017-07-18 20:17:57 UTC;448824;498908;52.64;35792;282924;850144;80.96;322824;136432;108
isaacpi;1;2017-07-18 20:17:58 UTC;448824;498908;52.64;35792;282936;850144;80.96;322844;136428;120
