# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
isaacpi;1;2017-07-18 20:16:36 UTC;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:36 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:36 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:36 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:37 UTC;wlan0;11.00;40.00;1.46;43.59;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:37 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:37 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:37 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:38 UTC;wlan0;67.00;1520.00;3.40;2193.91;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:38 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:38 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:38 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:39 UTC;wlan0;141.00;3422.00;7.18;4939.18;0.00;0.00;1.00;0.00
isaacpi;1;2017-07-18 20:16:39 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:39 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:39 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:40 UTC;wlan0;131.00;3271.00;6.65;4721.23;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:40 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-18 20:16:40 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
