sep=;
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-07-16 00:26:50 UTC;-1;1.24;0.00;1.49;0.00;0.00;97.27
isaacpi;1;2017-07-16 00:26:51 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-16 00:26:52 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-16 00:26:53 UTC;-1;0.50;0.00;0.75;0.00;0.00;98.75
isaacpi;1;2017-07-16 00:26:54 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-16 00:26:55 UTC;-1;16.67;0.00;3.54;0.25;0.00;79.55
isaacpi;1;2017-07-16 00:26:56 UTC;-1;3.90;0.00;4.42;0.00;0.00;91.69
isaacpi;1;2017-07-16 00:26:57 UTC;-1;16.15;0.00;7.29;0.00;0.00;76.56
isaacpi;1;2017-07-16 00:26:58 UTC;-1;22.69;0.00;3.49;0.00;0.00;73.82
isaacpi;1;2017-07-16 00:26:59 UTC;-1;23.99;0.00;2.02;0.00;0.00;73.99
isaacpi;1;2017-07-16 00:27:00 UTC;-1;24.94;0.00;2.99;0.75;0.00;71.32
isaacpi;1;2017-07-16 00:27:01 UTC;-1;22.33;0.00;4.96;0.00;0.00;72.70
isaacpi;1;2017-07-16 00:27:02 UTC;-1;23.56;0.00;3.26;0.00;0.00;73.18
isaacpi;1;2017-07-16 00:27:03 UTC;-1;25.19;0.00;1.76;0.00;0.00;73.05
isaacpi;1;2017-07-16 00:27:04 UTC;-1;29.22;0.00;2.02;0.00;0.00;68.77
isaacpi;1;2017-07-16 00:27:05 UTC;-1;22.86;0.00;4.27;0.00;0.00;72.86
isaacpi;1;2017-07-16 00:27:06 UTC;-1;1.27;0.00;4.31;0.00;0.00;94.42
isaacpi;1;2017-07-16 00:27:07 UTC;-1;0.77;0.00;2.81;0.00;0.00;96.43
isaacpi;1;2017-07-16 00:27:08 UTC;-1;0.76;0.00;4.79;0.00;0.00;94.46
isaacpi;1;2017-07-16 00:27:09 UTC;-1;1.27;0.00;3.55;0.00;0.00;95.18
