sep=;ß
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-07-17 18:09:26 UTC;-1;1.25;0.00;1.00;0.00;0.00;97.75
isaacpi;1;2017-07-17 18:09:27 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-17 18:09:28 UTC;-1;4.96;0.00;8.44;0.00;0.00;86.60
isaacpi;1;2017-07-17 18:09:29 UTC;-1;3.41;0.00;9.45;0.00;0.00;87.14
isaacpi;1;2017-07-17 18:09:30 UTC;-1;16.20;0.00;7.59;0.00;0.00;76.20
isaacpi;1;2017-07-17 18:09:31 UTC;-1;22.39;0.00;2.99;1.99;0.00;72.64
isaacpi;1;2017-07-17 18:09:32 UTC;-1;22.94;0.00;3.49;0.00;0.00;73.57
isaacpi;1;2017-07-17 18:09:33 UTC;-1;22.94;0.00;3.99;0.00;0.00;73.07
isaacpi;1;2017-07-17 18:09:34 UTC;-1;21.25;0.00;4.75;0.00;0.00;74.00
isaacpi;1;2017-07-17 18:09:35 UTC;-1;25.25;0.00;2.27;0.00;0.00;72.47
isaacpi;1;2017-07-17 18:09:36 UTC;-1;10.26;0.00;5.13;0.26;0.00;84.36
isaacpi;1;2017-07-17 18:09:37 UTC;-1;1.27;0.00;4.83;0.00;0.00;93.89
isaacpi;1;2017-07-17 18:09:38 UTC;-1;1.03;0.00;3.61;0.00;0.00;95.36
isaacpi;1;2017-07-17 18:09:39 UTC;-1;0.77;0.00;6.96;0.00;0.00;92.27
isaacpi;1;2017-07-17 18:09:40 UTC;-1;0.78;0.00;8.27;0.00;0.00;90.96
isaacpi;1;2017-07-17 18:09:41 UTC;-1;0.26;0.00;7.77;0.26;0.00;91.71
isaacpi;1;2017-07-17 18:09:42 UTC;-1;0.75;0.00;5.51;0.00;0.00;93.73
isaacpi;1;2017-07-17 18:09:43 UTC;-1;0.53;0.00;3.72;0.00;0.00;95.74
isaacpi;1;2017-07-17 18:09:44 UTC;-1;0.53;0.00;5.53;0.00;0.00;93.95
isaacpi;1;2017-07-17 18:09:45 UTC;-1;1.26;0.00;8.08;0.00;0.00;90.66
isaacpi;1;2017-07-17 18:09:46 UTC;-1;0.26;0.00;9.18;0.26;0.00;90.31
isaacpi;1;2017-07-17 18:09:47 UTC;-1;0.77;0.00;7.71;0.00;0.00;91.52
isaacpi;1;2017-07-17 18:09:48 UTC;-1;0.81;0.00;5.12;0.00;0.00;94.07
isaacpi;1;2017-07-17 18:09:49 UTC;-1;0.54;0.00;7.28;0.00;0.00;92.18
isaacpi;1;2017-07-17 18:09:50 UTC;-1;1.54;0.00;11.57;0.00;0.00;86.89
isaacpi;1;2017-07-17 18:09:51 UTC;-1;1.33;0.00;5.57;0.00;0.00;93.10
isaacpi;1;2017-07-17 18:09:52 UTC;-1;2.54;0.00;2.54;17.56;0.00;77.35
isaacpi;1;2017-07-17 18:09:53 UTC;-1;0.50;0.00;0.50;24.69;0.00;74.31
isaacpi;1;2017-07-17 18:09:54 UTC;-1;0.00;0.00;0.50;24.94;0.00;74.56
isaacpi;1;2017-07-17 18:09:55 UTC;-1;0.00;0.00;1.25;24.75;0.00;74.00
isaacpi;7;2017-07-17 18:10:02 UTC;-1;0.56;0.00;0.45;54.99;0.00;44.00
isaacpi;7;2017-07-17 18:10:09 UTC;-1;0.34;0.00;0.44;71.05;0.00;28.18
isaacpi;1;2017-07-17 18:10:10 UTC;-1;0.50;0.00;1.00;49.13;0.00;49.38
isaacpi;1;2017-07-17 18:10:11 UTC;-1;0.50;0.00;1.24;48.88;0.00;49.38
isaacpi;1;2017-07-17 18:10:12 UTC;-1;0.50;0.00;0.50;49.00;0.00;50.00
isaacpi;1;2017-07-17 18:10:13 UTC;-1;0.25;0.00;0.50;49.63;0.00;49.63
isaacpi;1;2017-07-17 18:10:14 UTC;-1;0.25;0.00;0.50;49.25;0.00;50.00
isaacpi;1;2017-07-17 18:10:15 UTC;-1;0.75;0.00;0.50;49.13;0.00;49.63
isaacpi;1;2017-07-17 18:10:16 UTC;-1;0.25;0.00;0.75;49.13;0.00;49.88
isaacpi;1;2017-07-17 18:10:17 UTC;-1;0.25;0.00;0.50;49.38;0.00;49.88
isaacpi;1;2017-07-17 18:10:18 UTC;-1;0.25;0.00;1.00;49.13;0.00;49.63
isaacpi;1;2017-07-17 18:10:19 UTC;-1;0.50;0.00;0.25;49.37;0.00;49.87
isaacpi;1;2017-07-17 18:10:20 UTC;-1;1.00;0.00;1.25;49.12;0.00;48.62
isaacpi;1;2017-07-17 18:10:21 UTC;-1;0.25;0.00;0.75;49.25;0.00;49.75
isaacpi;1;2017-07-17 18:10:22 UTC;-1;0.00;0.00;1.24;49.00;0.00;49.75
