sep=;
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-07-17 18:09:26 UTC;205268;742464;78.34;36264;328816;1065316;101.45;513668;190372;40
isaacpi;1;2017-07-17 18:09:27 UTC;205292;742440;78.34;36264;328824;1065316;101.45;513672;190368;48
isaacpi;1;2017-07-17 18:09:28 UTC;204232;743500;78.45;36264;329872;1065316;101.45;514584;190364;1096
isaacpi;1;2017-07-17 18:09:29 UTC;202056;745676;78.68;36264;331676;1065316;101.45;516452;190380;2908
isaacpi;1;2017-07-17 18:09:30 UTC;196092;751640;79.31;36264;336136;1065316;101.45;519988;192880;7368
isaacpi;1;2017-07-17 18:09:31 UTC;196124;751608;79.31;36272;336176;1065316;101.45;520132;192788;7404
isaacpi;1;2017-07-17 18:09:32 UTC;196124;751608;79.31;36272;336188;1065316;101.45;520196;192784;7416
isaacpi;1;2017-07-17 18:09:33 UTC;196000;751732;79.32;36272;336200;1065316;101.45;520196;192784;7428
isaacpi;1;2017-07-17 18:09:34 UTC;196000;751732;79.32;36272;336212;1065316;101.45;520208;192784;7440
isaacpi;1;2017-07-17 18:09:35 UTC;196000;751732;79.32;36272;336224;1065316;101.45;520248;192788;7452
isaacpi;1;2017-07-17 18:09:36 UTC;223932;723800;76.37;36280;308856;1065316;101.45;502296;183268;9548
isaacpi;1;2017-07-17 18:09:37 UTC;221984;725748;76.58;36280;311224;1065316;101.45;503860;183928;11912
isaacpi;1;2017-07-17 18:09:38 UTC;219644;728088;76.82;36280;313152;1065316;101.45;505356;184528;13844
isaacpi;1;2017-07-17 18:09:39 UTC;217660;730072;77.03;36280;315180;1065316;101.45;506712;185288;15872
isaacpi;1;2017-07-17 18:09:40 UTC;216172;731560;77.19;36280;317044;1065316;101.45;508056;185872;17736
isaacpi;1;2017-07-17 18:09:41 UTC;214480;733252;77.37;36292;318828;1065316;101.45;509264;186420;19572
isaacpi;1;2017-07-17 18:09:42 UTC;213396;734336;77.48;36292;319876;1065316;101.45;509844;186732;20620
isaacpi;1;2017-07-17 18:09:43 UTC;211780;735952;77.65;36292;321248;1065316;101.45;510804;187284;22004
isaacpi;1;2017-07-17 18:09:44 UTC;210280;737452;77.81;36292;322796;1065316;101.45;511892;187664;23552
isaacpi;1;2017-07-17 18:09:45 UTC;208620;739112;77.99;36292;324232;1065316;101.45;512924;188132;24988
isaacpi;1;2017-07-17 18:09:46 UTC;206936;740796;78.17;36300;325840;1065316;101.45;514092;188600;26592
isaacpi;1;2017-07-17 18:09:47 UTC;205232;742500;78.34;36300;327600;1065316;101.45;515328;189060;28364
isaacpi;1;2017-07-17 18:09:48 UTC;203372;744360;78.54;36300;329580;1065316;101.45;516584;189652;30344
isaacpi;1;2017-07-17 18:09:49 UTC;200980;746752;78.79;36300;331976;1065316;101.45;518232;190380;32740
isaacpi;1;2017-07-17 18:09:50 UTC;197988;749744;79.11;36300;334156;1064456;101.36;519632;190948;34920
isaacpi;1;2017-07-17 18:09:51 UTC;196232;751500;79.29;36308;336148;1064456;101.36;521160;191676;36924
isaacpi;1;2017-07-17 18:09:52 UTC;193172;754560;79.62;36308;336468;1103944;105.12;524180;191892;7776
isaacpi;1;2017-07-17 18:09:53 UTC;193172;754560;79.62;36308;336480;1103944;105.12;524200;191896;7788
isaacpi;1;2017-07-17 18:09:54 UTC;193172;754560;79.62;36308;336488;1103944;105.12;524200;191896;7796
isaacpi;1;2017-07-17 18:09:55 UTC;193172;754560;79.62;36308;336500;1103944;105.12;524212;191892;7808
isaacpi;7;2017-07-17 18:10:02 UTC;193132;754600;79.62;36320;336512;1104904;105.22;524252;191888;1624
isaacpi;7;2017-07-17 18:10:09 UTC;193068;754664;79.63;36328;336532;1104904;105.22;524256;191896;376
isaacpi;1;2017-07-17 18:10:10 UTC;193068;754664;79.63;36328;336544;1104904;105.22;524272;191896;388
isaacpi;1;2017-07-17 18:10:11 UTC;192944;754788;79.64;36328;336552;1104904;105.22;524292;191896;396
isaacpi;1;2017-07-17 18:10:12 UTC;192944;754788;79.64;36328;336564;1104904;105.22;524292;191896;408
isaacpi;1;2017-07-17 18:10:13 UTC;192820;754912;79.65;36328;336576;1104904;105.22;524304;191896;420
isaacpi;1;2017-07-17 18:10:14 UTC;192788;754944;79.66;36328;336588;1104904;105.22;524324;191900;132
isaacpi;1;2017-07-17 18:10:15 UTC;192788;754944;79.66;36328;336596;1104904;105.22;524324;191900;140
isaacpi;1;2017-07-17 18:10:16 UTC;192788;754944;79.66;36328;336608;1104904;105.22;524336;191896;152
isaacpi;1;2017-07-17 18:10:17 UTC;192788;754944;79.66;36328;336620;1104904;105.22;524360;191896;164
isaacpi;1;2017-07-17 18:10:18 UTC;192788;754944;79.66;36328;336632;1104904;105.22;524360;191896;176
isaacpi;1;2017-07-17 18:10:19 UTC;192788;754944;79.66;36328;336644;1104904;105.22;524372;191896;184
isaacpi;1;2017-07-17 18:10:20 UTC;192004;755728;79.74;36328;336652;1105844;105.31;524380;191900;192
isaacpi;1;2017-07-17 18:10:21 UTC;192044;755688;79.74;36328;336664;1105844;105.31;524392;191896;204
isaacpi;1;2017-07-17 18:10:22 UTC;192044;755688;79.74;36328;336676;1105844;105.31;524404;191896;216
isaacpi;1;2017-07-17 18:10:23 UTC;192076;755656;79.73;36328;336688;1105844;105.31;524416;191896;228
isaacpi;1;2017-07-17 18:10:24 UTC;192076;755656;79.73;36328;336700;1105844;105.31;524424;191900;232
isaacpi;1;2017-07-17 18:10:25 UTC;192108;755624;79.73;36328;336708;1105844;105.31;524436;191900;240
isaacpi;5;2017-07-17 18:10:30 UTC;192024;755708;79.74;36336;336720;1104964;105.22;524452;191896;308
