# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-07-16 00:26:52 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-16 00:26:53 UTC;-1;0.00;0.00;0.75;0.00;0.00;99.25
isaacpi;1;2017-07-16 00:26:54 UTC;-1;0.50;0.00;0.50;0.00;0.00;99.00
isaacpi;1;2017-07-16 00:26:55 UTC;-1;7.40;0.00;1.53;0.00;0.00;91.07
isaacpi;1;2017-07-16 00:26:56 UTC;-1;10.69;0.00;5.09;0.25;0.00;83.97
isaacpi;1;2017-07-16 00:26:57 UTC;-1;11.31;0.00;6.43;0.00;0.00;82.26
isaacpi;1;2017-07-16 00:26:58 UTC;-1;22.47;0.00;3.28;0.00;0.00;74.24
isaacpi;1;2017-07-16 00:26:59 UTC;-1;24.31;0.00;1.25;0.00;0.00;74.44
isaacpi;1;2017-07-16 00:27:00 UTC;-1;22.92;0.00;3.27;0.00;0.00;73.80
isaacpi;1;2017-07-16 00:27:01 UTC;-1;21.72;0.00;4.04;0.51;0.00;73.74
isaacpi;1;2017-07-16 00:27:02 UTC;-1;24.25;0.00;1.25;0.00;0.00;74.50
isaacpi;1;2017-07-16 00:27:03 UTC;-1;23.43;0.00;2.77;0.00;0.00;73.80
isaacpi;1;2017-07-16 00:27:04 UTC;-1;27.02;0.00;1.52;0.00;0.00;71.46
isaacpi;1;2017-07-16 00:27:05 UTC;-1;23.74;0.00;3.28;0.00;0.00;72.98
isaacpi;1;2017-07-16 00:27:06 UTC;-1;5.66;0.00;2.57;0.26;0.00;91.52
isaacpi;1;2017-07-16 00:27:07 UTC;-1;1.57;0.00;3.66;0.00;0.00;94.78
isaacpi;1;2017-07-16 00:27:08 UTC;-1;0.78;0.00;6.79;0.00;0.00;92.43
isaacpi;1;2017-07-16 00:27:09 UTC;-1;3.10;0.00;9.56;0.00;0.00;87.34
isaacpi;1;2017-07-16 00:27:10 UTC;-1;0.51;0.00;8.67;0.00;0.00;90.82
isaacpi;1;2017-07-16 00:27:11 UTC;-1;0.53;0.00;6.84;0.00;0.00;92.63
isaacpi;1;2017-07-16 00:27:12 UTC;-1;1.35;0.00;5.41;0.00;0.00;93.24
isaacpi;1;2017-07-16 00:27:13 UTC;-1;3.04;0.00;8.86;0.00;0.00;88.10
isaacpi;1;2017-07-16 00:27:14 UTC;-1;0.82;0.00;4.36;0.00;0.00;94.82
isaacpi;1;2017-07-16 00:27:15 UTC;-1;0.79;0.00;6.60;0.00;0.00;92.61
isaacpi;1;2017-07-16 00:27:16 UTC;-1;0.83;0.00;2.22;0.28;0.00;96.67
isaacpi;1;2017-07-16 00:27:17 UTC;-1;0.80;0.00;6.67;0.00;0.00;92.53
isaacpi;1;2017-07-16 00:27:18 UTC;-1;1.55;0.00;8.27;0.00;0.00;90.18
