# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-07-16 00:26:52 UTC;257180;690552;72.86;34824;313584;1037496;98.80;483116;168204;36
isaacpi;1;2017-07-16 00:26:53 UTC;257180;690552;72.86;34824;313592;1037496;98.80;483132;168208;44
isaacpi;1;2017-07-16 00:26:54 UTC;257180;690552;72.86;34824;313604;1037496;98.80;483144;168204;56
isaacpi;1;2017-07-16 00:26:55 UTC;256300;691432;72.96;34824;313616;1037496;98.80;484756;167404;68
isaacpi;1;2017-07-16 00:26:56 UTC;254316;693416;73.17;34832;315284;1037496;98.80;488772;165804;1708
isaacpi;1;2017-07-16 00:26:57 UTC;248384;699348;73.79;34848;320932;1037496;98.80;491816;168604;7372
isaacpi;1;2017-07-16 00:26:58 UTC;247948;699784;73.84;34848;321036;1037496;98.80;492764;168180;7460
isaacpi;1;2017-07-16 00:26:59 UTC;246584;701148;73.98;34848;321048;1037496;98.80;494184;168180;7472
isaacpi;1;2017-07-16 00:27:00 UTC;242616;705116;74.40;34848;321060;1037496;98.80;498024;168180;7484
isaacpi;1;2017-07-16 00:27:01 UTC;240508;707224;74.62;34856;321072;1037496;98.80;500172;168180;7596
isaacpi;1;2017-07-16 00:27:02 UTC;239268;708464;74.75;34856;321080;1037496;98.80;501532;168180;7604
isaacpi;1;2017-07-16 00:27:03 UTC;237284;710448;74.96;34856;321092;1043092;99.33;503460;168176;7616
isaacpi;1;2017-07-16 00:27:04 UTC;236292;711440;75.07;34856;321104;1044972;99.51;504260;168092;7628
isaacpi;1;2017-07-16 00:27:05 UTC;229216;718516;75.81;34856;321120;1047032;99.71;511432;167944;7672
isaacpi;1;2017-07-16 00:27:06 UTC;257336;690396;72.85;34864;293008;1047032;99.71;493944;157764;9008
isaacpi;1;2017-07-16 00:27:07 UTC;254604;693128;73.14;34864;295616;1047032;99.71;495488;158708;11616
isaacpi;1;2017-07-16 00:27:08 UTC;252312;695420;73.38;34864;298008;1047032;99.71;497028;159588;14008
isaacpi;1;2017-07-16 00:27:09 UTC;250108;697624;73.61;34864;300392;1047032;99.71;498516;160464;16392
isaacpi;1;2017-07-16 00:27:10 UTC;248064;699668;73.83;34872;302136;1047032;99.71;499616;161136;18144
isaacpi;1;2017-07-16 00:27:11 UTC;246108;701624;74.03;34876;304088;1047032;99.71;501040;161736;20116
