sep=;
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-07-17 18:09:27 UTC;-1;0.25;0.00;0.00;0.00;0.00;99.75
isaacpi;1;2017-07-17 18:09:28 UTC;-1;2.53;0.00;0.76;0.00;0.00;96.72
isaacpi;1;2017-07-17 18:09:29 UTC;-1;0.51;0.00;1.80;0.00;0.00;97.69
isaacpi;1;2017-07-17 18:09:30 UTC;-1;1.04;0.00;2.07;0.00;0.00;96.89
isaacpi;1;2017-07-17 18:09:31 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-17 18:09:32 UTC;-1;1.25;0.00;0.50;0.50;0.00;97.74
isaacpi;1;2017-07-17 18:09:33 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-17 18:09:34 UTC;-1;0.50;0.00;0.50;0.00;0.00;99.00
isaacpi;1;2017-07-17 18:09:35 UTC;-1;0.00;0.00;0.75;0.00;0.00;99.25
isaacpi;1;2017-07-17 18:09:36 UTC;-1;1.51;0.00;1.01;0.00;0.00;97.49
isaacpi;1;2017-07-17 18:09:37 UTC;-1;1.50;0.00;0.25;0.25;0.00;98.00
isaacpi;1;2017-07-17 18:09:38 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-17 18:09:39 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-17 18:09:40 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-17 18:09:41 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-07-17 18:09:42 UTC;-1;0.00;0.00;0.00;0.25;0.00;99.75
isaacpi;1;2017-07-17 18:09:43 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-17 18:09:44 UTC;-1;0.00;0.00;0.00;0.50;0.00;99.50
isaacpi;1;2017-07-17 18:09:45 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-07-17 18:09:46 UTC;-1;0.25;0.00;0.00;0.00;0.00;99.75
isaacpi;1;2017-07-17 18:09:47 UTC;-1;0.00;0.00;0.00;0.25;0.00;99.75
isaacpi;1;2017-07-17 18:09:48 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-17 18:09:49 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-07-17 18:09:50 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-07-17 18:09:51 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-07-17 18:09:52 UTC;-1;0.00;0.00;0.00;0.25;0.00;99.75
isaacpi;1;2017-07-17 18:09:53 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
