sep=;
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-07-17 18:09:27 UTC;551936;395796;41.76;31604;191564;840952;80.08;230392;131460;28
isaacpi;1;2017-07-17 18:09:28 UTC;551660;396072;41.79;31604;191580;840952;80.08;230484;131464;48
isaacpi;1;2017-07-17 18:09:29 UTC;551652;396080;41.79;31604;191592;840952;80.08;230596;131460;60
isaacpi;1;2017-07-17 18:09:30 UTC;551756;395976;41.78;31604;191604;840952;80.08;230608;131460;72
isaacpi;1;2017-07-17 18:09:31 UTC;551820;395912;41.77;31604;191612;840952;80.08;230616;131464;80
isaacpi;1;2017-07-17 18:09:32 UTC;551476;396256;41.81;31612;191624;840760;80.06;230740;131408;160
isaacpi;1;2017-07-17 18:09:33 UTC;551540;396192;41.80;31612;191636;840760;80.06;230708;131408;172
isaacpi;1;2017-07-17 18:09:34 UTC;551696;396036;41.79;31612;191644;841688;80.15;230664;131412;188
isaacpi;1;2017-07-17 18:09:35 UTC;551572;396160;41.80;31612;191656;841688;80.15;230728;131408;200
isaacpi;1;2017-07-17 18:09:36 UTC;551380;396352;41.82;31612;191668;840760;80.06;230740;131408;212
isaacpi;1;2017-07-17 18:09:37 UTC;551372;396360;41.82;31620;191680;841780;80.16;230780;131408;232
isaacpi;1;2017-07-17 18:09:38 UTC;551340;396392;41.83;31620;191688;841780;80.16;230816;131412;240
isaacpi;1;2017-07-17 18:09:39 UTC;551372;396360;41.82;31620;191700;841780;80.16;230828;131408;244
isaacpi;1;2017-07-17 18:09:40 UTC;551372;396360;41.82;31620;191712;841780;80.16;230840;131408;256
isaacpi;1;2017-07-17 18:09:41 UTC;551340;396392;41.83;31620;191720;841780;80.16;230848;131412;264
isaacpi;1;2017-07-17 18:09:42 UTC;551340;396392;41.83;31628;191732;841780;80.16;230868;131408;276
isaacpi;1;2017-07-17 18:09:43 UTC;551340;396392;41.83;31628;191744;841780;80.16;230880;131408;288
isaacpi;1;2017-07-17 18:09:44 UTC;551372;396360;41.82;31628;191752;841780;80.16;230892;131408;12
isaacpi;1;2017-07-17 18:09:45 UTC;551372;396360;41.82;31628;191764;841780;80.16;230900;131408;28
isaacpi;1;2017-07-17 18:09:46 UTC;551372;396360;41.82;31628;191776;841780;80.16;230912;131408;44
isaacpi;1;2017-07-17 18:09:47 UTC;551340;396392;41.83;31636;191788;841780;80.16;230924;131408;68
isaacpi;1;2017-07-17 18:09:48 UTC;551248;396484;41.84;31636;191796;841780;80.16;230944;131412;76
isaacpi;1;2017-07-17 18:09:49 UTC;551248;396484;41.84;31636;191808;841780;80.16;230956;131408;88
isaacpi;1;2017-07-17 18:09:50 UTC;551248;396484;41.84;31636;191820;841780;80.16;230968;131408;100
isaacpi;1;2017-07-17 18:09:51 UTC;551248;396484;41.84;31636;191828;841780;80.16;230980;131408;108
isaacpi;1;2017-07-17 18:09:52 UTC;551124;396608;41.85;31644;191840;841780;80.16;230988;131408;120
isaacpi;1;2017-07-17 18:09:53 UTC;551124;396608;41.85;31644;191852;841780;80.16;231008;131408;132
isaacpi;1;2017-07-17 18:09:54 UTC;551124;396608;41.85;31644;191864;841780;80.16;231020;131408;144
isaacpi;1;2017-07-17 18:09:55 UTC;551124;396608;41.85;31644;191872;841780;80.16;231028;131412;152
isaacpi;1;2017-07-17 18:09:56 UTC;551124;396608;41.85;31644;191884;841780;80.16;231040;131408;164
isaacpi;1;2017-07-17 18:09:57 UTC;551028;396704;41.86;31652;191896;841780;80.16;231060;131408;176
isaacpi;1;2017-07-17 18:09:58 UTC;551028;396704;41.86;31652;191904;841780;80.16;231068;131412;184
isaacpi;1;2017-07-17 18:09:59 UTC;551028;396704;41.86;31652;191916;841780;80.16;231080;131408;12
isaacpi;1;2017-07-17 18:10:00 UTC;550904;396828;41.87;31652;191928;841780;80.16;231092;131408;28
isaacpi;1;2017-07-17 18:10:01 UTC;550904;396828;41.87;31652;191940;841780;80.16;231104;131408;40
isaacpi;1;2017-07-17 18:10:02 UTC;550996;396736;41.86;31660;191940;841780;80.16;231132;131408;48
isaacpi;1;2017-07-17 18:10:03 UTC;551060;396672;41.85;31660;191960;841780;80.16;231140;131408;80
isaacpi;1;2017-07-17 18:10:04 UTC;550920;396812;41.87;31660;191972;840924;80.08;231152;131412;92
isaacpi;1;2017-07-17 18:10:05 UTC;550904;396828;41.87;31660;191980;840924;80.08;231160;131412;100
isaacpi;1;2017-07-17 18:10:06 UTC;550936;396796;41.87;31660;191992;840924;80.08;231184;131408;112
isaacpi;1;2017-07-17 18:10:07 UTC;550936;396796;41.87;31660;192004;840924;80.08;231184;131408;124
isaacpi;1;2017-07-17 18:10:08 UTC;550936;396796;41.87;31668;192012;840924;80.08;231196;131408;136
isaacpi;1;2017-07-17 18:10:09 UTC;550936;396796;41.87;31668;192024;840924;80.08;231216;131408;148
isaacpi;1;2017-07-17 18:10:10 UTC;550904;396828;41.87;31668;192036;840924;80.08;231216;131408;164
isaacpi;1;2017-07-17 18:10:11 UTC;550904;396828;41.87;31668;192048;840924;80.08;231228;131408;176
isaacpi;1;2017-07-17 18:10:12 UTC;550936;396796;41.87;31668;192056;840924;80.08;231248;131408;184
isaacpi;1;2017-07-17 18:10:13 UTC;550904;396828;41.87;31676;192068;840924;80.08;231248;131408;196
isaacpi;1;2017-07-17 18:10:14 UTC;550936;396796;41.87;31676;192080;840924;80.08;231260;131408;208
isaacpi;1;2017-07-17 18:10:15 UTC;550904;396828;41.87;31676;192088;840924;80.08;231280;131408;216
isaacpi;1;2017-07-17 18:10:16 UTC;550780;396952;41.88;31676;192100;840924;80.08;231280;131408;228
isaacpi;1;2017-07-17 18:10:17 UTC;550656;397076;41.90;31676;192112;840924;80.08;231292;131408;240
isaacpi;1;2017-07-17 18:10:18 UTC;550656;397076;41.90;31684;192124;840924;80.08;231312;131412;252
isaacpi;1;2017-07-17 18:10:19 UTC;550656;397076;41.90;31684;192132;840924;80.08;231312;131412;260
isaacpi;1;2017-07-17 18:10:20 UTC;550656;397076;41.90;31684;192144;840924;80.08;231324;131408;272
isaacpi;1;2017-07-17 18:10:21 UTC;550656;397076;41.90;31684;192156;840924;80.08;231344;131412;284
isaacpi;1;2017-07-17 18:10:22 UTC;550688;397044;41.89;31684;192164;840924;80.08;231344;131412;292
isaacpi;1;2017-07-17 18:10:23 UTC;550656;397076;41.90;31692;192176;840924;80.08;231356;131408;304
isaacpi;1;2017-07-17 18:10:24 UTC;550688;397044;41.89;31692;192188;840924;80.08;231400;131408;0
