# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
isaacpi;1;2017-07-16 21:00:27 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 21:00:27 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 21:00:27 UTC;eth0;48.00;4.00;2.18;0.35;0.00;0.00;0.00;0.02
isaacpi;1;2017-07-16 21:00:28 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 21:00:28 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 21:00:28 UTC;eth0;42.00;1.00;1.90;0.08;0.00;0.00;0.00;0.02
isaacpi;1;2017-07-16 21:00:29 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 21:00:29 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 21:00:29 UTC;eth0;608.00;1486.00;34.11;2179.50;0.00;0.00;0.00;17.85
isaacpi;1;2017-07-16 21:00:30 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 21:00:30 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 21:00:30 UTC;eth0;1186.00;2664.00;66.80;3964.85;0.00;0.00;0.00;32.48
isaacpi;1;2017-07-16 21:00:31 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 21:00:31 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 21:00:31 UTC;eth0;405.00;1002.00;21.81;1491.53;0.00;0.00;0.00;12.22
isaacpi;1;2017-07-16 21:00:32 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 21:00:32 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 21:00:32 UTC;eth0;34.00;0.00;1.53;0.00;0.00;0.00;0.00;0.01
isaacpi;1;2017-07-16 21:00:33 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
