sep=;
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;77;2017-07-16 01:30:18 UTC;133900;813832;85.87;34292;327716;1119088;106.57;530216;242568;88
isaacpi;1;2017-07-16 01:30:19 UTC;133932;813800;85.87;34292;327728;1119088;106.57;530272;242552;104
isaacpi;1;2017-07-16 01:30:20 UTC;133932;813800;85.87;34292;327740;1119088;106.57;530288;242552;116
isaacpi;1;2017-07-16 01:30:21 UTC;133932;813800;85.87;34292;327748;1119088;106.57;530296;242556;124
isaacpi;1;2017-07-16 01:30:22 UTC;133932;813800;85.87;34300;327760;1119088;106.57;530308;242552;112
isaacpi;1;2017-07-16 01:30:23 UTC;133932;813800;85.87;34300;327772;1119088;106.57;530320;242552;152
isaacpi;1;2017-07-16 01:30:24 UTC;132804;814928;85.99;34300;327784;1120088;106.66;531132;242552;164
isaacpi;1;2017-07-16 01:30:25 UTC;130752;816980;86.20;34300;328940;1120088;106.66;533648;242548;1320
isaacpi;1;2017-07-16 01:30:26 UTC;128992;818740;86.39;34300;330536;1121016;106.75;535320;242552;2916
isaacpi;1;2017-07-16 01:30:27 UTC;130552;817180;86.22;34308;327880;1121016;106.75;536936;238940;3820
isaacpi;1;2017-07-16 01:30:28 UTC;121864;825868;87.14;34308;330868;1121592;106.81;541896;242472;6860
isaacpi;1;2017-07-16 01:30:29 UTC;116756;830976;87.68;34336;335164;1121592;106.81;545068;244344;11164
isaacpi;1;2017-07-16 01:30:30 UTC;116756;830976;87.68;34336;335176;1121592;106.81;548860;240576;11176
isaacpi;1;2017-07-16 01:30:31 UTC;116756;830976;87.68;34336;335184;1121592;106.81;552696;236752;11184
isaacpi;1;2017-07-16 01:30:32 UTC;116756;830976;87.68;34336;335196;1121592;106.81;555596;233860;11196
isaacpi;1;2017-07-16 01:30:33 UTC;116756;830976;87.68;34348;335208;1121592;106.81;558180;231288;11376
isaacpi;1;2017-07-16 01:30:34 UTC;116508;831224;87.71;34348;335220;1121592;106.81;560680;229008;11388
isaacpi;1;2017-07-16 01:30:35 UTC;113476;834256;88.03;34376;335208;1168936;111.31;563896;228952;11552
isaacpi;1;2017-07-16 01:30:36 UTC;111300;836432;88.26;34396;335296;1192120;113.52;565364;228900;11652
isaacpi;1;2017-07-16 01:30:37 UTC;111408;836324;88.24;34396;335332;1191508;113.46;565152;228876;11684
isaacpi;1;2017-07-16 01:30:38 UTC;188076;759656;80.16;34396;335356;1118444;106.51;488516;228876;11660
isaacpi;1;2017-07-16 01:30:39 UTC;178448;769284;81.17;34412;336084;1387948;132.17;496884;229116;11664
isaacpi;1;2017-07-16 01:30:40 UTC;181756;765976;80.82;34436;337256;1272804;121.20;495460;228504;11732
isaacpi;1;2017-07-16 01:30:41 UTC;169744;777988;82.09;34444;338512;1275988;121.51;509872;226372;11784
isaacpi;1;2017-07-16 01:30:42 UTC;163544;784188;82.74;34444;339012;1279484;121.84;516408;225284;11796
isaacpi;1;2017-07-16 01:30:43 UTC;160292;787440;83.09;34444;339308;1280504;121.94;521008;224424;11812
isaacpi;1;2017-07-16 01:30:44 UTC;157680;790052;83.36;34444;339996;1284604;122.33;524196;223964;11824
isaacpi;1;2017-07-16 01:30:45 UTC;144132;803600;84.79;34452;342840;1284604;122.33;539080;222760;11840
isaacpi;1;2017-07-16 01:30:46 UTC;138760;808972;85.36;34452;342900;1287548;122.61;544444;222624;11868
isaacpi;1;2017-07-16 01:30:47 UTC;134072;813660;85.85;34452;344172;1288576;122.71;548956;222752;11880
isaacpi;1;2017-07-16 01:30:48 UTC;131156;816576;86.16;34452;344500;1291928;123.03;551260;222756;11892
isaacpi;1;2017-07-16 01:30:49 UTC;128748;818984;86.42;34452;344508;1301048;123.89;553968;222740;11900
isaacpi;1;2017-07-16 01:30:50 UTC;125772;821960;86.73;34452;344520;1301048;123.89;556972;222740;11912
isaacpi;1;2017-07-16 01:30:51 UTC;122032;825700;87.12;34460;344536;1302128;124.00;560308;222740;11924
isaacpi;1;2017-07-16 01:30:52 UTC;120936;826796;87.24;34460;344572;1302128;124.00;561700;222740;11500
isaacpi;1;2017-07-16 01:30:53 UTC;117340;830392;87.62;34460;344580;1305996;124.37;565508;222744;11568
isaacpi;1;2017-07-16 01:30:54 UTC;116224;831508;87.74;34460;344632;1306964;124.46;566520;222740;11580
isaacpi;1;2017-07-16 01:30:55 UTC;114364;833368;87.93;34460;344808;1306964;124.46;568372;222740;11592
isaacpi;1;2017-07-16 01:30:56 UTC;113076;834656;88.07;34468;344792;1306752;124.44;569336;222740;11608
isaacpi;1;2017-07-16 01:30:57 UTC;110892;836840;88.30;34468;344808;1313300;125.06;571684;222744;11628
isaacpi;1;2017-07-16 01:30:58 UTC;108164;839568;88.59;34476;344980;1314336;125.16;574400;222744;11636
isaacpi;1;2017-07-16 01:30:59 UTC;107404;840328;88.67;34492;345208;1314336;125.16;575384;222736;11648
isaacpi;1;2017-07-16 01:31:00 UTC;106892;840840;88.72;34492;345368;1315488;125.27;575816;222736;11660
isaacpi;1;2017-07-16 01:31:01 UTC;105760;841972;88.84;34500;345512;1316448;125.36;577104;222740;11704
isaacpi;1;2017-07-16 01:31:02 UTC;103744;843988;89.05;34500;345488;1318396;125.55;578996;222760;11272
isaacpi;1;2017-07-16 01:31:03 UTC;103280;844452;89.10;34500;345496;1319420;125.64;579656;222756;11200
isaacpi;1;2017-07-16 01:31:04 UTC;103156;844576;89.12;34500;345524;1319420;125.64;579704;222752;11212
isaacpi;1;2017-07-16 01:31:05 UTC;103156;844576;89.12;34500;345540;1319420;125.64;579792;222752;11224
isaacpi;7;2017-07-16 01:31:11 UTC;101676;846056;89.27;34508;345632;1321500;125.84;580880;222744;204
isaacpi;1;2017-07-16 01:31:12 UTC;101544;846188;89.29;34508;345640;1321500;125.84;580888;222748;212
isaacpi;1;2017-07-16 01:31:13 UTC;101544;846188;89.29;34508;345652;1321500;125.84;580900;222744;224
isaacpi;1;2017-07-16 01:31:14 UTC;101544;846188;89.29;34508;345712;1321500;125.84;580968;222744;240
isaacpi;1;2017-07-16 01:31:15 UTC;101544;846188;89.29;34512;345720;1321500;125.84;580972;222744;252
isaacpi;6;2017-07-16 01:31:21 UTC;101544;846188;89.29;34516;345812;1321500;125.84;581044;222744;248
isaacpi;1;2017-07-16 01:31:22 UTC;101544;846188;89.29;34516;345820;1321500;125.84;581076;222748;256
isaacpi;1;2017-07-16 01:31:23 UTC;101544;846188;89.29;34516;345840;1321500;125.84;581088;222744;268
isaacpi;1;2017-07-16 01:31:24 UTC;101544;846188;89.29;34516;345868;1321500;125.84;581124;222744;280
isaacpi;1;2017-07-16 01:31:25 UTC;99932;847800;89.46;34524;347520;1321500;125.84;582736;222744;428
isaacpi;1;2017-07-16 01:31:26 UTC;99436;848296;89.51;34524;347744;1321500;125.84;583020;222744;204
isaacpi;1;2017-07-16 01:31:27 UTC;93608;854124;90.12;34524;351080;1334664;127.10;595652;216324;216
