sep=;
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-07-16 19:55:01 UTC;-1;1.00;0.00;2.01;0.00;0.00;96.99
isaacpi;1;2017-07-16 19:55:02 UTC;-1;2.00;0.00;0.50;0.00;0.00;97.50
isaacpi;1;2017-07-16 19:55:03 UTC;-1;0.25;0.00;1.25;0.00;0.00;98.50
isaacpi;1;2017-07-16 19:55:04 UTC;-1;7.79;0.00;1.51;0.00;0.00;90.70
isaacpi;1;2017-07-16 19:55:05 UTC;-1;11.23;0.00;4.18;2.09;0.00;82.51
isaacpi;4;2017-07-16 19:55:09 UTC;-1;4.26;0.00;2.53;35.60;0.00;57.62
isaacpi;1;2017-07-16 19:55:10 UTC;-1;11.23;0.00;9.66;0.00;0.00;79.11
isaacpi;1;2017-07-16 19:55:11 UTC;-1;25.00;0.00;4.80;0.51;0.00;69.70
isaacpi;1;2017-07-16 19:55:12 UTC;-1;22.61;0.00;3.52;1.26;0.00;72.61
isaacpi;1;2017-07-16 19:55:13 UTC;-1;22.81;0.00;4.01;0.00;0.00;73.18
isaacpi;1;2017-07-16 19:55:14 UTC;-1;21.75;0.00;4.25;0.00;0.00;74.00
isaacpi;1;2017-07-16 19:55:15 UTC;-1;22.61;0.00;4.02;0.00;0.00;73.37
isaacpi;1;2017-07-16 19:55:16 UTC;-1;28.00;0.00;1.50;0.00;0.00;70.50
isaacpi;1;2017-07-16 19:55:17 UTC;-1;23.69;0.00;2.99;0.25;0.00;73.07
isaacpi;1;2017-07-16 19:55:18 UTC;-1;12.85;0.00;1.76;12.59;0.00;72.80
isaacpi;1;2017-07-16 19:55:19 UTC;-1;3.84;0.00;4.09;20.46;0.00;71.61
isaacpi;1;2017-07-16 19:55:20 UTC;-1;0.25;0.00;0.25;33.25;0.00;66.25
isaacpi;1;2017-07-16 19:55:21 UTC;-1;6.35;0.00;5.58;15.23;0.00;72.84
isaacpi;1;2017-07-16 19:55:22 UTC;-1;4.59;0.00;4.59;20.15;0.00;70.66
isaacpi;1;2017-07-16 19:55:23 UTC;-1;8.50;0.00;1.75;17.00;0.00;72.75
isaacpi;1;2017-07-16 19:55:24 UTC;-1;18.77;0.00;3.70;8.64;0.00;68.89
isaacpi;1;2017-07-16 19:55:25 UTC;-1;21.07;0.00;2.28;6.60;0.00;70.05
isaacpi;1;2017-07-16 19:55:26 UTC;-1;21.27;0.00;1.77;4.05;0.00;72.91
isaacpi;1;2017-07-16 19:55:27 UTC;-1;23.66;0.00;1.02;2.29;0.00;73.03
isaacpi;1;2017-07-16 19:55:28 UTC;-1;25.58;0.00;2.05;6.14;0.00;66.24
isaacpi;1;2017-07-16 19:55:29 UTC;-1;39.10;0.00;5.51;10.78;0.00;44.61
isaacpi;1;2017-07-16 19:55:30 UTC;-1;51.15;0.00;3.32;3.07;0.00;42.46
isaacpi;1;2017-07-16 19:55:31 UTC;-1;46.60;0.00;3.53;6.05;0.00;43.83
isaacpi;1;2017-07-16 19:55:32 UTC;-1;39.95;0.00;2.29;2.80;0.00;54.96
isaacpi;1;2017-07-16 19:55:33 UTC;-1;25.94;0.00;2.00;0.50;0.00;71.57
isaacpi;1;2017-07-16 19:55:34 UTC;-1;26.08;0.00;2.03;1.01;0.00;70.89
isaacpi;1;2017-07-16 19:55:35 UTC;-1;24.05;0.00;3.80;0.51;0.00;71.65
isaacpi;1;2017-07-16 19:55:36 UTC;-1;24.69;0.00;0.76;1.26;0.00;73.30
isaacpi;1;2017-07-16 19:55:37 UTC;-1;26.12;0.00;2.24;0.75;0.00;70.90
isaacpi;1;2017-07-16 19:55:38 UTC;-1;25.88;0.00;2.26;1.26;0.00;70.60
isaacpi;1;2017-07-16 19:55:39 UTC;-1;27.92;0.00;1.27;0.51;0.00;70.30
isaacpi;1;2017-07-16 19:55:40 UTC;-1;27.78;0.00;0.76;0.76;0.00;70.71
isaacpi;1;2017-07-16 19:55:41 UTC;-1;10.08;0.00;0.00;33.50;0.00;56.42
isaacpi;1;2017-07-16 19:55:42 UTC;-1;2.01;0.00;0.50;47.62;0.00;49.87
isaacpi;7;2017-07-16 19:55:49 UTC;-1;1.91;0.00;0.58;49.93;0.00;47.58
isaacpi;1;2017-07-16 19:55:50 UTC;-1;0.00;0.00;0.50;49.50;0.00;50.00
isaacpi;1;2017-07-16 19:55:51 UTC;-1;0.25;0.00;0.25;49.75;0.00;49.75
isaacpi;1;2017-07-16 19:55:52 UTC;-1;0.00;0.00;0.50;49.62;0.00;49.87
isaacpi;1;2017-07-16 19:55:53 UTC;-1;0.25;0.00;0.25;49.63;0.00;49.88
isaacpi;4;2017-07-16 19:55:57 UTC;-1;4.04;0.00;0.19;48.84;0.00;46.92
isaacpi;1;2017-07-16 19:55:58 UTC;-1;0.00;0.00;0.50;24.81;0.00;74.69
