# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;76;2017-07-16 01:30:29 UTC;129244;818488;86.36;36796;332884;1116940;106.36;546980;229788;56
isaacpi;1;2017-07-16 01:30:30 UTC;129204;818528;86.37;36796;332896;1116940;106.36;547024;229788;72
isaacpi;1;2017-07-16 01:30:31 UTC;129204;818528;86.37;36796;332908;1116940;106.36;547044;229792;84
isaacpi;1;2017-07-16 01:30:32 UTC;129204;818528;86.37;36796;332916;1116940;106.36;547044;229792;92
isaacpi;1;2017-07-16 01:30:33 UTC;129204;818528;86.37;36796;332928;1116940;106.36;547060;229788;104
isaacpi;1;2017-07-16 01:30:34 UTC;126720;821012;86.63;36804;333376;1116940;106.36;549992;229768;564
isaacpi;1;2017-07-16 01:30:35 UTC;124608;823124;86.85;36804;335300;1116940;106.36;552012;229780;2504
isaacpi;1;2017-07-16 01:30:36 UTC;124112;823620;86.90;36804;333564;1116888;106.36;552752;229704;4384
isaacpi;1;2017-07-16 01:30:37 UTC;116988;830744;87.66;36828;340216;1116888;106.36;556768;232600;11052
isaacpi;1;2017-07-16 01:30:38 UTC;116896;830836;87.67;36828;340304;1116888;106.36;560744;228788;11128
isaacpi;1;2017-07-16 01:30:39 UTC;116896;830836;87.67;36828;340316;1116888;106.36;564464;225080;11140
isaacpi;1;2017-07-16 01:30:40 UTC;116896;830836;87.67;36840;340328;1116888;106.36;568056;221512;11304
isaacpi;1;2017-07-16 01:30:41 UTC;116896;830836;87.67;36840;340340;1116888;106.36;570704;218864;11316
isaacpi;1;2017-07-16 01:30:42 UTC;116896;830836;87.67;36840;340348;1116888;106.36;573304;216276;11324
isaacpi;1;2017-07-16 01:30:43 UTC;113412;834320;88.03;36868;340420;1165732;111.01;576568;216132;11580
isaacpi;1;2017-07-16 01:30:44 UTC;109748;837984;88.42;36896;340564;1303420;124.12;579104;216212;11592
isaacpi;1;2017-07-16 01:30:45 UTC;99616;848116;89.49;36928;343132;1339816;127.59;589844;215004;11736
isaacpi;1;2017-07-16 01:30:46 UTC;89936;857796;90.51;36928;343916;1344600;128.04;601564;213168;11744
isaacpi;1;2017-07-16 01:30:47 UTC;84356;863376;91.10;36928;344336;1345524;128.13;608436;212104;11756
isaacpi;1;2017-07-16 01:30:48 UTC;83016;864716;91.24;36928;344424;1344360;128.02;609648;211720;11052
isaacpi;1;2017-07-16 01:30:49 UTC;83080;864652;91.23;36928;344436;1344360;128.02;609656;211704;11068
isaacpi;1;2017-07-16 01:30:50 UTC;83080;864652;91.23;36928;344452;1344360;128.02;609776;211708;11080
