# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-07-16 18:29:40 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-07-16 18:29:41 UTC;-1;0.25;0.00;0.75;0.00;0.00;99.00
isaacpi;1;2017-07-16 18:29:42 UTC;-1;17.30;0.00;3.05;0.00;0.00;79.64
isaacpi;1;2017-07-16 18:29:43 UTC;-1;3.78;0.00;4.86;0.00;0.00;91.35
isaacpi;1;2017-07-16 18:29:44 UTC;-1;12.56;0.00;5.78;0.50;0.00;81.16
isaacpi;1;2017-07-16 18:29:45 UTC;-1;6.02;0.00;9.02;0.00;0.00;84.96
isaacpi;1;2017-07-16 18:29:46 UTC;-1;5.24;0.00;7.59;33.51;0.00;53.66
isaacpi;1;2017-07-16 18:29:47 UTC;-1;21.83;0.00;6.60;10.66;0.00;60.91
isaacpi;1;2017-07-16 18:29:48 UTC;-1;24.12;0.00;3.27;0.00;0.00;72.61
isaacpi;1;2017-07-16 18:29:49 UTC;-1;23.62;0.00;3.27;0.00;0.00;73.12
isaacpi;5;2017-07-16 18:29:54 UTC;-1;17.13;0.00;2.71;47.11;0.00;33.05
isaacpi;5;2017-07-16 18:30:00 UTC;-1;0.27;0.00;0.37;46.68;0.00;52.67
isaacpi;1;2017-07-16 18:30:01 UTC;-1;14.29;0.00;15.32;6.49;0.00;63.90
isaacpi;1;2017-07-16 18:30:02 UTC;-1;29.00;0.00;4.25;0.00;0.00;66.75
isaacpi;1;2017-07-16 18:30:03 UTC;-1;27.14;0.00;3.52;0.00;0.00;69.35
isaacpi;1;2017-07-16 18:30:04 UTC;-1;27.57;0.00;1.00;0.00;0.00;71.43
isaacpi;1;2017-07-16 18:30:05 UTC;-1;32.32;0.00;3.28;0.00;0.00;64.39
isaacpi;1;2017-07-16 18:30:06 UTC;-1;50.25;0.00;3.73;0.00;0.00;46.02
isaacpi;1;2017-07-16 18:30:07 UTC;-1;60.50;0.00;3.00;1.00;0.00;35.50
isaacpi;1;2017-07-16 18:30:08 UTC;-1;45.24;0.00;2.57;0.00;0.00;52.19
isaacpi;1;2017-07-16 18:30:09 UTC;-1;26.57;0.00;1.00;0.00;0.00;72.43
isaacpi;1;2017-07-16 18:30:10 UTC;-1;23.92;0.00;1.78;0.00;0.00;74.30
isaacpi;1;2017-07-16 18:30:11 UTC;-1;26.46;0.00;2.54;0.00;0.00;70.99
isaacpi;1;2017-07-16 18:30:12 UTC;-1;26.45;0.00;4.53;0.25;0.00;68.77
isaacpi;1;2017-07-16 18:30:13 UTC;-1;25.06;0.00;4.05;0.00;0.00;70.89
isaacpi;1;2017-07-16 18:30:14 UTC;-1;27.23;0.00;0.76;0.00;0.00;72.01
isaacpi;1;2017-07-16 18:30:15 UTC;-1;29.82;0.00;1.00;0.00;0.00;69.17
isaacpi;1;2017-07-16 18:30:16 UTC;-1;30.40;0.00;1.26;0.00;0.00;68.34
isaacpi;1;2017-07-16 18:30:17 UTC;-1;26.50;0.00;0.75;0.00;0.00;72.75
isaacpi;1;2017-07-16 18:30:18 UTC;-1;27.50;0.00;1.25;0.00;0.00;71.25
isaacpi;1;2017-07-16 18:30:19 UTC;-1;27.85;0.00;2.03;0.00;0.00;70.13
isaacpi;1;2017-07-16 18:30:20 UTC;-1;30.58;0.00;1.25;0.00;0.00;68.17
isaacpi;1;2017-07-16 18:30:21 UTC;-1;28.79;0.00;1.26;0.00;0.00;69.95
isaacpi;5;2017-07-16 18:30:25 UTC;-1;26.21;0.00;1.66;34.05;0.00;38.08
isaacpi;1;2017-07-16 18:30:26 UTC;-1;25.31;0.00;2.01;23.31;0.00;49.37
