sep=;
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;76;2017-07-16 01:30:31 UTC;-1;0.16;0.00;0.12;2.01;0.00;97.71
isaacpi;1;2017-07-16 01:30:32 UTC;-1;1.01;0.00;0.50;0.00;0.00;98.49
isaacpi;1;2017-07-16 01:30:33 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-16 01:30:34 UTC;-1;6.33;0.00;0.51;0.00;0.00;93.16
isaacpi;1;2017-07-16 01:30:35 UTC;-1;0.51;0.00;0.77;0.00;0.00;98.72
isaacpi;1;2017-07-16 01:30:36 UTC;-1;0.26;0.00;0.77;0.00;0.00;98.97
isaacpi;1;2017-07-16 01:30:37 UTC;-1;0.52;0.00;1.03;0.26;0.00;98.19
isaacpi;1;2017-07-16 01:30:38 UTC;-1;1.31;0.00;0.52;0.00;0.00;98.17
isaacpi;1;2017-07-16 01:30:39 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-07-16 01:30:40 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-16 01:30:41 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-07-16 01:30:42 UTC;-1;0.00;0.00;0.00;0.25;0.00;99.75
isaacpi;1;2017-07-16 01:30:43 UTC;-1;0.50;0.00;0.50;0.00;0.00;99.00
isaacpi;1;2017-07-16 01:30:44 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-16 01:30:45 UTC;-1;1.01;0.00;0.75;0.00;0.00;98.24
isaacpi;1;2017-07-16 01:30:46 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-16 01:30:47 UTC;-1;0.00;0.00;0.75;0.25;0.00;99.00
isaacpi;1;2017-07-16 01:30:48 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-07-16 01:30:49 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-16 01:30:50 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-16 01:30:51 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-16 01:30:52 UTC;-1;0.75;0.00;1.00;0.25;0.00;97.99
isaacpi;1;2017-07-16 01:30:53 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-16 01:30:54 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-07-16 01:30:55 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-07-16 01:30:56 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-07-16 01:30:57 UTC;-1;0.25;0.00;0.25;0.25;0.00;99.24
isaacpi;1;2017-07-16 01:30:58 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
