sep=;
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-07-16 19:55:21 UTC;253664;694068;73.23;41084;239620;1077408;102.60;523620;134184;80
isaacpi;1;2017-07-16 19:55:22 UTC;253632;694100;73.24;41084;239632;1077408;102.60;523628;134184;92
isaacpi;1;2017-07-16 19:55:23 UTC;253472;694260;73.25;41084;239644;1077408;102.60;523640;134188;112
isaacpi;1;2017-07-16 19:55:24 UTC;253512;694220;73.25;41084;239652;1077408;102.60;523656;134184;120
isaacpi;1;2017-07-16 19:55:25 UTC;253480;694252;73.25;41084;239664;1077408;102.60;523668;134180;96
isaacpi;1;2017-07-16 19:55:26 UTC;253340;694392;73.27;41092;239680;1077232;102.58;523636;134180;156
isaacpi;1;2017-07-16 19:55:27 UTC;253652;694080;73.24;41092;239688;1077232;102.58;523700;134180;164
isaacpi;1;2017-07-16 19:55:28 UTC;253612;694120;73.24;41092;239700;1077232;102.58;523708;134180;176
isaacpi;1;2017-07-16 19:55:29 UTC;253612;694120;73.24;41092;239712;1077232;102.58;523720;134180;40
isaacpi;1;2017-07-16 19:55:30 UTC;253612;694120;73.24;41092;239724;1077232;102.58;523732;134180;40
isaacpi;1;2017-07-16 19:55:31 UTC;253580;694152;73.24;41100;239732;1077232;102.58;523740;134184;96
isaacpi;1;2017-07-16 19:55:32 UTC;253548;694184;73.25;41100;239744;1077232;102.58;523752;134180;108
isaacpi;1;2017-07-16 19:55:33 UTC;253540;694192;73.25;41100;239756;1078156;102.67;523772;134184;132
isaacpi;1;2017-07-16 19:55:34 UTC;253572;694160;73.24;41100;239764;1078156;102.67;523784;134184;140
isaacpi;1;2017-07-16 19:55:35 UTC;253532;694200;73.25;41100;239776;1078156;102.67;523792;134184;152
isaacpi;1;2017-07-16 19:55:36 UTC;253532;694200;73.25;41108;239788;1078156;102.67;523804;134184;164
isaacpi;1;2017-07-16 19:55:37 UTC;253564;694168;73.25;41108;239800;1078156;102.67;523816;134184;176
isaacpi;1;2017-07-16 19:55:38 UTC;253564;694168;73.25;41108;239808;1078156;102.67;523824;134188;184
isaacpi;1;2017-07-16 19:55:39 UTC;253564;694168;73.25;41108;239820;1078156;102.67;523836;134184;48
isaacpi;1;2017-07-16 19:55:40 UTC;253564;694168;73.25;41108;239832;1078156;102.67;523848;134184;40
isaacpi;1;2017-07-16 19:55:41 UTC;253564;694168;73.25;41116;239836;1078156;102.67;523860;134184;48
isaacpi;1;2017-07-16 19:55:42 UTC;253564;694168;73.25;41116;239852;1078156;102.67;523872;134180;80
isaacpi;1;2017-07-16 19:55:43 UTC;253564;694168;73.25;41116;239864;1078156;102.67;523884;134180;96
isaacpi;1;2017-07-16 19:55:44 UTC;253532;694200;73.25;41116;239876;1078156;102.67;523896;134180;108
isaacpi;1;2017-07-16 19:55:45 UTC;253564;694168;73.25;41116;239884;1078156;102.67;523904;134184;28
isaacpi;1;2017-07-16 19:55:46 UTC;253564;694168;73.25;41120;239896;1078156;102.67;523916;134180;44
isaacpi;1;2017-07-16 19:55:47 UTC;253556;694176;73.25;41124;239908;1078156;102.67;523928;134180;76
isaacpi;1;2017-07-16 19:55:48 UTC;253524;694208;73.25;41124;239916;1078156;102.67;523936;134184;84
isaacpi;1;2017-07-16 19:55:49 UTC;253556;694176;73.25;41124;239928;1078156;102.67;523948;134180;96
isaacpi;1;2017-07-16 19:55:50 UTC;253556;694176;73.25;41124;239940;1078156;102.67;523960;134180;108
isaacpi;1;2017-07-16 19:55:51 UTC;253400;694332;73.26;41132;239948;1078156;102.67;523972;134180;120
isaacpi;1;2017-07-16 19:55:52 UTC;253400;694332;73.26;41132;239960;1078156;102.67;523980;134180;132
isaacpi;1;2017-07-16 19:55:53 UTC;253400;694332;73.26;41132;239972;1078156;102.67;523992;134180;144
isaacpi;1;2017-07-16 19:55:54 UTC;253400;694332;73.26;41132;239984;1078156;102.67;524004;134180;156
isaacpi;1;2017-07-16 19:55:55 UTC;253336;694396;73.27;41132;239992;1078156;102.67;524012;134184;24
isaacpi;1;2017-07-16 19:55:56 UTC;253120;694612;73.29;41136;240004;1077288;102.59;524008;134180;44
isaacpi;1;2017-07-16 19:55:57 UTC;253088;694644;73.30;41140;240016;1077288;102.59;524020;134180;76
isaacpi;1;2017-07-16 19:55:58 UTC;253120;694612;73.29;41140;240024;1077288;102.59;524032;134180;84
isaacpi;1;2017-07-16 19:55:59 UTC;253120;694612;73.29;41140;240036;1077288;102.59;524040;134180;96
isaacpi;1;2017-07-16 19:56:00 UTC;253120;694612;73.29;41140;240048;1077288;102.59;524104;134180;24
isaacpi;1;2017-07-16 19:56:01 UTC;253120;694612;73.29;41144;240060;1077288;102.59;524116;134180;40
isaacpi;1;2017-07-16 19:56:02 UTC;253120;694612;73.29;41144;240068;1077288;102.59;524124;134184;48
isaacpi;1;2017-07-16 19:56:03 UTC;253120;694612;73.29;41148;240080;1078224;102.68;524096;134180;88
isaacpi;1;2017-07-16 19:56:04 UTC;253120;694612;73.29;41148;240092;1078224;102.68;524108;134180;100
isaacpi;1;2017-07-16 19:56:05 UTC;253120;694612;73.29;41148;240100;1078224;102.68;524116;134184;108
isaacpi;1;2017-07-16 19:56:06 UTC;253120;694612;73.29;41156;240112;1078224;102.68;524128;134180;120
isaacpi;1;2017-07-16 19:56:07 UTC;252964;694768;73.31;41156;240124;1078224;102.68;524140;134180;132
isaacpi;1;2017-07-16 19:56:08 UTC;252996;694736;73.31;41156;240136;1078224;102.68;524152;134180;144
isaacpi;1;2017-07-16 19:56:09 UTC;252996;694736;73.31;41156;240144;1078224;102.68;524160;134184;152
isaacpi;1;2017-07-16 19:56:10 UTC;252964;694768;73.31;41156;240156;1078224;102.68;524224;134180;0
isaacpi;1;2017-07-16 19:56:11 UTC;252996;694736;73.31;41160;240168;1078224;102.68;524236;134180;40
isaacpi;1;2017-07-16 19:56:12 UTC;252964;694768;73.31;41164;240172;1078224;102.68;524244;134184;48
