# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
isaacpi;1;2017-07-16 00:26:53 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:53 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:53 UTC;eth0;34.00;0.00;1.53;0.00;0.00;0.00;0.00;0.01
isaacpi;1;2017-07-16 00:26:54 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:54 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:54 UTC;eth0;25.00;0.00;1.12;0.00;0.00;0.00;0.00;0.01
isaacpi;1;2017-07-16 00:26:55 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:55 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:55 UTC;eth0;427.00;1094.00;24.28;1596.66;0.00;0.00;0.00;13.08
isaacpi;1;2017-07-16 00:26:56 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:56 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:56 UTC;eth0;998.00;2636.00;56.82;3928.26;0.00;0.00;0.00;32.18
isaacpi;1;2017-07-16 00:26:57 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:57 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:57 UTC;eth0;555.00;1454.00;30.28;2164.32;0.00;0.00;0.00;17.73
isaacpi;1;2017-07-16 00:26:58 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-16 00:26:58 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
