sep=;
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-07-13 19:19:48 UTC;-1;1.99;0.00;0.74;0.00;0.00;97.27
isaacpi;1;2017-07-13 19:19:49 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-07-13 19:19:50 UTC;-1;14.43;0.00;6.84;1.01;0.00;77.72
isaacpi;1;2017-07-13 19:19:51 UTC;-1;19.44;0.00;5.81;1.26;0.00;73.48
isaacpi;1;2017-07-13 19:19:52 UTC;-1;21.27;0.00;3.54;2.28;0.00;72.91
isaacpi;1;2017-07-13 19:19:53 UTC;-1;17.51;0.00;3.30;4.82;0.00;74.37
isaacpi;1;2017-07-13 19:19:54 UTC;-1;23.44;0.00;1.75;1.25;0.00;73.57
isaacpi;1;2017-07-13 19:19:55 UTC;-1;19.95;0.00;4.24;2.99;0.00;72.82
isaacpi;1;2017-07-13 19:19:56 UTC;-1;19.25;0.00;4.75;1.75;0.00;74.25
isaacpi;1;2017-07-13 19:19:57 UTC;-1;20.96;0.00;3.54;1.77;0.00;73.74
isaacpi;1;2017-07-13 19:19:58 UTC;-1;27.05;0.00;1.99;0.74;0.00;70.22
isaacpi;1;2017-07-13 19:19:59 UTC;-1;0.53;0.00;4.22;0.00;0.00;95.25
isaacpi;1;2017-07-13 19:20:00 UTC;-1;0.00;0.00;6.58;0.00;0.00;93.42
isaacpi;1;2017-07-13 19:20:01 UTC;-1;1.26;0.00;10.10;0.00;0.00;88.64
isaacpi;1;2017-07-13 19:20:02 UTC;-1;0.27;0.00;4.09;0.00;0.00;95.64
isaacpi;1;2017-07-13 19:20:03 UTC;-1;1.58;0.00;14.25;0.53;0.00;83.64
isaacpi;1;2017-07-13 19:20:04 UTC;-1;0.80;0.00;5.31;0.00;0.00;93.90
isaacpi;1;2017-07-13 19:20:05 UTC;-1;2.89;0.00;7.09;0.00;0.00;90.03
isaacpi;1;2017-07-13 19:20:06 UTC;-1;0.77;0.00;3.86;10.80;0.00;84.58
isaacpi;4;2017-07-13 19:20:09 UTC;-1;0.28;0.00;0.36;49.57;0.00;49.79
isaacpi;1;2017-07-13 19:20:10 UTC;-1;0.50;0.00;0.50;50.00;0.00;49.00
isaacpi;1;2017-07-13 19:20:11 UTC;-1;0.00;0.00;1.00;49.62;0.00;49.37
isaacpi;1;2017-07-13 19:20:12 UTC;-1;0.25;0.00;0.50;49.75;0.00;49.50
isaacpi;1;2017-07-13 19:20:13 UTC;-1;0.25;0.00;1.01;43.47;0.00;55.28
isaacpi;1;2017-07-13 19:20:14 UTC;-1;2.03;0.00;1.01;31.39;0.00;65.57
isaacpi;1;2017-07-13 19:20:15 UTC;-1;0.00;0.00;0.50;49.87;0.00;49.62
isaacpi;1;2017-07-13 19:20:16 UTC;-1;0.25;0.00;0.50;49.50;0.00;49.75
isaacpi;1;2017-07-13 19:20:17 UTC;-1;2.01;0.00;2.01;42.96;0.00;53.02
isaacpi;1;2017-07-13 19:20:18 UTC;-1;0.50;0.00;0.50;24.37;0.00;74.62
isaacpi;1;2017-07-13 19:20:19 UTC;-1;0.25;0.00;1.25;24.19;0.00;74.31
isaacpi;1;2017-07-13 19:20:20 UTC;-1;0.25;0.00;1.00;24.44;0.00;74.31
isaacpi;15;2017-07-13 19:20:35 UTC;-1;0.30;0.00;0.62;27.30;0.00;71.77
isaacpi;1;2017-07-13 19:20:36 UTC;-1;15.13;0.00;9.49;7.95;0.00;67.44
isaacpi;1;2017-07-13 19:20:37 UTC;-1;28.68;0.00;2.58;0.00;0.00;68.73
isaacpi;1;2017-07-13 19:20:38 UTC;-1;28.57;0.00;1.25;0.00;0.00;70.18
isaacpi;1;2017-07-13 19:20:39 UTC;-1;27.82;0.00;1.50;0.00;0.00;70.68
isaacpi;1;2017-07-13 19:20:40 UTC;-1;38.60;0.00;2.76;0.00;0.00;58.65
isaacpi;1;2017-07-13 19:20:41 UTC;-1;54.73;0.00;2.56;0.26;0.00;42.46
isaacpi;1;2017-07-13 19:20:42 UTC;-1;59.19;0.00;2.27;0.00;0.00;38.54
isaacpi;1;2017-07-13 19:20:43 UTC;-1;40.45;0.00;2.26;0.00;0.00;57.29
isaacpi;1;2017-07-13 19:20:44 UTC;-1;26.26;0.00;1.26;0.00;0.00;72.47
isaacpi;1;2017-07-13 19:20:45 UTC;-1;29.68;0.00;3.74;0.00;0.00;66.58
isaacpi;1;2017-07-13 19:20:46 UTC;-1;26.20;0.00;3.53;0.00;0.00;70.28
isaacpi;1;2017-07-13 19:20:47 UTC;-1;26.43;0.00;2.24;2.24;0.00;69.08
isaacpi;1;2017-07-13 19:20:48 UTC;-1;27.43;0.00;2.24;30.42;0.00;39.90
isaacpi;1;2017-07-13 19:20:49 UTC;-1;29.00;0.00;2.25;44.00;0.00;24.75
isaacpi;1;2017-07-13 19:20:50 UTC;-1;29.40;0.00;0.75;44.97;0.00;24.87
isaacpi;1;2017-07-13 19:20:51 UTC;-1;27.23;0.00;1.27;45.29;0.00;26.21
isaacpi;3;2017-07-13 19:20:54 UTC;-1;19.46;0.00;0.66;54.02;0.00;25.86
isaacpi;1;2017-07-13 19:20:55 UTC;-1;30.35;0.00;1.99;0.00;0.00;67.66
isaacpi;1;2017-07-13 19:20:56 UTC;-1;30.50;0.00;0.50;0.00;0.00;69.00
isaacpi;1;2017-07-13 19:20:57 UTC;-1;27.07;0.00;2.01;0.00;0.00;70.93
isaacpi;1;2017-07-13 19:20:58 UTC;-1;26.82;0.00;1.50;27.32;0.00;44.36
isaacpi;1;2017-07-13 19:20:59 UTC;-1;27.89;0.00;1.26;0.00;0.00;70.85
isaacpi;1;2017-07-13 19:21:00 UTC;-1;26.18;0.00;2.49;0.00;0.00;71.32
isaacpi;1;2017-07-13 19:21:01 UTC;-1;26.45;0.00;1.26;0.00;0.00;72.29
isaacpi;1;2017-07-13 19:21:02 UTC;-1;25.75;0.00;1.50;0.00;0.00;72.75
isaacpi;1;2017-07-13 19:21:03 UTC;-1;29.67;0.00;1.28;0.00;0.00;69.05
isaacpi;1;2017-07-13 19:21:04 UTC;-1;29.40;0.00;1.26;0.00;0.00;69.35
isaacpi;1;2017-07-13 19:21:05 UTC;-1;27.71;0.00;0.76;0.00;0.00;71.54
isaacpi;1;2017-07-13 19:21:06 UTC;-1;27.02;0.00;0.76;0.00;0.00;72.22
isaacpi;1;2017-07-13 19:21:07 UTC;-1;27.27;0.00;1.01;0.00;0.00;71.72
isaacpi;1;2017-07-13 19:21:08 UTC;-1;27.14;0.00;1.26;0.00;0.00;71.61
isaacpi;1;2017-07-13 19:21:09 UTC;-1;27.25;0.00;0.50;0.00;0.00;72.25
isaacpi;1;2017-07-13 19:21:10 UTC;-1;27.71;0.00;1.01;0.00;0.00;71.28
isaacpi;1;2017-07-13 19:21:11 UTC;-1;26.88;0.00;2.01;0.00;0.00;71.11
isaacpi;1;2017-07-13 19:21:12 UTC;-1;23.23;0.00;1.26;0.25;0.00;75.25
