sep=;
# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
isaacpi;1;2017-07-13 19:19:48 UTC;wlan0;54.00;4.00;2.45;0.40;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:48 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:48 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:48 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:49 UTC;wlan0;52.00;1.00;2.35;0.09;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:49 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:49 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:49 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:50 UTC;wlan0;60.00;11.00;3.64;2.04;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:50 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:50 UTC;lo;349.00;349.00;7292.62;7292.62;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:50 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:51 UTC;wlan0;50.00;4.00;2.35;0.54;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:51 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:51 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:51 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:52 UTC;wlan0;32.00;0.00;1.44;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:52 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:52 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:52 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-07-13 19:19:53 UTC;wlan0;33.00;0.00;1.48;0.00;0.00;0.00;0.00;0.00
