sep=;
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-07-14 22:26:34 UTC;190724;757008;79.88;5600;279700;1139976;108.56;542140;175044;68
isaacpi;1;2017-07-14 22:26:35 UTC;190724;757008;79.88;5600;279708;1139976;108.56;542144;175048;64
isaacpi;1;2017-07-14 22:26:36 UTC;190724;757008;79.88;5600;279720;1139976;108.56;542156;175044;76
isaacpi;1;2017-07-14 22:26:37 UTC;174664;773068;81.57;5600;294388;1139976;108.56;558808;174148;14744
isaacpi;1;2017-07-14 22:26:38 UTC;168308;779424;82.24;5600;294400;1139976;108.56;568468;171284;14772
isaacpi;1;2017-07-14 22:26:39 UTC;160472;787260;83.07;5608;294408;1176348;112.02;576956;170632;15020
isaacpi;1;2017-07-14 22:26:40 UTC;152808;794924;83.88;5608;294420;1176348;112.02;585176;170168;15032
isaacpi;1;2017-07-14 22:26:41 UTC;148468;799264;84.33;5608;294432;1176348;112.02;589560;170168;15044
isaacpi;1;2017-07-14 22:26:42 UTC;148468;799264;84.33;5608;294444;1176348;112.02;589640;170168;15056
isaacpi;1;2017-07-14 22:26:43 UTC;148344;799388;84.35;5608;294456;1176348;112.02;589652;170168;15068
isaacpi;1;2017-07-14 22:26:44 UTC;148344;799388;84.35;5616;294464;1176348;112.02;589716;170172;15076
isaacpi;1;2017-07-14 22:26:45 UTC;177544;770188;81.27;5616;265768;1176348;112.02;570728;160268;15832
isaacpi;1;2017-07-14 22:26:46 UTC;173064;774668;81.74;5616;269616;1176348;112.02;573296;161736;19672
isaacpi;1;2017-07-14 22:26:47 UTC;169160;778572;82.15;5616;274088;1176348;112.02;576244;163292;24144
isaacpi;1;2017-07-14 22:26:48 UTC;165264;782468;82.56;5616;278464;1176348;112.02;578884;164828;28520
isaacpi;1;2017-07-14 22:26:49 UTC;161072;786660;83.00;5624;282380;1176348;112.02;581580;166204;32452
isaacpi;1;2017-07-14 22:26:50 UTC;156860;790872;83.45;5624;286168;1177280;112.11;584020;167352;36240
isaacpi;1;2017-07-14 22:26:51 UTC;152828;794904;83.87;5624;290108;1177280;112.11;586684;168656;40180
isaacpi;1;2017-07-14 22:26:52 UTC;148956;798776;84.28;5624;294040;1177280;112.11;589432;170000;43816
isaacpi;3;2017-07-14 22:26:55 UTC;148304;799428;84.35;5628;294592;1177280;112.11;589916;170200;35992
isaacpi;1;2017-07-14 22:26:56 UTC;145760;801972;84.62;5632;294688;1216212;115.82;592380;170248;14756
isaacpi;1;2017-07-14 22:26:57 UTC;145760;801972;84.62;5632;294740;1216212;115.82;592380;170256;14768
isaacpi;1;2017-07-14 22:26:58 UTC;145116;802616;84.69;5632;294796;1224940;116.65;592724;170336;14800
isaacpi;1;2017-07-14 22:26:59 UTC;145116;802616;84.69;5636;294808;1224940;116.65;592752;170336;14824
isaacpi;4;2017-07-14 22:27:03 UTC;144468;803264;84.76;5640;294816;1224940;116.65;593080;170328;128
isaacpi;1;2017-07-14 22:27:04 UTC;144492;803240;84.75;5640;294832;1224940;116.65;592732;170328;292
isaacpi;1;2017-07-14 22:27:05 UTC;144492;803240;84.75;5644;294852;1224940;116.65;592812;170336;364
isaacpi;1;2017-07-14 22:27:06 UTC;144492;803240;84.75;5644;294864;1224940;116.65;592820;170340;376
isaacpi;1;2017-07-14 22:27:07 UTC;144492;803240;84.75;5644;294872;1224940;116.65;592820;170340;384
isaacpi;8;2017-07-14 22:27:16 UTC;144492;803240;84.75;5648;294884;1224940;116.65;592848;170336;288
isaacpi;1;2017-07-14 22:27:17 UTC;144492;803240;84.75;5648;294896;1224940;116.65;592848;170336;300
isaacpi;1;2017-07-14 22:27:18 UTC;144492;803240;84.75;5648;294908;1224940;116.65;592860;170336;312
isaacpi;1;2017-07-14 22:27:19 UTC;144492;803240;84.75;5648;294920;1224940;116.65;592872;170336;324
isaacpi;1;2017-07-14 22:27:20 UTC;144476;803256;84.76;5648;294932;1224140;116.57;592844;170368;344
isaacpi;1;2017-07-14 22:27:21 UTC;144492;803240;84.75;5648;294952;1224140;116.57;592856;170384;356
isaacpi;1;2017-07-14 22:27:22 UTC;144492;803240;84.75;5648;294964;1224140;116.57;592856;170384;368
isaacpi;1;2017-07-14 22:27:23 UTC;144492;803240;84.75;5648;294980;1224140;116.57;592876;170396;380
isaacpi;1;2017-07-14 22:27:24 UTC;142412;805320;84.97;5692;294956;1244972;118.55;594056;170388;532
isaacpi;1;2017-07-14 22:27:25 UTC;138292;809440;85.41;5728;295916;1385084;131.90;609364;158964;600
isaacpi;1;2017-07-14 22:27:26 UTC;126116;821616;86.69;5736;296116;1388868;132.26;624440;156580;660
isaacpi;1;2017-07-14 22:27:27 UTC;121032;826700;87.23;5736;296144;1392728;132.62;630076;156132;672
isaacpi;1;2017-07-14 22:27:28 UTC;117576;830156;87.59;5736;296156;1393768;132.72;633956;155772;684
isaacpi;1;2017-07-14 22:27:29 UTC;115028;832704;87.86;5736;296168;1396432;132.98;636856;155504;696
isaacpi;1;2017-07-14 22:27:30 UTC;103984;843748;89.03;5736;296188;1399352;133.26;649668;153432;712
isaacpi;1;2017-07-14 22:27:31 UTC;98776;848956;89.58;5744;296208;1402432;133.55;655200;153284;356
isaacpi;1;2017-07-14 22:27:32 UTC;94932;852800;89.98;5744;296220;1404484;133.74;659180;153124;368
isaacpi;1;2017-07-14 22:27:33 UTC;93824;853908;90.10;5744;296232;1413196;134.57;660468;153000;380
isaacpi;1;2017-07-14 22:27:34 UTC;90576;857156;90.44;5744;296240;1413196;134.57;663528;152868;388
isaacpi;1;2017-07-14 22:27:35 UTC;84896;862836;91.04;5744;296252;1414352;134.68;670420;151988;400
isaacpi;1;2017-07-14 22:27:36 UTC;82156;865576;91.33;5752;296264;1415748;134.82;672840;151664;416
isaacpi;1;2017-07-14 22:27:37 UTC;80780;866952;91.48;5752;296284;1416736;134.91;674688;151256;432
isaacpi;1;2017-07-14 22:27:38 UTC;79168;868564;91.65;5752;296296;1417668;135.00;676872;150820;464
isaacpi;1;2017-07-14 22:27:39 UTC;77804;869928;91.79;5752;296308;1417668;135.00;678324;150808;476
isaacpi;1;2017-07-14 22:27:40 UTC;76068;871664;91.97;5752;296320;1418692;135.10;680308;150516;488
isaacpi;1;2017-07-14 22:27:41 UTC;75200;872532;92.07;5760;296332;1423400;135.55;681560;150108;528
isaacpi;1;2017-07-14 22:27:42 UTC;73588;874144;92.24;5768;296336;1424344;135.64;684428;149432;540
isaacpi;1;2017-07-14 22:27:43 UTC;71960;875772;92.41;5784;296352;1425368;135.73;686480;148920;548
isaacpi;1;2017-07-14 22:27:44 UTC;71572;876160;92.45;5784;296368;1426456;135.84;687100;148708;564
isaacpi;1;2017-07-14 22:27:45 UTC;69952;877780;92.62;5784;296380;1429488;136.13;689364;148020;576
