sep=;
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-08-08 19:11:43 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-08-08 19:11:44 UTC;-1;5.58;0.00;3.30;2.54;0.00;88.58
isaacpi;1;2017-08-08 19:11:45 UTC;-1;24.19;0.00;4.74;0.25;0.00;70.82
isaacpi;1;2017-08-08 19:11:46 UTC;-1;25.69;0.00;1.75;0.00;0.00;72.57
isaacpi;1;2017-08-08 19:11:47 UTC;-1;23.37;0.00;2.51;0.00;0.00;74.12
isaacpi;1;2017-08-08 19:11:48 UTC;-1;24.38;0.00;2.99;0.75;0.00;71.89
isaacpi;1;2017-08-08 19:11:49 UTC;-1;22.00;0.00;4.25;0.00;0.00;73.75
isaacpi;1;2017-08-08 19:11:50 UTC;-1;24.56;0.00;2.76;0.00;0.00;72.68
isaacpi;1;2017-08-08 19:11:51 UTC;-1;4.76;0.00;1.00;20.30;0.00;73.93
isaacpi;1;2017-08-08 19:11:52 UTC;-1;5.21;0.00;6.20;20.60;0.00;67.99
isaacpi;1;2017-08-08 19:11:53 UTC;-1;24.37;0.00;5.78;1.76;0.00;68.09
isaacpi;1;2017-08-08 19:11:54 UTC;-1;31.41;0.00;1.51;0.00;0.00;67.09
isaacpi;1;2017-08-08 19:11:55 UTC;-1;25.63;0.00;1.78;0.00;0.00;72.59
isaacpi;1;2017-08-08 19:11:56 UTC;-1;27.39;0.00;2.01;0.00;0.00;70.60
isaacpi;1;2017-08-08 19:11:57 UTC;-1;51.23;0.00;1.97;0.00;0.00;46.80
isaacpi;1;2017-08-08 19:11:58 UTC;-1;58.99;0.00;2.03;0.00;0.00;38.99
isaacpi;1;2017-08-08 19:11:59 UTC;-1;52.15;0.00;2.03;0.00;0.00;45.82
isaacpi;1;2017-08-08 19:12:00 UTC;-1;31.08;0.00;1.75;29.57;0.00;37.59
isaacpi;1;2017-08-08 19:12:01 UTC;-1;25.81;0.00;0.75;64.16;0.00;9.27
isaacpi;1;2017-08-08 19:12:02 UTC;-1;27.57;0.00;1.75;69.17;0.00;1.50
isaacpi;1;2017-08-08 19:12:03 UTC;-1;26.40;0.00;2.54;69.54;0.00;1.52
isaacpi;4;2017-08-08 19:12:07 UTC;-1;28.00;0.00;1.58;63.74;0.00;6.68
isaacpi;1;2017-08-08 19:12:08 UTC;-1;28.68;0.00;1.25;45.14;0.00;24.94
isaacpi;1;2017-08-08 19:12:09 UTC;-1;27.43;0.00;1.50;8.48;0.00;62.59
isaacpi;1;2017-08-08 19:12:10 UTC;-1;27.68;0.00;2.00;0.00;0.00;70.32
isaacpi;1;2017-08-08 19:12:11 UTC;-1;31.25;0.00;1.00;0.00;0.00;67.75
isaacpi;1;2017-08-08 19:12:12 UTC;-1;27.09;0.00;1.27;1.27;0.00;70.38
isaacpi;1;2017-08-08 19:12:13 UTC;-1;27.50;0.00;1.75;0.00;0.00;70.75
isaacpi;1;2017-08-08 19:12:14 UTC;-1;26.07;0.00;2.51;0.00;0.00;71.43
isaacpi;1;2017-08-08 19:12:15 UTC;-1;24.62;0.00;2.51;0.00;0.00;72.86
isaacpi;1;2017-08-08 19:12:16 UTC;-1;25.38;0.00;2.01;0.00;0.00;72.61
isaacpi;1;2017-08-08 19:12:17 UTC;-1;24.69;0.00;2.02;2.02;0.00;71.28
isaacpi;1;2017-08-08 19:12:18 UTC;-1;29.25;0.00;0.50;21.50;0.00;48.75
isaacpi;1;2017-08-08 19:12:19 UTC;-1;28.54;0.00;0.76;21.97;0.00;48.74
isaacpi;1;2017-08-08 19:12:20 UTC;-1;27.48;0.00;0.76;23.41;0.00;48.35
isaacpi;1;2017-08-08 19:12:21 UTC;-1;27.90;0.00;0.74;23.70;0.00;47.65
isaacpi;1;2017-08-08 19:12:22 UTC;-1;25.25;0.00;1.26;32.32;0.00;41.16
isaacpi;1;2017-08-08 19:12:23 UTC;-1;26.50;0.00;1.00;47.75;0.00;24.75
isaacpi;1;2017-08-08 19:12:24 UTC;-1;27.36;0.00;1.49;46.52;0.00;24.63
isaacpi;1;2017-08-08 19:12:25 UTC;-1;28.32;0.00;1.00;46.12;0.00;24.56
isaacpi;1;2017-08-08 19:12:26 UTC;-1;26.75;0.00;1.50;47.00;0.00;24.75
isaacpi;1;2017-08-08 19:12:27 UTC;-1;25.51;0.00;1.52;29.04;0.00;43.94
isaacpi;1;2017-08-08 19:12:28 UTC;-1;21.41;0.00;3.78;2.77;0.00;72.04
isaacpi;1;2017-08-08 19:12:29 UTC;-1;25.63;0.00;0.25;0.00;0.00;74.12
isaacpi;1;2017-08-08 19:12:30 UTC;-1;25.94;0.00;0.00;0.00;0.00;74.06
isaacpi;1;2017-08-08 19:12:31 UTC;-1;26.50;0.00;0.25;0.00;0.00;73.25
isaacpi;1;2017-08-08 19:12:32 UTC;-1;25.25;0.00;0.25;0.00;0.00;74.50
isaacpi;1;2017-08-08 19:12:33 UTC;-1;25.31;0.00;0.25;22.56;0.00;51.88
isaacpi;1;2017-08-08 19:12:34 UTC;-1;24.94;0.00;0.50;0.00;0.00;74.56
isaacpi;1;2017-08-08 19:12:35 UTC;-1;22.56;0.00;1.00;0.00;0.00;76.44
isaacpi;1;2017-08-08 19:12:36 UTC;-1;0.50;0.00;0.00;0.00;0.00;99.50
isaacpi;1;2017-08-08 19:12:37 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-08-08 19:12:38 UTC;-1;0.25;0.00;0.25;1.00;0.00;98.50
isaacpi;1;2017-08-08 19:12:39 UTC;-1;1.77;0.00;1.26;36.36;0.00;60.61
isaacpi;1;2017-08-08 19:12:40 UTC;-1;0.50;0.00;1.51;72.29;0.00;25.69
isaacpi;1;2017-08-08 19:12:41 UTC;-1;1.49;0.00;0.50;73.20;0.00;24.81
isaacpi;1;2017-08-08 19:12:42 UTC;-1;0.00;0.00;0.25;74.75;0.00;25.00
isaacpi;5;2017-08-08 19:12:47 UTC;-1;0.64;0.00;0.35;63.89;0.00;35.13
isaacpi;1;2017-08-08 19:12:48 UTC;-1;0.25;0.00;0.50;49.63;0.00;49.63
isaacpi;1;2017-08-08 19:12:49 UTC;-1;0.25;0.00;0.25;50.13;0.00;49.37
isaacpi;1;2017-08-08 19:12:50 UTC;-1;6.68;0.00;5.66;30.08;0.00;57.58
isaacpi;1;2017-08-08 19:12:51 UTC;-1;0.50;0.00;0.25;49.37;0.00;49.87
isaacpi;1;2017-08-08 19:12:52 UTC;-1;0.50;0.00;0.50;30.15;0.00;68.84
isaacpi;1;2017-08-08 19:12:53 UTC;-1;15.33;0.00;18.59;13.82;0.00;52.26
isaacpi;1;2017-08-08 19:12:54 UTC;-1;23.20;0.00;10.05;2.84;0.00;63.92
isaacpi;1;2017-08-08 19:12:55 UTC;-1;28.61;0.00;2.49;0.25;0.00;68.66
isaacpi;1;2017-08-08 19:12:56 UTC;-1;27.00;0.00;1.75;0.00;0.00;71.25
isaacpi;1;2017-08-08 19:12:57 UTC;-1;27.50;0.00;2.50;0.00;0.00;70.00
isaacpi;1;2017-08-08 19:12:58 UTC;-1;47.12;0.00;3.26;0.50;0.00;49.12
isaacpi;1;2017-08-08 19:12:59 UTC;-1;55.81;0.00;2.27;0.00;0.00;41.92
isaacpi;1;2017-08-08 19:13:00 UTC;-1;52.63;0.00;2.76;0.00;0.00;44.61
isaacpi;1;2017-08-08 19:13:01 UTC;-1;34.84;0.00;2.51;0.00;0.00;62.66
isaacpi;1;2017-08-08 19:13:02 UTC;-1;14.32;0.00;0.75;55.28;0.00;29.65
isaacpi;1;2017-08-08 19:13:03 UTC;-1;11.97;0.00;0.50;62.59;0.00;24.94
isaacpi;1;2017-08-08 19:13:04 UTC;-1;26.08;0.00;4.05;47.09;0.00;22.78
isaacpi;5;2017-08-08 19:13:09 UTC;-1;8.05;0.00;1.04;40.32;0.00;50.59
isaacpi;1;2017-08-08 19:13:10 UTC;-1;25.51;0.00;2.78;0.00;0.00;71.72
isaacpi;1;2017-08-08 19:13:11 UTC;-1;28.28;0.00;1.01;0.00;0.00;70.71
isaacpi;1;2017-08-08 19:13:12 UTC;-1;28.39;0.00;1.76;0.00;0.00;69.85
isaacpi;1;2017-08-08 19:13:13 UTC;-1;28.93;0.00;1.25;1.00;0.00;68.83
isaacpi;1;2017-08-08 19:13:14 UTC;-1;28.14;0.00;0.25;19.85;0.00;51.76
isaacpi;1;2017-08-08 19:13:15 UTC;-1;20.30;0.00;0.75;27.57;0.00;51.38
isaacpi;1;2017-08-08 19:13:16 UTC;-1;0.00;0.00;0.00;50.00;0.00;50.00
isaacpi;1;2017-08-08 19:13:17 UTC;-1;2.25;0.00;0.25;49.75;0.00;47.75
isaacpi;1;2017-08-08 19:13:18 UTC;-1;0.75;0.00;0.25;49.25;0.00;49.75
isaacpi;1;2017-08-08 19:13:19 UTC;-1;16.88;0.00;1.51;27.46;0.00;54.16
isaacpi;1;2017-08-08 19:13:20 UTC;-1;28.89;0.00;0.50;0.50;0.00;70.10
isaacpi;1;2017-08-08 19:13:21 UTC;-1;29.93;0.00;0.50;0.50;0.00;69.08
isaacpi;1;2017-08-08 19:13:22 UTC;-1;25.19;0.00;1.27;0.76;0.00;72.77
isaacpi;1;2017-08-08 19:13:23 UTC;-1;26.52;0.00;1.01;0.00;0.00;72.47
isaacpi;1;2017-08-08 19:13:24 UTC;-1;25.51;0.00;2.78;28.79;0.00;42.93
isaacpi;5;2017-08-08 19:13:30 UTC;-1;27.25;0.00;1.35;30.96;0.00;40.44
isaacpi;1;2017-08-08 19:13:31 UTC;-1;27.14;0.00;0.50;0.00;0.00;72.36
isaacpi;1;2017-08-08 19:13:32 UTC;-1;26.57;0.00;0.25;0.00;0.00;73.18
isaacpi;1;2017-08-08 19:13:33 UTC;-1;28.21;0.00;1.01;0.25;0.00;70.53
isaacpi;1;2017-08-08 19:13:34 UTC;-1;27.57;0.00;0.50;0.00;0.00;71.93
isaacpi;1;2017-08-08 19:13:35 UTC;-1;26.93;0.00;0.75;0.00;0.00;72.32
isaacpi;1;2017-08-08 19:13:36 UTC;-1;27.82;0.00;0.50;0.00;0.00;71.68
isaacpi;1;2017-08-08 19:13:37 UTC;-1;26.84;0.00;0.76;0.00;0.00;72.41
isaacpi;1;2017-08-08 19:13:38 UTC;-1;24.24;0.00;1.01;0.25;0.00;74.49
isaacpi;1;2017-08-08 19:13:39 UTC;-1;22.89;0.00;2.99;0.00;0.00;74.13
isaacpi;1;2017-08-08 19:13:40 UTC;-1;25.51;0.00;0.25;0.00;0.00;74.24
