sep=;
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-08-08 19:19:05 UTC;204624;743108;78.41;16268;267784;1145560;109.09;509688;193196;64
isaacpi;1;2017-08-08 19:19:06 UTC;201072;746660;78.78;16268;271200;1145560;109.09;513116;193204;3484
isaacpi;1;2017-08-08 19:19:07 UTC;195508;752224;79.37;16272;275112;1145560;109.09;516440;195600;7412
isaacpi;1;2017-08-08 19:19:08 UTC;195508;752224;79.37;16272;275124;1145560;109.09;516492;195600;7424
isaacpi;1;2017-08-08 19:19:09 UTC;195508;752224;79.37;16272;275136;1145560;109.09;516888;195600;7436
isaacpi;1;2017-08-08 19:19:10 UTC;195508;752224;79.37;16280;275144;1177668;112.15;516868;195604;7688
isaacpi;1;2017-08-08 19:19:11 UTC;188440;759292;80.12;16280;275156;1177668;112.15;524096;195600;7700
isaacpi;1;2017-08-08 19:19:12 UTC;184844;762888;80.50;16280;275168;1177668;112.15;527812;195600;7708
isaacpi;1;2017-08-08 19:19:13 UTC;183604;764128;80.63;16280;275180;1178844;112.26;528848;195600;7720
isaacpi;1;2017-08-08 19:19:14 UTC;174460;773272;81.59;16340;275240;1441044;137.23;536388;195612;8028
isaacpi;1;2017-08-08 19:19:15 UTC;165224;782508;82.57;16360;275600;1399876;133.31;545540;195856;8120
isaacpi;1;2017-08-08 19:19:16 UTC;158280;789452;83.30;16360;275624;1404768;133.77;552616;195856;8140
isaacpi;1;2017-08-08 19:19:17 UTC;154560;793172;83.69;16360;275636;1405792;133.87;556472;195856;8152
isaacpi;1;2017-08-08 19:19:18 UTC;152524;795208;83.91;16360;275648;1407004;133.98;558360;195860;8164
isaacpi;1;2017-08-08 19:19:19 UTC;141728;806004;85.05;16360;275660;1408908;134.17;569236;195848;8176
isaacpi;1;2017-08-08 19:19:20 UTC;136768;810964;85.57;16368;275664;1410876;134.35;574508;195848;8188
isaacpi;1;2017-08-08 19:19:21 UTC;132924;814808;85.97;16368;275684;1412948;134.55;578232;195848;8212
isaacpi;1;2017-08-08 19:19:22 UTC;131196;816536;86.16;16368;275696;1412948;134.55;580024;195848;8224
isaacpi;1;2017-08-08 19:19:23 UTC;128204;819528;86.47;16368;275708;1423380;135.54;583060;195852;8236
isaacpi;1;2017-08-08 19:19:24 UTC;122128;825604;87.11;16368;275716;1429328;136.11;588792;195852;8244
isaacpi;1;2017-08-08 19:19:25 UTC;116424;831308;87.72;16368;275744;1434688;136.62;593668;195852;8264
isaacpi;1;2017-08-08 19:19:26 UTC;115432;832300;87.82;16376;275756;1434688;136.62;595200;195852;8284
isaacpi;1;2017-08-08 19:19:27 UTC;113944;833788;87.98;16376;275768;1434688;136.62;597088;195852;8296
isaacpi;1;2017-08-08 19:19:28 UTC;112820;834912;88.10;16376;275784;1434688;136.62;598104;195888;8308
isaacpi;1;2017-08-08 19:19:29 UTC;111084;836648;88.28;16376;275792;1434688;136.62;599820;195888;8316
isaacpi;1;2017-08-08 19:19:30 UTC;108976;838756;88.50;16376;275804;1440760;137.20;601840;195884;8328
isaacpi;1;2017-08-08 19:19:31 UTC;107364;840368;88.67;16388;275812;1442736;137.39;603428;195880;8340
isaacpi;1;2017-08-08 19:19:32 UTC;105364;842368;88.88;16408;275828;1443760;137.48;605612;195880;8352
isaacpi;1;2017-08-08 19:19:33 UTC;104744;842988;88.95;16408;275840;1444784;137.58;606224;195888;8364
isaacpi;1;2017-08-08 19:19:34 UTC;104100;843632;89.02;16408;275852;1444784;137.58;606764;195884;8376
isaacpi;1;2017-08-08 19:19:35 UTC;102116;845616;89.23;16408;275864;1446768;137.77;608648;195884;8388
isaacpi;1;2017-08-08 19:19:36 UTC;101000;846732;89.34;16416;275876;1447792;137.87;609788;195884;7836
isaacpi;7;2017-08-08 19:19:43 UTC;80176;867556;91.54;16424;275888;1467656;139.76;630544;195852;164
