# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:17 UTC;-1;0.00;0.00;0.00;0.00;1.00;99.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:18 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:19 UTC;-1;1.98;0.00;0.99;0.00;0.99;96.04
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:20 UTC;-1;0.99;0.00;0.99;0.00;0.00;98.02
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:21 UTC;-1;0.00;0.00;1.00;0.00;1.00;98.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:22 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:23 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:24 UTC;-1;0.00;0.00;1.01;0.00;0.00;98.99
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:25 UTC;-1;0.99;0.00;0.99;0.00;0.00;98.02
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:26 UTC;-1;1.01;0.00;1.01;0.00;0.00;97.98
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:27 UTC;-1;0.00;0.00;0.99;0.00;0.00;99.01
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:28 UTC;-1;0.00;0.00;0.00;0.00;1.01;98.99
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:29 UTC;-1;0.00;0.00;0.00;0.00;1.00;99.00
