# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:17 UTC;151136;864624;85.12;100624;291412;789896;77.76;608228;163388;16312
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:18 UTC;151136;864624;85.12;100624;291424;789896;77.76;608228;163388;16324
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:19 UTC;151136;864624;85.12;100632;291416;789896;77.76;608228;163424;152
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:20 UTC;151136;864624;85.12;100632;291448;789896;77.76;608256;163424;172
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:21 UTC;151136;864624;85.12;100632;291460;789896;77.76;608256;163424;184
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:22 UTC;151136;864624;85.12;100632;291460;789896;77.76;608256;163424;184
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:23 UTC;151136;864624;85.12;100632;291484;789896;77.76;608256;163424;208
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:24 UTC;151012;864748;85.13;100640;291496;789896;77.76;608256;163480;220
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:25 UTC;150904;864856;85.14;100640;291540;789896;77.76;608400;163464;232
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:26 UTC;150904;864856;85.14;100640;291540;789896;77.76;608400;163464;232
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:27 UTC;150904;864856;85.14;100640;291568;789896;77.76;608400;163464;260
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:28 UTC;150904;864856;85.14;100640;291580;789896;77.76;608416;163504;272
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:29 UTC;150904;864856;85.14;100640;291592;789896;77.76;608416;163504;284
