# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:17 UTC;ens4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:17 UTC;eth0;9.00;0.00;0.58;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:17 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:17 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:18 UTC;ens4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:18 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:18 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:18 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:19 UTC;ens4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:19 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:19 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:19 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:20 UTC;ens4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:20 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:20 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:20 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:21 UTC;ens4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:21 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:21 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:21 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:22 UTC;ens4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:22 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:22 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:22 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:23 UTC;ens4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:23 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:23 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:23 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:24 UTC;ens4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:24 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:24 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:24 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:25 UTC;ens4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:25 UTC;eth0;3.96;2.97;0.29;0.37;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:25 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:25 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:26 UTC;ens4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:26 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:26 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:26 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:27 UTC;ens4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:27 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:27 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:27 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:28 UTC;ens4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:28 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:28 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:28 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:29 UTC;ens4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:29 UTC;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:29 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ubuntu-512mb-lon1-01;1;2017-04-01 12:36:29 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
