# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-03-22 19:09:28 UTC;-1;22.11;0.00;4.52;0.25;0.00;73.12
isaacpi;1;2017-03-22 19:09:29 UTC;-1;21.66;0.00;4.53;0.00;0.00;73.80
isaacpi;1;2017-03-22 19:09:30 UTC;-1;22.25;0.00;4.25;0.00;0.00;73.50
isaacpi;1;2017-03-22 19:09:31 UTC;-1;21.72;0.00;4.04;0.00;0.00;74.24
isaacpi;1;2017-03-22 19:09:32 UTC;-1;24.81;0.00;1.00;0.00;0.00;74.19
isaacpi;1;2017-03-22 19:09:33 UTC;-1;24.69;0.00;1.51;14.86;0.00;58.94
isaacpi;1;2017-03-22 19:09:34 UTC;-1;17.88;0.00;1.51;0.25;0.00;80.35
isaacpi;1;2017-03-22 19:09:35 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-22 19:09:36 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-03-22 19:09:37 UTC;-1;0.50;0.00;0.25;0.00;0.00;99.25
isaacpi;1;2017-03-22 19:09:38 UTC;-1;0.50;0.00;0.50;0.25;0.00;98.75
isaacpi;1;2017-03-22 19:09:39 UTC;-1;0.75;0.00;0.75;0.00;0.00;98.50
isaacpi;1;2017-03-22 19:09:40 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-03-22 19:09:41 UTC;-1;0.49;0.00;1.73;0.00;0.00;97.78
isaacpi;1;2017-03-22 19:09:42 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-03-22 19:09:43 UTC;-1;0.25;0.00;0.75;0.25;0.00;98.75
isaacpi;1;2017-03-22 19:09:44 UTC;-1;1.00;0.00;0.75;0.00;0.00;98.26
isaacpi;1;2017-03-22 19:09:45 UTC;-1;0.00;0.00;0.75;0.00;0.00;99.25
isaacpi;1;2017-03-22 19:09:46 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-03-22 19:09:47 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-03-22 19:09:48 UTC;-1;0.75;0.00;0.25;0.00;0.00;98.99
isaacpi;1;2017-03-22 19:09:49 UTC;-1;0.25;0.00;0.75;0.00;0.00;99.00
isaacpi;1;2017-03-22 19:09:50 UTC;-1;0.00;0.00;0.75;0.00;0.00;99.25
isaacpi;1;2017-03-22 19:09:51 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-03-22 19:09:52 UTC;-1;0.25;0.00;0.75;0.00;0.00;99.00
isaacpi;1;2017-03-22 19:09:53 UTC;-1;0.25;0.00;0.75;0.25;0.00;98.75
isaacpi;1;2017-03-22 19:09:54 UTC;-1;0.50;0.00;0.25;0.00;0.00;99.25
isaacpi;1;2017-03-22 19:09:55 UTC;-1;0.75;0.00;1.75;0.00;0.00;97.50
isaacpi;1;2017-03-22 19:09:56 UTC;-1;1.25;0.00;1.00;0.00;0.00;97.74
isaacpi;1;2017-03-22 19:09:57 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
