# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-03-22 18:32:54 UTC;570184;377548;39.84;30852;185768;834232;79.44;214280;129524;68
isaacpi;1;2017-03-22 18:32:55 UTC;569812;377920;39.88;30860;185768;834232;79.44;214288;129528;76
isaacpi;1;2017-03-22 18:32:56 UTC;569920;377812;39.86;30860;185788;833644;79.38;214264;129524;132
isaacpi;1;2017-03-22 18:32:57 UTC;569904;377828;39.87;30860;185800;833644;79.38;214264;129524;144
isaacpi;1;2017-03-22 18:32:58 UTC;569904;377828;39.87;30860;185812;833644;79.38;214324;129524;156
isaacpi;1;2017-03-22 18:32:59 UTC;569872;377860;39.87;30860;185820;833644;79.38;214332;129528;164
isaacpi;1;2017-03-22 18:33:00 UTC;569872;377860;39.87;30860;185832;833644;79.38;214356;129524;116
isaacpi;1;2017-03-22 18:33:01 UTC;569904;377828;39.87;30864;185844;833644;79.38;214372;129524;128
isaacpi;1;2017-03-22 18:33:02 UTC;569936;377796;39.86;30868;185856;833644;79.38;214384;129524;140
isaacpi;1;2017-03-22 18:33:03 UTC;569904;377828;39.87;30868;185868;833644;79.38;214396;129524;160
isaacpi;1;2017-03-22 18:33:04 UTC;569904;377828;39.87;30868;185876;833644;79.38;214404;129528;168
isaacpi;1;2017-03-22 18:33:05 UTC;569904;377828;39.87;30868;185888;833644;79.38;214420;129524;168
isaacpi;1;2017-03-22 18:33:06 UTC;569904;377828;39.87;30876;185900;833644;79.38;214432;129524;180
isaacpi;1;2017-03-22 18:33:07 UTC;569904;377828;39.87;30876;185912;833644;79.38;214444;129524;192
isaacpi;1;2017-03-22 18:33:08 UTC;569840;377892;39.87;30876;185920;833644;79.38;214452;129528;200
isaacpi;1;2017-03-22 18:33:09 UTC;569904;377828;39.87;30876;185932;833644;79.38;214464;129524;212
isaacpi;1;2017-03-22 18:33:10 UTC;569904;377828;39.87;30876;185944;833644;79.38;214476;129524;224
isaacpi;1;2017-03-22 18:33:11 UTC;569904;377828;39.87;30884;185956;833644;79.38;214488;129524;236
isaacpi;1;2017-03-22 18:33:12 UTC;569904;377828;39.87;30884;185968;833644;79.38;214500;129524;248
isaacpi;1;2017-03-22 18:33:13 UTC;569904;377828;39.87;30884;185976;833644;79.38;214508;129528;256
isaacpi;1;2017-03-22 18:33:14 UTC;569904;377828;39.87;30884;185988;833644;79.38;214520;129524;268
isaacpi;1;2017-03-22 18:33:15 UTC;569872;377860;39.87;30884;186000;833644;79.38;214532;129524;280
isaacpi;1;2017-03-22 18:33:16 UTC;569872;377860;39.87;30892;186012;833644;79.38;214544;129524;292
isaacpi;1;2017-03-22 18:33:17 UTC;569904;377828;39.87;30892;186024;833644;79.38;214556;129524;304
isaacpi;1;2017-03-22 18:33:18 UTC;569904;377828;39.87;30892;186032;833644;79.38;214564;129528;312
isaacpi;1;2017-03-22 18:33:19 UTC;569904;377828;39.87;30892;186044;833644;79.38;214576;129524;324
isaacpi;1;2017-03-22 18:33:20 UTC;569904;377828;39.87;30892;186056;833644;79.38;214612;129524;324
isaacpi;1;2017-03-22 18:33:21 UTC;569904;377828;39.87;30900;186068;833644;79.38;214624;129524;352
isaacpi;1;2017-03-22 18:33:22 UTC;569872;377860;39.87;30900;186076;833644;79.38;214632;129528;360
isaacpi;1;2017-03-22 18:33:23 UTC;569904;377828;39.87;30900;186088;833644;79.38;214644;129524;372
isaacpi;1;2017-03-22 18:33:24 UTC;569904;377828;39.87;30900;186100;833644;79.38;214656;129524;384
isaacpi;1;2017-03-22 18:33:25 UTC;569420;378312;39.92;30900;186112;834568;79.47;214676;129524;28
isaacpi;1;2017-03-22 18:33:26 UTC;569144;378588;39.95;30904;186124;835492;79.56;214648;129528;48
isaacpi;1;2017-03-22 18:33:27 UTC;569284;378448;39.93;30908;186132;835492;79.56;214648;129528;68
isaacpi;1;2017-03-22 18:33:28 UTC;569252;378480;39.94;30908;186144;835492;79.56;214708;129524;80
isaacpi;1;2017-03-22 18:33:29 UTC;569284;378448;39.93;30908;186156;835492;79.56;214720;129524;92
isaacpi;1;2017-03-22 18:33:30 UTC;569252;378480;39.94;30908;186168;835492;79.56;214740;129524;100
isaacpi;1;2017-03-22 18:33:31 UTC;569284;378448;39.93;30916;186176;835492;79.56;214748;129528;128
isaacpi;1;2017-03-22 18:33:32 UTC;569316;378416;39.93;30916;186188;835492;79.56;214760;129524;144
isaacpi;1;2017-03-22 18:33:33 UTC;569316;378416;39.93;30916;186200;835492;79.56;214772;129524;156
isaacpi;1;2017-03-22 18:33:34 UTC;569316;378416;39.93;30916;186212;835492;79.56;214784;129524;168
isaacpi;1;2017-03-22 18:33:35 UTC;569284;378448;39.93;30916;186224;835492;79.56;214796;129524;180
isaacpi;1;2017-03-22 18:33:36 UTC;569316;378416;39.93;30924;186232;835492;79.56;214804;129528;168
isaacpi;1;2017-03-22 18:33:37 UTC;569284;378448;39.93;30924;186244;835492;79.56;214816;129524;180
isaacpi;1;2017-03-22 18:33:38 UTC;569316;378416;39.93;30924;186256;835492;79.56;214828;129524;192
isaacpi;1;2017-03-22 18:33:39 UTC;569316;378416;39.93;30924;186268;835492;79.56;214840;129524;204
isaacpi;1;2017-03-22 18:33:40 UTC;569316;378416;39.93;30924;186280;835492;79.56;214348;129528;216
