# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
isaacpi;1;2017-03-22 18:32:54 UTC;wlan0;73.00;0.00;5.01;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:54 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:54 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:54 UTC;eth0;57.00;0.00;3.25;0.00;0.00;0.00;0.00;0.03
isaacpi;1;2017-03-22 18:32:55 UTC;wlan0;36.00;0.00;1.76;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:55 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:55 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:55 UTC;eth0;44.00;3.00;2.42;0.28;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:32:56 UTC;wlan0;52.00;0.00;2.98;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:56 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:56 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:56 UTC;eth0;61.00;3.00;3.55;0.28;0.00;0.00;0.00;0.03
isaacpi;1;2017-03-22 18:32:57 UTC;wlan0;28.00;0.00;1.43;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:57 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:57 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:57 UTC;eth0;36.00;0.00;2.01;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:32:58 UTC;wlan0;60.00;0.00;4.25;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:58 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:58 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:58 UTC;eth0;70.00;0.00;3.92;0.00;0.00;0.00;0.00;0.03
isaacpi;1;2017-03-22 18:32:59 UTC;wlan0;46.00;0.00;2.55;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:59 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:59 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:32:59 UTC;eth0;38.00;0.00;2.09;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:00 UTC;wlan0;56.00;0.00;3.08;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:00 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:00 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:00 UTC;eth0;62.00;0.00;3.56;0.00;0.00;0.00;0.00;0.03
isaacpi;1;2017-03-22 18:33:01 UTC;wlan0;36.00;0.00;1.87;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:01 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:01 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:01 UTC;eth0;41.00;0.00;2.30;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:02 UTC;wlan0;52.00;0.00;2.93;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:02 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:02 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:02 UTC;eth0;50.00;0.00;2.82;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:03 UTC;wlan0;36.00;0.00;2.27;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:03 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:03 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:03 UTC;eth0;32.00;0.00;1.88;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:04 UTC;wlan0;38.00;0.00;2.22;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:04 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:04 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:04 UTC;eth0;38.00;0.00;2.22;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:05 UTC;wlan0;27.00;0.00;1.66;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:05 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:05 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:05 UTC;eth0;32.00;0.00;1.90;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:06 UTC;wlan0;45.00;0.00;2.92;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:06 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:06 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:06 UTC;eth0;46.00;0.00;2.65;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:07 UTC;wlan0;48.00;0.00;6.49;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:07 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:07 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:07 UTC;eth0;32.00;0.00;1.83;0.00;0.00;0.00;0.00;0.01
isaacpi;1;2017-03-22 18:33:08 UTC;wlan0;51.00;0.00;2.87;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:08 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:08 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:08 UTC;eth0;51.00;1.00;2.89;0.10;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:09 UTC;wlan0;32.00;0.00;1.76;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:09 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:09 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:09 UTC;eth0;36.00;0.00;2.17;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:10 UTC;wlan0;24.00;0.00;1.37;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:10 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:10 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:10 UTC;eth0;48.00;0.00;2.67;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:11 UTC;wlan0;49.00;0.00;2.85;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:11 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:11 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:11 UTC;eth0;36.00;0.00;2.06;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:12 UTC;wlan0;31.00;0.00;1.70;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:12 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:12 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:12 UTC;eth0;46.00;0.00;2.54;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:13 UTC;wlan0;52.00;0.00;2.69;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:13 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:13 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:13 UTC;eth0;42.00;0.00;2.52;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:14 UTC;wlan0;25.00;0.00;1.47;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:14 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:14 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:14 UTC;eth0;33.00;0.00;1.84;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:15 UTC;wlan0;47.00;0.00;2.59;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:15 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:15 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:15 UTC;eth0;47.00;2.00;2.70;0.15;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:16 UTC;wlan0;32.00;0.00;3.79;0.00;0.00;0.00;10.00;0.00
isaacpi;1;2017-03-22 18:33:16 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:16 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:16 UTC;eth0;31.00;0.00;3.73;0.00;0.00;0.00;0.00;0.03
isaacpi;1;2017-03-22 18:33:17 UTC;wlan0;34.00;0.00;2.10;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:17 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:17 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:17 UTC;eth0;38.00;0.00;2.35;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:18 UTC;wlan0;31.00;0.00;3.77;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:18 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:18 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:18 UTC;eth0;16.00;0.00;1.18;0.00;0.00;0.00;0.00;0.01
isaacpi;1;2017-03-22 18:33:19 UTC;wlan0;32.00;0.00;1.88;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:19 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:19 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:19 UTC;eth0;38.00;0.00;2.36;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:20 UTC;wlan0;18.00;0.00;1.19;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:20 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:20 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:20 UTC;eth0;20.00;0.00;1.28;0.00;0.00;0.00;0.00;0.01
isaacpi;1;2017-03-22 18:33:21 UTC;wlan0;33.00;0.00;1.94;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:21 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:21 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:33:21 UTC;eth0;37.00;0.00;2.25;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:33:22 UTC;wlan0;26.00;0.00;2.38;0.00;0.00;0.00;0.00;0.00
