# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-03-22 18:53:43 UTC;-1;0.00;0.00;0.75;0.00;0.00;99.25
isaacpi;1;2017-03-22 18:53:44 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-03-22 18:53:45 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-03-22 18:53:46 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-03-22 18:53:47 UTC;-1;0.00;0.00;0.75;0.00;0.00;99.25
isaacpi;1;2017-03-22 18:53:48 UTC;-1;0.25;0.00;0.25;0.25;0.00;99.25
isaacpi;1;2017-03-22 18:53:49 UTC;-1;0.00;0.00;0.76;0.00;0.00;99.24
isaacpi;1;2017-03-22 18:53:50 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-03-22 18:53:51 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-03-22 18:53:52 UTC;-1;0.50;0.00;0.00;0.00;0.00;99.50
isaacpi;1;2017-03-22 18:53:53 UTC;-1;0.25;0.00;0.50;0.25;0.00;99.00
isaacpi;1;2017-03-22 18:53:54 UTC;-1;0.25;0.00;0.75;0.00;0.00;99.00
isaacpi;1;2017-03-22 18:53:55 UTC;-1;2.02;0.00;1.01;0.00;0.00;96.97
isaacpi;1;2017-03-22 18:53:56 UTC;-1;0.00;0.00;0.51;0.00;0.00;99.49
isaacpi;1;2017-03-22 18:53:57 UTC;-1;0.75;0.00;1.00;0.00;0.00;98.25
isaacpi;1;2017-03-22 18:53:58 UTC;-1;0.75;0.00;0.25;0.00;0.00;99.00
isaacpi;1;2017-03-22 18:53:59 UTC;-1;18.18;0.00;1.01;0.76;0.00;80.05
isaacpi;1;2017-03-22 18:54:00 UTC;-1;23.00;0.00;1.75;4.75;0.00;70.50
isaacpi;1;2017-03-22 18:54:01 UTC;-1;16.24;0.00;0.76;1.78;0.00;81.22
isaacpi;1;2017-03-22 18:54:02 UTC;-1;0.50;0.00;2.01;0.00;0.00;97.49
isaacpi;1;2017-03-22 18:54:03 UTC;-1;0.00;0.00;0.50;0.25;0.00;99.25
isaacpi;1;2017-03-22 18:54:04 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-22 18:54:05 UTC;-1;0.50;0.00;0.25;0.00;0.00;99.25
isaacpi;1;2017-03-22 18:54:06 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-03-22 18:54:07 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-03-22 18:54:08 UTC;-1;0.25;0.00;0.75;0.00;0.00;99.00
isaacpi;1;2017-03-22 18:54:09 UTC;-1;0.50;0.00;0.00;12.59;0.00;86.90
isaacpi;1;2017-03-22 18:54:10 UTC;-1;0.25;0.00;0.75;0.00;0.00;99.00
isaacpi;1;2017-03-22 18:54:11 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-03-22 18:54:12 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-03-22 18:54:13 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-03-22 18:54:14 UTC;-1;0.00;0.00;0.75;0.25;0.00;99.00
isaacpi;1;2017-03-22 18:54:15 UTC;-1;0.00;0.00;0.75;0.00;0.00;99.25
isaacpi;1;2017-03-22 18:54:16 UTC;-1;0.00;0.00;1.00;0.00;0.00;99.00
isaacpi;1;2017-03-22 18:54:17 UTC;-1;0.00;0.00;0.75;0.00;0.00;99.25
isaacpi;1;2017-03-22 18:54:18 UTC;-1;0.00;0.00;1.00;0.00;0.00;99.00
isaacpi;1;2017-03-22 18:54:19 UTC;-1;0.25;0.00;0.25;0.25;0.00;99.25
isaacpi;1;2017-03-22 18:54:20 UTC;-1;0.25;0.00;1.00;0.00;0.00;98.75
isaacpi;1;2017-03-22 18:54:21 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-03-22 18:54:22 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-03-22 18:54:23 UTC;-1;0.25;0.00;0.75;0.00;0.00;98.99
isaacpi;1;2017-03-22 18:54:24 UTC;-1;0.25;0.00;0.25;9.82;0.00;89.67
isaacpi;1;2017-03-22 18:54:25 UTC;-1;2.01;0.00;1.51;4.52;0.00;91.96
isaacpi;1;2017-03-22 18:54:26 UTC;-1;0.00;0.00;1.00;0.00;0.00;99.00
isaacpi;1;2017-03-22 18:54:27 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-03-22 18:54:28 UTC;-1;0.00;0.00;0.75;0.00;0.00;99.25
isaacpi;1;2017-03-22 18:54:29 UTC;-1;0.00;0.00;0.75;0.75;0.00;98.49
isaacpi;1;2017-03-22 18:54:30 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-03-22 18:54:31 UTC;-1;0.00;0.00;1.00;0.00;0.00;99.00
isaacpi;1;2017-03-22 18:54:32 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-03-22 18:54:33 UTC;-1;4.76;0.00;0.00;0.00;0.00;95.24
isaacpi;1;2017-03-22 18:54:34 UTC;-1;0.00;0.00;0.25;0.25;0.00;99.50
isaacpi;1;2017-03-22 18:54:35 UTC;-1;0.25;0.00;0.75;0.00;0.00;99.00
isaacpi;1;2017-03-22 18:54:36 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
