# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-03-22 18:53:43 UTC;564768;382964;40.41;30976;186136;849336;80.88;217980;130636;40
isaacpi;1;2017-03-22 18:53:44 UTC;564768;382964;40.41;30976;186144;849336;80.88;217988;130640;48
isaacpi;1;2017-03-22 18:53:45 UTC;564644;383088;40.42;30976;186156;849336;80.88;218000;130636;60
isaacpi;1;2017-03-22 18:53:46 UTC;564644;383088;40.42;30976;186168;849336;80.88;218024;130636;72
isaacpi;1;2017-03-22 18:53:47 UTC;564644;383088;40.42;30976;186180;849336;80.88;218024;130636;84
isaacpi;1;2017-03-22 18:53:48 UTC;564644;383088;40.42;30984;186188;849336;80.88;218032;130640;132
isaacpi;1;2017-03-22 18:53:49 UTC;564644;383088;40.42;30984;186200;849336;80.88;218056;130636;144
isaacpi;1;2017-03-22 18:53:50 UTC;564644;383088;40.42;30984;186212;849336;80.88;218068;130636;156
isaacpi;1;2017-03-22 18:53:51 UTC;564644;383088;40.42;30984;186224;849336;80.88;218080;130636;168
isaacpi;1;2017-03-22 18:53:52 UTC;564644;383088;40.42;30984;186236;849336;80.88;218092;130636;180
isaacpi;1;2017-03-22 18:53:53 UTC;564644;383088;40.42;30992;186244;849336;80.88;218100;130640;188
isaacpi;1;2017-03-22 18:53:54 UTC;564644;383088;40.42;30992;186256;849336;80.88;218120;130636;200
isaacpi;1;2017-03-22 18:53:55 UTC;564372;383360;40.45;30992;186268;849964;80.94;218120;130636;220
isaacpi;1;2017-03-22 18:53:56 UTC;564420;383312;40.45;30992;186280;849964;80.94;218136;130636;232
isaacpi;1;2017-03-22 18:53:57 UTC;564124;383608;40.48;30992;186288;849964;80.94;218244;130640;248
isaacpi;1;2017-03-22 18:53:58 UTC;564172;383560;40.47;31000;186300;849964;80.94;218172;130636;268
isaacpi;1;2017-03-22 18:53:59 UTC;561992;385740;40.70;31000;186708;850888;81.03;220632;130920;284
isaacpi;1;2017-03-22 18:54:00 UTC;556828;390904;41.25;31004;189428;851912;81.12;223976;132432;300
isaacpi;1;2017-03-22 18:54:01 UTC;553676;394056;41.58;31008;190520;852840;81.21;226388;133100;312
isaacpi;1;2017-03-22 18:54:02 UTC;551352;396380;41.82;31008;192812;852840;81.21;226532;135492;320
isaacpi;1;2017-03-22 18:54:03 UTC;551320;396412;41.83;31016;192820;852840;81.21;226556;135488;332
isaacpi;1;2017-03-22 18:54:04 UTC;551320;396412;41.83;31016;192836;852840;81.21;226624;135488;288
isaacpi;1;2017-03-22 18:54:05 UTC;551320;396412;41.83;31016;192848;852840;81.21;226636;135488;300
isaacpi;1;2017-03-22 18:54:06 UTC;551320;396412;41.83;31016;192860;852840;81.21;226648;135488;312
isaacpi;1;2017-03-22 18:54:07 UTC;551320;396412;41.83;31016;192868;852840;81.21;226656;135492;320
isaacpi;1;2017-03-22 18:54:08 UTC;551320;396412;41.83;31016;192880;852840;81.21;226668;135488;332
isaacpi;1;2017-03-22 18:54:09 UTC;551196;396536;41.84;31024;192892;852840;81.21;226680;135488;344
isaacpi;1;2017-03-22 18:54:10 UTC;551196;396536;41.84;31024;192904;852840;81.21;226700;135488;356
isaacpi;1;2017-03-22 18:54:11 UTC;551196;396536;41.84;31024;192912;852840;81.21;226708;135492;364
isaacpi;1;2017-03-22 18:54:12 UTC;551196;396536;41.84;31024;192924;852840;81.21;226720;135488;376
isaacpi;1;2017-03-22 18:54:13 UTC;551196;396536;41.84;31024;192936;852840;81.21;226732;135488;388
isaacpi;1;2017-03-22 18:54:14 UTC;551228;396504;41.84;31032;192948;852840;81.21;226744;135488;20
isaacpi;1;2017-03-22 18:54:15 UTC;551228;396504;41.84;31032;192960;852840;81.21;226764;135488;48
isaacpi;1;2017-03-22 18:54:16 UTC;551228;396504;41.84;31032;192968;852840;81.21;226772;135492;56
isaacpi;1;2017-03-22 18:54:17 UTC;551228;396504;41.84;31032;192980;852840;81.21;226784;135488;68
isaacpi;1;2017-03-22 18:54:18 UTC;551196;396536;41.84;31032;192992;852840;81.21;226796;135488;80
isaacpi;1;2017-03-22 18:54:19 UTC;551228;396504;41.84;31040;193004;852840;81.21;226816;135488;104
isaacpi;1;2017-03-22 18:54:20 UTC;551196;396536;41.84;31040;193012;852840;81.21;226824;135492;112
isaacpi;1;2017-03-22 18:54:21 UTC;551104;396628;41.85;31040;193024;852840;81.21;226836;135488;124
isaacpi;1;2017-03-22 18:54:22 UTC;551104;396628;41.85;31040;193036;852840;81.21;226848;135488;136
isaacpi;1;2017-03-22 18:54:23 UTC;551072;396660;41.85;31040;193048;852840;81.21;226860;135488;148
isaacpi;1;2017-03-22 18:54:24 UTC;551104;396628;41.85;31048;193060;852840;81.21;226872;135488;12
isaacpi;1;2017-03-22 18:54:25 UTC;550132;397600;41.95;31048;193068;853876;81.31;226880;135512;28
isaacpi;1;2017-03-22 18:54:26 UTC;550188;397544;41.95;31048;193080;853876;81.31;226884;135512;40
isaacpi;1;2017-03-22 18:54:27 UTC;550220;397512;41.94;31048;193092;853876;81.31;226896;135512;52
isaacpi;1;2017-03-22 18:54:28 UTC;550220;397512;41.94;31048;193104;853876;81.31;226908;135512;64
isaacpi;1;2017-03-22 18:54:29 UTC;550188;397544;41.95;31056;193116;853876;81.31;226916;135516;92
isaacpi;1;2017-03-22 18:54:30 UTC;550196;397536;41.95;31056;193124;853876;81.31;226936;135516;100
isaacpi;1;2017-03-22 18:54:31 UTC;550164;397568;41.95;31056;193136;853876;81.31;226948;135512;112
isaacpi;1;2017-03-22 18:54:32 UTC;550196;397536;41.95;31056;193148;853876;81.31;226960;135512;124
isaacpi;1;2017-03-22 18:54:33 UTC;550220;397512;41.94;31056;193160;853876;81.31;226972;135512;136
isaacpi;1;2017-03-22 18:54:34 UTC;550188;397544;41.95;31064;193168;853876;81.31;226980;135516;148
isaacpi;1;2017-03-22 18:54:35 UTC;550064;397668;41.96;31064;193180;853876;81.31;226992;135512;160
isaacpi;1;2017-03-22 18:54:36 UTC;550096;397636;41.96;31064;193192;853876;81.31;227004;135512;172
isaacpi;1;2017-03-22 18:54:37 UTC;550064;397668;41.96;31064;193204;853876;81.31;227016;135512;184
isaacpi;1;2017-03-22 18:54:38 UTC;550032;397700;41.96;31064;193216;853876;81.31;227028;135512;196
isaacpi;1;2017-03-22 18:54:39 UTC;550032;397700;41.96;31064;193224;853876;81.31;227036;135516;204
isaacpi;1;2017-03-22 18:54:40 UTC;550064;397668;41.96;31072;193236;853876;81.31;227048;135512;216
isaacpi;1;2017-03-22 18:54:41 UTC;550032;397700;41.96;31072;193248;853876;81.31;227060;135512;228
isaacpi;1;2017-03-22 18:54:42 UTC;550032;397700;41.96;31072;193260;853876;81.31;227072;135512;240
isaacpi;1;2017-03-22 18:54:43 UTC;549940;397792;41.97;31072;193268;853876;81.31;227080;135516;248
isaacpi;1;2017-03-22 18:54:44 UTC;549908;397824;41.98;31072;193280;853876;81.31;227092;135512;260
isaacpi;1;2017-03-22 18:54:45 UTC;549940;397792;41.97;31080;193292;853876;81.31;227104;135512;272
isaacpi;1;2017-03-22 18:54:46 UTC;549816;397916;41.99;31080;193304;853876;81.31;227116;135512;284
isaacpi;1;2017-03-22 18:54:47 UTC;549816;397916;41.99;31080;193316;853876;81.31;227128;135512;296
isaacpi;1;2017-03-22 18:54:48 UTC;549784;397948;41.99;31080;193324;853876;81.31;227136;135516;304
isaacpi;1;2017-03-22 18:54:49 UTC;549784;397948;41.99;31080;193336;853876;81.31;227148;135512;316
isaacpi;1;2017-03-22 18:54:50 UTC;549784;397948;41.99;31088;193348;853876;81.31;227160;135512;328
isaacpi;1;2017-03-22 18:54:51 UTC;549784;397948;41.99;31088;193360;853876;81.31;227172;135512;340
isaacpi;1;2017-03-22 18:54:52 UTC;549784;397948;41.99;31088;193372;853876;81.31;227180;135516;352
isaacpi;1;2017-03-22 18:54:53 UTC;549784;397948;41.99;31088;193380;853876;81.31;227192;135516;360
isaacpi;1;2017-03-22 18:54:54 UTC;549784;397948;41.99;31088;193392;853876;81.31;227204;135512;372
isaacpi;1;2017-03-22 18:54:55 UTC;549760;397972;41.99;31096;193404;852964;81.22;227132;135512;44
isaacpi;1;2017-03-22 18:54:56 UTC;549652;398080;42.00;31096;193416;852964;81.22;227236;135512;60
isaacpi;1;2017-03-22 18:54:57 UTC;549620;398112;42.01;31096;193424;853896;81.31;227344;135516;76
isaacpi;1;2017-03-22 18:54:58 UTC;549528;398204;42.02;31096;193440;853896;81.31;227348;135484;88
isaacpi;1;2017-03-22 18:54:59 UTC;549560;398172;42.01;31096;193452;853896;81.31;227348;135484;100
isaacpi;1;2017-03-22 18:55:00 UTC;549560;398172;42.01;31104;193464;853896;81.31;227372;135484;76
isaacpi;1;2017-03-22 18:55:01 UTC;549480;398252;42.02;31104;193480;853896;81.31;227508;135484;104
isaacpi;1;2017-03-22 18:55:02 UTC;549560;398172;42.01;31104;193492;853896;81.31;227424;135460;112
isaacpi;1;2017-03-22 18:55:03 UTC;549528;398204;42.02;31104;193504;853896;81.31;227436;135456;124
isaacpi;1;2017-03-22 18:55:04 UTC;549560;398172;42.01;31104;193516;853896;81.31;227448;135456;136
isaacpi;1;2017-03-22 18:55:05 UTC;549560;398172;42.01;31112;193528;853896;81.31;227460;135456;180
isaacpi;1;2017-03-22 18:55:06 UTC;549528;398204;42.02;31112;193536;853896;81.31;227472;135460;188
isaacpi;1;2017-03-22 18:55:07 UTC;549528;398204;42.02;31112;193548;853896;81.31;227484;135456;200
isaacpi;1;2017-03-22 18:55:08 UTC;549560;398172;42.01;31112;193560;853896;81.31;227496;135456;212
isaacpi;1;2017-03-22 18:55:09 UTC;549528;398204;42.02;31112;193572;853896;81.31;227508;135456;224
isaacpi;1;2017-03-22 18:55:10 UTC;549528;398204;42.02;31120;193584;853896;81.31;227528;135456;236
isaacpi;1;2017-03-22 18:55:11 UTC;549560;398172;42.01;31120;193592;853896;81.31;227536;135460;244
isaacpi;1;2017-03-22 18:55:12 UTC;549560;398172;42.01;31120;193604;853896;81.31;227548;135456;256
isaacpi;1;2017-03-22 18:55:13 UTC;549528;398204;42.02;31120;193616;853896;81.31;227560;135456;268
isaacpi;1;2017-03-22 18:55:14 UTC;549528;398204;42.02;31120;193628;853896;81.31;227572;135456;280
isaacpi;1;2017-03-22 18:55:15 UTC;549528;398204;42.02;31128;193636;853896;81.31;227580;135460;288
isaacpi;1;2017-03-22 18:55:16 UTC;549528;398204;42.02;31128;193648;853896;81.31;227600;135456;300
isaacpi;1;2017-03-22 18:55:17 UTC;549528;398204;42.02;31128;193660;853896;81.31;227612;135456;312
isaacpi;1;2017-03-22 18:55:18 UTC;549528;398204;42.02;31128;193672;853896;81.31;227624;135456;324
isaacpi;1;2017-03-22 18:55:19 UTC;549560;398172;42.01;31128;193684;853896;81.31;227636;135456;336
isaacpi;1;2017-03-22 18:55:20 UTC;549464;398268;42.02;31136;193692;853896;81.31;227656;135456;0
isaacpi;1;2017-03-22 18:55:21 UTC;549684;398048;42.00;31136;193704;853896;81.31;227664;135456;28
isaacpi;1;2017-03-22 18:55:22 UTC;549684;398048;42.00;31136;193716;853896;81.31;227676;135456;40
isaacpi;1;2017-03-22 18:55:23 UTC;549652;398080;42.00;31136;193728;853896;81.31;227688;135456;52
isaacpi;1;2017-03-22 18:55:24 UTC;549684;398048;42.00;31136;193740;853896;81.31;227700;135456;64
isaacpi;1;2017-03-22 18:55:25 UTC;549272;398460;42.04;31144;193748;851624;81.10;227728;135456;88
isaacpi;1;2017-03-22 18:55:26 UTC;549256;398476;42.05;31144;193760;851624;81.10;227680;135456;100
isaacpi;1;2017-03-22 18:55:27 UTC;549280;398452;42.04;31144;193772;851624;81.10;227744;135456;112
isaacpi;1;2017-03-22 18:55:28 UTC;549404;398328;42.03;31144;193784;851624;81.10;227756;135456;124
isaacpi;1;2017-03-22 18:55:29 UTC;549436;398296;42.03;31144;193792;851624;81.10;227764;135460;132
isaacpi;1;2017-03-22 18:55:30 UTC;549436;398296;42.03;31152;193804;851624;81.10;227776;135456;148
isaacpi;1;2017-03-22 18:55:31 UTC;549404;398328;42.03;31152;193816;851624;81.10;227796;135456;160
isaacpi;1;2017-03-22 18:55:32 UTC;549372;398360;42.03;31152;193828;851624;81.10;227808;135456;172
isaacpi;1;2017-03-22 18:55:33 UTC;549436;398296;42.03;31152;193840;851624;81.10;227820;135456;184
isaacpi;1;2017-03-22 18:55:34 UTC;549436;398296;42.03;31152;193848;851624;81.10;227828;135460;192
isaacpi;1;2017-03-22 18:55:35 UTC;549436;398296;42.03;31160;193860;851624;81.10;227840;135456;204
isaacpi;1;2017-03-22 18:55:36 UTC;549468;398264;42.02;31160;193872;851624;81.10;227860;135456;216
isaacpi;1;2017-03-22 18:55:37 UTC;549468;398264;42.02;31160;193884;851624;81.10;227872;135456;228
isaacpi;1;2017-03-22 18:55:38 UTC;549220;398512;42.05;31160;193892;851624;81.10;227880;135460;236
isaacpi;1;2017-03-22 18:55:39 UTC;549220;398512;42.05;31160;193904;851624;81.10;227892;135456;248
isaacpi;1;2017-03-22 18:55:40 UTC;549096;398636;42.06;31168;193916;851624;81.10;227912;135456;260
isaacpi;1;2017-03-22 18:55:41 UTC;549064;398668;42.07;31168;193928;851624;81.10;227924;135456;272
isaacpi;1;2017-03-22 18:55:42 UTC;549064;398668;42.07;31168;193940;851624;81.10;227936;135456;284
isaacpi;1;2017-03-22 18:55:43 UTC;549096;398636;42.06;31168;193948;851624;81.10;227944;135460;292
isaacpi;1;2017-03-22 18:55:44 UTC;549096;398636;42.06;31168;193960;851624;81.10;227956;135456;304
isaacpi;1;2017-03-22 18:55:45 UTC;548940;398792;42.08;31176;193972;851624;81.10;227968;135456;316
isaacpi;1;2017-03-22 18:55:46 UTC;548972;398760;42.08;31176;193984;851624;81.10;227988;135456;328
isaacpi;1;2017-03-22 18:55:47 UTC;548972;398760;42.08;31176;193996;851624;81.10;228000;135456;340
isaacpi;1;2017-03-22 18:55:48 UTC;548940;398792;42.08;31176;194004;851624;81.10;228008;135460;348
isaacpi;1;2017-03-22 18:55:49 UTC;548972;398760;42.08;31176;194016;851624;81.10;228020;135456;360
isaacpi;1;2017-03-22 18:55:50 UTC;548972;398760;42.08;31184;194028;851624;81.10;228032;135456;372
isaacpi;1;2017-03-22 18:55:51 UTC;548940;398792;42.08;31184;194040;851624;81.10;228052;135456;384
isaacpi;1;2017-03-22 18:55:52 UTC;548972;398760;42.08;31184;194048;851624;81.10;228060;135460;392
isaacpi;1;2017-03-22 18:55:53 UTC;548972;398760;42.08;31184;194060;851624;81.10;228072;135456;404
isaacpi;1;2017-03-22 18:55:54 UTC;548972;398760;42.08;31184;194072;851624;81.10;228084;135456;416
isaacpi;1;2017-03-22 18:55:55 UTC;548472;399260;42.13;31192;194084;853472;81.27;228116;135456;0
isaacpi;1;2017-03-22 18:55:56 UTC;548544;399188;42.12;31192;194096;853472;81.27;228064;135456;40
isaacpi;1;2017-03-22 18:55:57 UTC;548428;399304;42.13;31192;194104;853472;81.27;228124;135460;56
isaacpi;1;2017-03-22 18:55:58 UTC;548476;399256;42.13;31192;194116;853472;81.27;228148;135456;68
isaacpi;1;2017-03-22 18:55:59 UTC;548476;399256;42.13;31192;194128;853472;81.27;228148;135456;80
isaacpi;1;2017-03-22 18:56:00 UTC;548444;399288;42.13;31200;194140;853472;81.27;228160;135456;116
