# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
isaacpi;1;2017-03-22 18:53:43 UTC;wlan0;35.00;0.00;2.04;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:43 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:43 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:43 UTC;eth0;51.00;0.00;2.88;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:53:44 UTC;wlan0;18.00;0.00;1.15;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:44 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:44 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:44 UTC;eth0;34.00;1.00;1.99;0.08;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:53:45 UTC;wlan0;30.00;0.00;1.71;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:45 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:45 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:45 UTC;eth0;43.00;1.00;2.44;0.08;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:53:46 UTC;wlan0;10.00;0.00;1.12;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:46 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:46 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:46 UTC;eth0;33.00;0.00;2.10;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:53:47 UTC;wlan0;33.00;0.00;2.67;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:47 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:47 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:47 UTC;eth0;55.00;0.00;3.18;0.00;0.00;0.00;0.00;0.03
isaacpi;1;2017-03-22 18:53:48 UTC;wlan0;10.00;0.00;0.55;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:48 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:48 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:48 UTC;eth0;28.00;0.00;1.68;0.00;0.00;0.00;0.00;0.01
isaacpi;1;2017-03-22 18:53:49 UTC;wlan0;43.00;0.00;7.15;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:49 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:49 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:49 UTC;eth0;54.00;1.00;3.12;0.05;0.00;0.00;0.00;0.03
isaacpi;1;2017-03-22 18:53:50 UTC;wlan0;17.00;1.00;1.09;0.06;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:50 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:50 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:50 UTC;eth0;37.00;0.00;2.26;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:53:51 UTC;wlan0;12.00;0.00;0.82;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:51 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:51 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:51 UTC;eth0;44.00;0.00;2.63;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:53:52 UTC;wlan0;12.00;0.00;0.78;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:52 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:52 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:52 UTC;eth0;56.00;0.00;3.23;0.00;0.00;0.00;0.00;0.03
isaacpi;1;2017-03-22 18:53:53 UTC;wlan0;23.00;0.00;2.28;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:53 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:53 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:53 UTC;eth0;28.00;0.00;1.81;0.00;0.00;0.00;0.00;0.01
isaacpi;1;2017-03-22 18:53:54 UTC;wlan0;43.00;0.00;4.39;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:54 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:54 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:54 UTC;eth0;50.00;0.00;2.86;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:53:55 UTC;wlan0;38.00;0.00;3.28;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:55 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:55 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:55 UTC;eth0;38.00;8.00;2.23;0.73;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:53:56 UTC;wlan0;25.00;0.00;5.69;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:56 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:56 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:56 UTC;eth0;49.00;0.00;2.88;0.00;0.00;0.00;0.00;0.02
isaacpi;1;2017-03-22 18:53:57 UTC;wlan0;6.00;0.00;0.42;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:57 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:57 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:57 UTC;eth0;29.00;0.00;1.74;0.00;0.00;0.00;0.00;0.01
isaacpi;1;2017-03-22 18:53:58 UTC;wlan0;16.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:58 UTC;docker0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:58 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
isaacpi;1;2017-03-22 18:53:58 UTC;eth0;52.00;0.00;2.92;0.00;0.00;0.00;0.00;0.02
