# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-03-22 18:32:37 UTC;294140;653592;68.96;32372;228788;1066432;101.55;478048;139612;104
isaacpi;1;2017-03-22 18:32:38 UTC;294140;653592;68.96;32372;228796;1066432;101.55;478056;139616;112
isaacpi;1;2017-03-22 18:32:39 UTC;293752;653980;69.00;32372;228808;1067376;101.64;478068;139612;124
isaacpi;1;2017-03-22 18:32:40 UTC;293760;653972;69.00;32372;228820;1067376;101.64;478084;139612;136
isaacpi;1;2017-03-22 18:32:41 UTC;293604;654128;69.02;32372;228832;1067376;101.64;478104;139616;24
isaacpi;1;2017-03-22 18:32:42 UTC;293604;654128;69.02;32380;228840;1067376;101.64;478104;139616;88
isaacpi;1;2017-03-22 18:32:43 UTC;293636;654096;69.02;32380;228852;1067376;101.64;478124;139612;100
isaacpi;1;2017-03-22 18:32:44 UTC;293636;654096;69.02;32380;228864;1067376;101.64;478136;139612;112
isaacpi;1;2017-03-22 18:32:45 UTC;293636;654096;69.02;32380;228876;1067376;101.64;478148;139612;124
isaacpi;1;2017-03-22 18:32:46 UTC;293604;654128;69.02;32380;228888;1067376;101.64;478160;139612;136
isaacpi;1;2017-03-22 18:32:47 UTC;293480;654252;69.03;32388;228896;1067376;101.64;478168;139616;144
isaacpi;1;2017-03-22 18:32:48 UTC;293512;654220;69.03;32388;228908;1067376;101.64;478188;139612;156
isaacpi;1;2017-03-22 18:32:49 UTC;293480;654252;69.03;32388;228920;1067376;101.64;478200;139612;168
isaacpi;1;2017-03-22 18:32:50 UTC;293480;654252;69.03;32388;228932;1067376;101.64;478212;139612;180
isaacpi;1;2017-03-22 18:32:51 UTC;293480;654252;69.03;32388;228940;1067376;101.64;478220;139616;188
isaacpi;1;2017-03-22 18:32:52 UTC;293512;654220;69.03;32396;228952;1067376;101.64;478240;139612;200
isaacpi;1;2017-03-22 18:32:53 UTC;293512;654220;69.03;32396;228964;1067376;101.64;478252;139612;212
isaacpi;1;2017-03-22 18:32:54 UTC;293512;654220;69.03;32396;228976;1067376;101.64;478264;139612;224
isaacpi;1;2017-03-22 18:32:55 UTC;293480;654252;69.03;32396;228988;1067376;101.64;478276;139612;236
isaacpi;1;2017-03-22 18:32:56 UTC;293512;654220;69.03;32396;228996;1067376;101.64;478284;139616;244
isaacpi;1;2017-03-22 18:32:57 UTC;293512;654220;69.03;32404;229008;1067376;101.64;478296;139612;256
isaacpi;1;2017-03-22 18:32:58 UTC;293356;654376;69.05;32404;229020;1067376;101.64;478316;139612;268
