# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-03-22 18:53:28 UTC;-1;21.91;0.00;4.28;0.00;0.00;73.80
isaacpi;1;2017-03-22 18:53:29 UTC;-1;23.44;0.00;2.74;0.50;0.00;73.32
isaacpi;1;2017-03-22 18:53:30 UTC;-1;23.81;0.00;3.01;0.00;0.00;73.18
isaacpi;1;2017-03-22 18:53:31 UTC;-1;23.87;0.00;1.51;0.00;0.00;74.62
isaacpi;1;2017-03-22 18:53:32 UTC;-1;23.00;0.00;3.75;0.00;0.00;73.25
isaacpi;1;2017-03-22 18:53:33 UTC;-1;21.61;0.00;4.02;0.00;0.00;74.37
isaacpi;1;2017-03-22 18:53:34 UTC;-1;22.86;0.00;3.77;0.25;0.00;73.12
isaacpi;1;2017-03-22 18:53:35 UTC;-1;23.00;0.00;3.00;0.00;0.00;74.00
isaacpi;1;2017-03-22 18:53:36 UTC;-1;23.62;0.00;3.52;0.00;0.00;72.86
isaacpi;1;2017-03-22 18:53:37 UTC;-1;5.50;0.00;0.25;0.25;0.00;94.00
isaacpi;1;2017-03-22 18:53:38 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-03-22 18:53:39 UTC;-1;0.25;0.00;0.75;0.25;0.00;98.74
isaacpi;1;2017-03-22 18:53:40 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-22 18:53:41 UTC;-1;4.27;0.00;0.25;0.00;0.00;95.48
isaacpi;1;2017-03-22 18:53:42 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-03-22 18:53:43 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-22 18:53:44 UTC;-1;0.00;0.00;0.25;24.75;0.00;75.00
isaacpi;1;2017-03-22 18:53:45 UTC;-1;0.25;0.00;0.00;10.80;0.00;88.94
isaacpi;1;2017-03-22 18:53:46 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
