# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-03-22 18:53:28 UTC;298820;648912;68.47;32344;228244;1055452;100.51;473324;139476;72
isaacpi;1;2017-03-22 18:53:29 UTC;298664;649068;68.49;32352;228252;1055452;100.51;473384;139480;128
isaacpi;1;2017-03-22 18:53:30 UTC;298664;649068;68.49;32352;228264;1055452;100.51;473404;139476;140
isaacpi;1;2017-03-22 18:53:31 UTC;298416;649316;68.51;32356;228272;1055452;100.51;473680;139476;152
isaacpi;1;2017-03-22 18:53:32 UTC;297052;650680;68.66;32368;228368;1055452;100.51;475340;139244;164
isaacpi;1;2017-03-22 18:53:33 UTC;297052;650680;68.66;32368;228376;1055452;100.51;475348;139248;172
isaacpi;1;2017-03-22 18:53:34 UTC;296928;650804;68.67;32376;228388;1055452;100.51;475364;139244;184
isaacpi;1;2017-03-22 18:53:35 UTC;296960;650772;68.67;32376;228400;1055452;100.51;475396;139244;196
isaacpi;1;2017-03-22 18:53:36 UTC;296928;650804;68.67;32376;228412;1055452;100.51;475444;139244;208
isaacpi;1;2017-03-22 18:53:37 UTC;296624;651108;68.70;32384;228428;1058480;100.80;475836;139184;224
isaacpi;1;2017-03-22 18:53:38 UTC;296592;651140;68.71;32384;228436;1058480;100.80;475840;139184;232
isaacpi;1;2017-03-22 18:53:39 UTC;296104;651628;68.76;32392;228448;1058480;100.80;475920;139180;260
isaacpi;1;2017-03-22 18:53:40 UTC;296128;651604;68.75;32392;228460;1058480;100.80;475872;139180;272
isaacpi;1;2017-03-22 18:53:41 UTC;296120;651612;68.75;32392;228472;1058480;100.80;475888;139180;24
isaacpi;1;2017-03-22 18:53:42 UTC;296120;651612;68.75;32392;228480;1058480;100.80;475896;139184;36
isaacpi;1;2017-03-22 18:53:43 UTC;296120;651612;68.75;32392;228492;1058480;100.80;475908;139180;48
isaacpi;1;2017-03-22 18:53:44 UTC;296120;651612;68.75;32396;228504;1058480;100.80;475920;139180;60
isaacpi;1;2017-03-22 18:53:45 UTC;296120;651612;68.75;32400;228516;1058480;100.80;475932;139180;108
isaacpi;1;2017-03-22 18:53:46 UTC;296120;651612;68.75;32400;228528;1058480;100.80;475944;139180;120
isaacpi;1;2017-03-22 18:53:47 UTC;296104;651628;68.76;32400;228536;1058480;100.80;475968;139184;132
isaacpi;1;2017-03-22 18:53:48 UTC;296136;651596;68.75;32400;228548;1058480;100.80;476008;139180;144
isaacpi;1;2017-03-22 18:53:49 UTC;296136;651596;68.75;32408;228560;1058480;100.80;476020;139180;156
isaacpi;1;2017-03-22 18:53:50 UTC;295980;651752;68.77;32408;228572;1058480;100.80;476044;139180;180
isaacpi;1;2017-03-22 18:53:51 UTC;295980;651752;68.77;32408;228584;1058480;100.80;476060;139180;24
isaacpi;1;2017-03-22 18:53:52 UTC;296012;651720;68.77;32408;228592;1058480;100.80;476068;139184;36
isaacpi;1;2017-03-22 18:53:53 UTC;296012;651720;68.77;32408;228604;1058480;100.80;476080;139180;48
isaacpi;1;2017-03-22 18:53:54 UTC;296012;651720;68.77;32412;228616;1058480;100.80;476092;139180;60
isaacpi;1;2017-03-22 18:53:55 UTC;296012;651720;68.77;32416;228628;1058480;100.80;476104;139180;92
isaacpi;1;2017-03-22 18:53:56 UTC;296012;651720;68.77;32416;228636;1058480;100.80;476112;139184;100
isaacpi;1;2017-03-22 18:53:57 UTC;295980;651752;68.77;32416;228648;1058480;100.80;476124;139180;112
isaacpi;1;2017-03-22 18:53:58 UTC;295980;651752;68.77;32416;228660;1058480;100.80;476140;139180;124
isaacpi;1;2017-03-22 18:53:59 UTC;295980;651752;68.77;32424;228672;1058480;100.80;476152;139180;136
isaacpi;1;2017-03-22 18:54:00 UTC;295980;651752;68.77;32424;228684;1058480;100.80;476164;139180;148
isaacpi;1;2017-03-22 18:54:01 UTC;295824;651908;68.79;32424;228692;1058480;100.80;476184;139180;168
isaacpi;1;2017-03-22 18:54:02 UTC;291460;656272;69.25;32424;231020;1060528;100.99;479872;139380;2108
isaacpi;1;2017-03-22 18:54:03 UTC;283252;664480;70.11;32424;235064;1061576;101.09;486244;141624;5856
