id,type,title,time,,,,,Results,,,,,
cZRzZ,mist_file_light_0.txt,Process Start,1.49E+12,,,,,,,,,,
cZRzZ,mist_file_light_0.txt,Recieved deployment ,1.49E+12,2.394,,,,2.394,0.25,0.253,1.664,0.221,0.209
cZRzZ,mist_file_light_0.txt,Started deployment to Camunda,1.49E+12,,,,,,,,,,
cZRzZ,mist_file_light_0.txt,Finished deployment to Camunda,1.49E+12,11.59,,,,11.59,6.034,5.517,8.051,6.479,5.414
cZRzZ,mist_file_light_0.txt,Mist-docker  started,1.49E+12,,,,,,,,,,
cZRzZ,mist_file_light_0.txt,Mist-docker  completed,1.49E+12,70.134,,,,70.134,69.477,42.234,75.179,58.841,45.75
cZRzZ,mist_file_light_0.txt,Sending response to callback,1.49E+12,,,,,,,,,,
cZRzZ,mist_file_light_0.txt,Call back recieved,1.49E+12,0.024,,,,0.024,0.012,0.009,0.018,0.012,0.009
cZRzZ,mist_file_light_0.txt,Process End,1.49E+12,,,,,84.142,75.773,48.013,84.912,65.553,51.382
,,,,,,,,,,,,,
QoqUI,mist_file_light_0.txt,Process Start,1.49E+12,,,,,,,,,,
QoqUI,mist_file_light_0.txt,Recieved deployment ,1.49E+12,0.25,,,,,,,,,
QoqUI,mist_file_light_0.txt,Started deployment to Camunda,1.49E+12,,,,,,,,,,
QoqUI,mist_file_light_0.txt,Finished deployment to Camunda,1.49E+12,6.034,,,,,,,,,
QoqUI,mist_file_light_0.txt,Mist-docker  started,1.49E+12,,,,,,,,,,
QoqUI,mist_file_light_0.txt,Mist-docker  completed,1.49E+12,69.477,,,,,,,,,
QoqUI,mist_file_light_0.txt,Sending response to callback,1.49E+12,,,,,,,,,,
QoqUI,mist_file_light_0.txt,Call back recieved,1.49E+12,0.012,,,,,,,,,
QoqUI,mist_file_light_0.txt,Process End,1.49E+12,,,,,,,,,,
,,,,,,,,,,,,,
WgisH,mist_file_light_0.txt,Process Start,1.49E+12,,,,,,,,,,
WgisH,mist_file_light_0.txt,Recieved deployment ,1.49E+12,0.253,,,,,,,,,
WgisH,mist_file_light_0.txt,Started deployment to Camunda,1.49E+12,,,,,,,,,,
WgisH,mist_file_light_0.txt,Finished deployment to Camunda,1.49E+12,5.517,,,,,,,,,
WgisH,mist_file_light_0.txt,Mist-docker  started,1.49E+12,,,,,,,,,,
WgisH,mist_file_light_0.txt,Mist-docker  completed,1.49E+12,42.234,,,,,,,,,
WgisH,mist_file_light_0.txt,Sending response to callback,1.49E+12,,,,,,,,,,
WgisH,mist_file_light_0.txt,Call back recieved,1.49E+12,0.009,,,,,,,,,
WgisH,mist_file_light_0.txt,Process End,1.49E+12,,,,,,,,,,
,,,,,,,,,,,,,
txJru,mist_file_light_0.txt,Process Start,1.49012E+12,,,,,,,,,,
txJru,mist_file_light_0.txt,Recieved deployment ,1.49012E+12,1.664,,,,,,,,,
txJru,mist_file_light_0.txt,Started deployment to Camunda,1.49012E+12,,,,,,,,,,
txJru,mist_file_light_0.txt,Finished deployment to Camunda,1.49012E+12,8.051,,,,,,,,,
txJru,mist_file_light_0.txt,Mist-docker  started,1.49012E+12,,,,,,,,,,
txJru,mist_file_light_0.txt,Mist-docker  completed,1.49012E+12,75.179,,,,,,,,,
txJru,mist_file_light_0.txt,Sending response to callback,1.49012E+12,,,,,,,,,,
txJru,mist_file_light_0.txt,Call back recieved,1.49012E+12,0.018,,,,,,,,,
txJru,mist_file_light_0.txt,Process End,1.49012E+12,,,,,,,,,,
,,,,,,,,,,,,,
3iaK6,mist_file_light_0.txt,Process Start,1.49012E+12,,,,,,,,,,
3iaK6,mist_file_light_0.txt,Recieved deployment ,1.49012E+12,0.221,,,,,,,,,
3iaK6,mist_file_light_0.txt,Started deployment to Camunda,1.49012E+12,,,,,,,,,,
3iaK6,mist_file_light_0.txt,Finished deployment to Camunda,1.49012E+12,6.479,,,,,,,,,
3iaK6,mist_file_light_0.txt,Mist-docker  started,1.49012E+12,,,,,,,,,,
3iaK6,mist_file_light_0.txt,Mist-docker  completed,1.49012E+12,58.841,,,,,,,,,
3iaK6,mist_file_light_0.txt,Sending response to callback,1.49012E+12,,,,,,,,,,
3iaK6,mist_file_light_0.txt,Call back recieved,1.49012E+12,0.012,,,,,,,,,
,,,,,,,,,,,,,
3rWKH,mist_file_light_0.txt,Process Start,1.49012E+12,,,,,,,,,,
3rWKH,mist_file_light_0.txt,Recieved deployment ,1.49012E+12,0.209,,,,,,,,,
3rWKH,mist_file_light_0.txt,Started deployment to Camunda,1.49012E+12,,,,,,,,,,
3rWKH,mist_file_light_0.txt,Finished deployment to Camunda,1.49012E+12,5.414,,,,,,,,,
3rWKH,mist_file_light_0.txt,Mist-docker  started,1.49012E+12,,,,,,,,,,
3rWKH,mist_file_light_0.txt,Mist-docker  completed,1.49012E+12,45.75,,,,,,,,,
3rWKH,mist_file_light_0.txt,Sending response to callback,1.49012E+12,,,,,,,,,,
3rWKH,mist_file_light_0.txt,Call back recieved,1.49012E+12,0.009,,,,,,,,,
3rWKH,mist_file_light_0.txt,Process End,1.49012E+12,,,,,,,,,,
