# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-04-01 11:54:40 UTC;537936;409796;43.24;38712;209560;833700;79.39;249044;125824;44
isaacpi;1;2017-04-01 11:54:41 UTC;537936;409796;43.24;38712;209568;833700;79.39;249056;125828;52
isaacpi;1;2017-04-01 11:54:42 UTC;537936;409796;43.24;38712;209580;833700;79.39;249068;125824;64
isaacpi;1;2017-04-01 11:54:43 UTC;537936;409796;43.24;38712;209592;833700;79.39;249080;125824;76
isaacpi;1;2017-04-01 11:54:44 UTC;537936;409796;43.24;38712;209604;833700;79.39;249092;125824;88
isaacpi;1;2017-04-01 11:54:45 UTC;537936;409796;43.24;38720;209612;833700;79.39;249100;125828;140
isaacpi;1;2017-04-01 11:54:46 UTC;537936;409796;43.24;38720;209624;833700;79.39;249120;125824;152
isaacpi;1;2017-04-01 11:54:47 UTC;537904;409828;43.24;38720;209636;833700;79.39;249132;125824;164
isaacpi;1;2017-04-01 11:54:48 UTC;537780;409952;43.26;38720;209648;833700;79.39;249144;125824;176
isaacpi;1;2017-04-01 11:54:49 UTC;537780;409952;43.26;38720;209660;833700;79.39;249156;125824;188
isaacpi;1;2017-04-01 11:54:50 UTC;537656;410076;43.27;38728;209668;833700;79.39;249172;125828;200
isaacpi;1;2017-04-01 11:54:51 UTC;537664;410068;43.27;38728;209680;833700;79.39;249184;125824;212
isaacpi;1;2017-04-01 11:54:52 UTC;537664;410068;43.27;38728;209692;833700;79.39;249196;125824;224
isaacpi;1;2017-04-01 11:54:53 UTC;537664;410068;43.27;38728;209704;833700;79.39;249208;125824;236
isaacpi;1;2017-04-01 11:54:54 UTC;537664;410068;43.27;38728;209712;833700;79.39;249228;125824;244
isaacpi;1;2017-04-01 11:54:55 UTC;537664;410068;43.27;38736;209724;833700;79.39;249228;125824;260
isaacpi;1;2017-04-01 11:54:56 UTC;537664;410068;43.27;38736;209736;833700;79.39;249248;125824;272
isaacpi;1;2017-04-01 11:54:57 UTC;537664;410068;43.27;38736;209748;833700;79.39;249260;125824;284
isaacpi;1;2017-04-01 11:54:58 UTC;537664;410068;43.27;38736;209760;833700;79.39;249272;125824;296
isaacpi;1;2017-04-01 11:54:59 UTC;537664;410068;43.27;38736;209768;833700;79.39;249280;125828;304
isaacpi;1;2017-04-01 11:55:00 UTC;537664;410068;43.27;38744;209780;833700;79.39;249292;125824;316
isaacpi;1;2017-04-01 11:55:01 UTC;537540;410192;43.28;38744;209792;833700;79.39;249312;125824;328
isaacpi;1;2017-04-01 11:55:02 UTC;537168;410564;43.32;38744;209804;835632;79.57;249384;125824;340
isaacpi;1;2017-04-01 11:55:03 UTC;537168;410564;43.32;38744;209816;835632;79.57;249384;125824;352
isaacpi;1;2017-04-01 11:55:04 UTC;537168;410564;43.32;38744;209824;835632;79.57;249404;125824;308
isaacpi;1;2017-04-01 11:55:05 UTC;537168;410564;43.32;38752;209836;835632;79.57;249412;125824;348
isaacpi;1;2017-04-01 11:55:06 UTC;537168;410564;43.32;38752;209848;835632;79.57;249424;125824;360
isaacpi;1;2017-04-01 11:55:07 UTC;537044;410688;43.33;38752;209860;835632;79.57;249436;125824;372
isaacpi;1;2017-04-01 11:55:08 UTC;537044;410688;43.33;38752;209868;835632;79.57;249444;125828;380
isaacpi;1;2017-04-01 11:55:09 UTC;537044;410688;43.33;38752;209880;835632;79.57;249456;125824;392
isaacpi;1;2017-04-01 11:55:10 UTC;537044;410688;43.33;38760;209892;835632;79.57;249468;125824;404
isaacpi;1;2017-04-01 11:55:11 UTC;537044;410688;43.33;38760;209904;835632;79.57;249488;125824;416
isaacpi;1;2017-04-01 11:55:12 UTC;537044;410688;43.33;38760;209916;835632;79.57;249500;125824;428
isaacpi;1;2017-04-01 11:55:13 UTC;537044;410688;43.33;38760;209924;835632;79.57;249508;125828;436
isaacpi;1;2017-04-01 11:55:14 UTC;536952;410780;43.34;38760;209936;835632;79.57;249532;125824;44
isaacpi;1;2017-04-01 11:55:15 UTC;536952;410780;43.34;38768;209948;835632;79.57;249532;125824;64
isaacpi;1;2017-04-01 11:55:16 UTC;536952;410780;43.34;38768;209960;835632;79.57;249552;125824;76
isaacpi;1;2017-04-01 11:55:17 UTC;536952;410780;43.34;38768;209968;835632;79.57;249560;125828;84
isaacpi;1;2017-04-01 11:55:18 UTC;536828;410904;43.36;38768;209980;835632;79.57;249572;125824;96
isaacpi;1;2017-04-01 11:55:19 UTC;536828;410904;43.36;38768;209992;835632;79.57;249584;125824;108
isaacpi;1;2017-04-01 11:55:20 UTC;536828;410904;43.36;38776;210004;835632;79.57;249604;125824;120
isaacpi;1;2017-04-01 11:55:21 UTC;536828;410904;43.36;38776;210016;835632;79.57;249616;125824;132
isaacpi;1;2017-04-01 11:55:22 UTC;536828;410904;43.36;38776;210024;835632;79.57;249624;125828;140
isaacpi;1;2017-04-01 11:55:23 UTC;536828;410904;43.36;38776;210036;835632;79.57;249636;125824;152
isaacpi;1;2017-04-01 11:55:24 UTC;536828;410904;43.36;38776;210048;835632;79.57;249660;125824;160
isaacpi;1;2017-04-01 11:55:25 UTC;536828;410904;43.36;38784;210060;835632;79.57;249660;125824;176
isaacpi;1;2017-04-01 11:55:26 UTC;536828;410904;43.36;38784;210072;835632;79.57;249676;125828;188
isaacpi;1;2017-04-01 11:55:27 UTC;536828;410904;43.36;38784;210080;835632;79.57;249688;125828;196
isaacpi;1;2017-04-01 11:55:28 UTC;536828;410904;43.36;38784;210092;835632;79.57;249700;125824;208
isaacpi;1;2017-04-01 11:55:29 UTC;536704;411028;43.37;38784;210104;835632;79.57;249724;125824;184
isaacpi;2;2017-04-01 11:55:31 UTC;536696;411036;43.37;38792;210116;835632;79.57;249732;125824;28
isaacpi;1;2017-04-01 11:55:32 UTC;536696;411036;43.37;38792;210124;835632;79.57;249740;125828;36
