# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-03-28 20:40:55 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-28 20:40:56 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-28 20:40:57 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-28 20:40:58 UTC;-1;0.00;0.00;0.25;0.25;0.00;99.50
isaacpi;1;2017-03-28 20:40:59 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-03-28 20:41:00 UTC;-1;1.25;0.00;0.25;0.00;0.00;98.50
isaacpi;1;2017-03-28 20:41:01 UTC;-1;0.25;0.00;0.00;0.00;0.00;99.75
isaacpi;1;2017-03-28 20:41:02 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-03-28 20:41:03 UTC;-1;0.00;0.00;0.00;0.25;0.00;99.75
isaacpi;1;2017-03-28 20:41:04 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-03-28 20:41:05 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-03-28 20:41:06 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-03-28 20:41:07 UTC;-1;0.25;0.00;0.00;0.00;0.00;99.75
isaacpi;1;2017-03-28 20:41:08 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-28 20:41:09 UTC;-1;0.00;0.00;0.00;0.75;0.00;99.25
isaacpi;1;2017-03-28 20:41:10 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-28 20:41:11 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-28 20:41:12 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-28 20:41:13 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-28 20:41:14 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
