# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-03-28 20:40:55 UTC;671852;275880;29.11;30248;146900;790632;75.29;137516;104296;28
isaacpi;1;2017-03-28 20:40:56 UTC;671884;275848;29.11;30248;146908;790632;75.29;137524;104300;36
isaacpi;1;2017-03-28 20:40:57 UTC;671852;275880;29.11;30248;146920;790632;75.29;137536;104296;48
isaacpi;1;2017-03-28 20:40:58 UTC;671884;275848;29.11;30256;146932;790632;75.29;137548;104296;100
isaacpi;1;2017-03-28 20:40:59 UTC;671760;275972;29.12;30256;146944;790632;75.29;137560;104296;112
isaacpi;1;2017-03-28 20:41:00 UTC;671844;275888;29.11;30256;146952;790292;75.26;137568;104300;120
isaacpi;1;2017-03-28 20:41:01 UTC;671868;275864;29.11;30256;146964;790292;75.26;137584;104296;140
isaacpi;1;2017-03-28 20:41:02 UTC;671852;275880;29.11;30256;146976;790292;75.26;137596;104296;152
isaacpi;1;2017-03-28 20:41:03 UTC;671852;275880;29.11;30264;146988;790292;75.26;137608;104296;172
isaacpi;1;2017-03-28 20:41:04 UTC;671884;275848;29.11;30264;147000;790292;75.26;137620;104296;184
isaacpi;1;2017-03-28 20:41:05 UTC;671884;275848;29.11;30264;147008;790292;75.26;137628;104300;192
isaacpi;1;2017-03-28 20:41:06 UTC;671760;275972;29.12;30264;147020;790292;75.26;137640;104296;204
isaacpi;1;2017-03-28 20:41:07 UTC;671728;276004;29.12;30264;147032;790292;75.26;137652;104296;164
isaacpi;1;2017-03-28 20:41:08 UTC;671728;276004;29.12;30264;147044;790292;75.26;137664;104296;176
isaacpi;1;2017-03-28 20:41:09 UTC;671720;276012;29.12;30272;147052;790292;75.26;137672;104300;184
isaacpi;1;2017-03-28 20:41:10 UTC;671752;275980;29.12;30272;147064;790292;75.26;137684;104296;196
isaacpi;1;2017-03-28 20:41:11 UTC;671720;276012;29.12;30272;147076;790292;75.26;137696;104296;208
isaacpi;1;2017-03-28 20:41:12 UTC;671720;276012;29.12;30272;147088;790292;75.26;137708;104296;220
isaacpi;1;2017-03-28 20:41:13 UTC;671720;276012;29.12;30272;147100;790292;75.26;137720;104296;232
isaacpi;1;2017-03-28 20:41:14 UTC;671720;276012;29.12;30280;147108;790292;75.26;137728;104300;240
isaacpi;1;2017-03-28 20:41:15 UTC;671720;276012;29.12;30280;147120;790292;75.26;137740;104296;252
isaacpi;1;2017-03-28 20:41:16 UTC;671752;275980;29.12;30280;147132;790292;75.26;137752;104296;264
