# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-04-01 12:12:51 UTC;678416;269316;28.42;30100;146740;761616;72.53;131200;104728;56
isaacpi;1;2017-04-01 12:12:52 UTC;678292;269440;28.43;30100;146748;761616;72.53;131208;104732;64
isaacpi;1;2017-04-01 12:12:53 UTC;678292;269440;28.43;30100;146760;761616;72.53;131232;104728;76
isaacpi;1;2017-04-01 12:12:54 UTC;678292;269440;28.43;30100;146772;761616;72.53;131232;104728;88
isaacpi;1;2017-04-01 12:12:55 UTC;678292;269440;28.43;30100;146784;761616;72.53;131252;104732;100
isaacpi;1;2017-04-01 12:12:56 UTC;678168;269564;28.44;30108;146792;761616;72.53;131264;104728;140
isaacpi;1;2017-04-01 12:12:57 UTC;678168;269564;28.44;30108;146804;761616;72.53;131264;104728;152
isaacpi;1;2017-04-01 12:12:58 UTC;678044;269688;28.46;30108;146816;761616;72.53;131288;104728;164
isaacpi;1;2017-04-01 12:12:59 UTC;678044;269688;28.46;30108;146828;761616;72.53;131300;104728;176
isaacpi;1;2017-04-01 12:13:00 UTC;678044;269688;28.46;30108;146840;761616;72.53;131300;104728;188
isaacpi;1;2017-04-01 12:13:01 UTC;678044;269688;28.46;30116;146848;761616;72.53;131320;104728;196
isaacpi;1;2017-04-01 12:13:02 UTC;677920;269812;28.47;30116;146860;761616;72.53;131332;104728;208
isaacpi;1;2017-04-01 12:13:03 UTC;677920;269812;28.47;30116;146876;761616;72.53;131332;104732;228
isaacpi;1;2017-04-01 12:13:04 UTC;677920;269812;28.47;30116;146888;761616;72.53;131352;104736;240
isaacpi;1;2017-04-01 12:13:05 UTC;677920;269812;28.47;30116;146896;761616;72.53;131364;104732;248
isaacpi;1;2017-04-01 12:13:06 UTC;677920;269812;28.47;30124;146908;761616;72.53;131364;104732;264
isaacpi;1;2017-04-01 12:13:07 UTC;677920;269812;28.47;30124;146920;761616;72.53;131388;104732;276
isaacpi;1;2017-04-01 12:13:08 UTC;677920;269812;28.47;30124;146932;761616;72.53;131400;104732;288
isaacpi;1;2017-04-01 12:13:09 UTC;677796;269936;28.48;30124;146944;761616;72.53;131428;104732;300
isaacpi;1;2017-04-01 12:13:10 UTC;677796;269936;28.48;30124;146952;761616;72.53;131448;104732;308
isaacpi;1;2017-04-01 12:13:11 UTC;677796;269936;28.48;30132;146964;761616;72.53;131460;104732;320
isaacpi;1;2017-04-01 12:13:12 UTC;677796;269936;28.48;30132;146976;761616;72.53;131460;104732;332
isaacpi;1;2017-04-01 12:13:13 UTC;677796;269936;28.48;30132;146988;761616;72.53;131484;104732;344
isaacpi;1;2017-04-01 12:13:14 UTC;677796;269936;28.48;30132;147000;761616;72.53;131492;104736;356
isaacpi;1;2017-04-01 12:13:15 UTC;677796;269936;28.48;30132;147008;761616;72.53;131492;104736;364
isaacpi;1;2017-04-01 12:13:16 UTC;677796;269936;28.48;30140;147020;761616;72.53;131516;104732;376
isaacpi;1;2017-04-01 12:13:17 UTC;677796;269936;28.48;30140;147032;761616;72.53;131528;104732;388
isaacpi;1;2017-04-01 12:13:18 UTC;677796;269936;28.48;30140;147044;761616;72.53;131528;104732;400
isaacpi;1;2017-04-01 12:13:19 UTC;677640;270092;28.50;30140;147052;761616;72.53;131548;104732;348
isaacpi;1;2017-04-01 12:13:20 UTC;677516;270216;28.51;30140;147064;761616;72.53;131560;104732;360
isaacpi;1;2017-04-01 12:13:21 UTC;677516;270216;28.51;30148;147076;761616;72.53;131560;104732;372
isaacpi;1;2017-04-01 12:13:22 UTC;677516;270216;28.51;30148;147088;761616;72.53;131584;104732;384
isaacpi;1;2017-04-01 12:13:23 UTC;677516;270216;28.51;30148;147100;761616;72.53;131592;104736;100
isaacpi;1;2017-04-01 12:13:24 UTC;677516;270216;28.51;30148;147108;761616;72.53;131592;104736;20
isaacpi;1;2017-04-01 12:13:25 UTC;677516;270216;28.51;30148;147120;761616;72.53;131616;104732;32
isaacpi;1;2017-04-01 12:13:26 UTC;677516;270216;28.51;30156;147132;761616;72.53;131628;104732;60
isaacpi;1;2017-04-01 12:13:27 UTC;677516;270216;28.51;30156;147144;761616;72.53;131628;104732;72
isaacpi;1;2017-04-01 12:13:28 UTC;677516;270216;28.51;30156;147152;761616;72.53;131648;104732;80
isaacpi;1;2017-04-01 12:13:29 UTC;677516;270216;28.51;30156;147164;761616;72.53;131692;104732;92
isaacpi;1;2017-04-01 12:13:30 UTC;677516;270216;28.51;30156;147176;761616;72.53;131692;104732;104
