# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-03-28 19:57:39 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-03-28 19:57:40 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-03-28 19:57:41 UTC;-1;0.50;0.00;0.25;0.00;0.00;99.25
isaacpi;1;2017-03-28 19:57:42 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-03-28 19:57:43 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-03-28 19:57:44 UTC;-1;0.25;0.00;0.50;0.25;0.00;99.00
isaacpi;1;2017-03-28 19:57:45 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-03-28 19:57:46 UTC;-1;0.00;0.00;0.50;17.34;0.00;82.16
isaacpi;1;2017-03-28 19:57:47 UTC;-1;0.25;0.00;0.50;17.46;0.00;81.80
isaacpi;1;2017-03-28 19:57:48 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-03-28 19:57:49 UTC;-1;0.75;0.00;0.00;24.56;0.00;74.69
isaacpi;1;2017-03-28 19:57:50 UTC;-1;1.00;0.00;0.00;19.65;0.00;79.35
isaacpi;1;2017-03-28 19:57:51 UTC;-1;0.50;0.00;0.00;0.00;0.00;99.50
isaacpi;1;2017-03-28 19:57:52 UTC;-1;0.50;0.00;0.50;0.00;0.00;99.00
isaacpi;1;2017-03-28 19:57:53 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-03-28 19:57:54 UTC;-1;0.00;0.00;0.50;0.25;0.00;99.25
isaacpi;1;2017-03-28 19:57:55 UTC;-1;0.25;0.00;0.50;0.00;0.00;99.25
isaacpi;1;2017-03-28 19:57:56 UTC;-1;0.00;0.00;0.50;0.00;0.00;99.50
isaacpi;1;2017-03-28 19:57:57 UTC;-1;0.50;0.00;0.25;12.22;0.00;87.03
isaacpi;1;2017-03-28 19:57:58 UTC;-1;0.00;0.00;0.50;18.84;0.00;80.65
