# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
isaacpi;1;2017-03-28 19:57:39 UTC;64796;882936;93.16;50816;399588;1125672;107.19;560584;275088;112
isaacpi;1;2017-03-28 19:57:40 UTC;64828;882904;93.16;50816;399596;1125672;107.19;560596;275092;120
isaacpi;1;2017-03-28 19:57:41 UTC;64796;882936;93.16;50816;399608;1125672;107.19;560608;275088;132
isaacpi;1;2017-03-28 19:57:42 UTC;64836;882896;93.16;50816;399620;1125672;107.19;560620;275088;144
isaacpi;1;2017-03-28 19:57:43 UTC;64836;882896;93.16;50816;399632;1125672;107.19;560632;275088;156
isaacpi;1;2017-03-28 19:57:44 UTC;64556;883176;93.19;50824;399640;1125672;107.19;560640;275092;188
isaacpi;1;2017-03-28 19:57:45 UTC;64588;883144;93.18;50824;399652;1125672;107.19;560652;275088;200
isaacpi;1;2017-03-28 19:57:46 UTC;64556;883176;93.19;50824;399664;1125672;107.19;560664;275088;132
isaacpi;1;2017-03-28 19:57:47 UTC;64588;883144;93.18;50824;399676;1125672;107.19;560676;275088;0
isaacpi;1;2017-03-28 19:57:48 UTC;64588;883144;93.18;50824;399688;1125672;107.19;560688;275088;40
isaacpi;1;2017-03-28 19:57:49 UTC;64588;883144;93.18;50828;399696;1125672;107.19;560696;275092;48
isaacpi;1;2017-03-28 19:57:50 UTC;64588;883144;93.18;50832;399704;1125672;107.19;560708;275088;60
isaacpi;1;2017-03-28 19:57:51 UTC;64556;883176;93.19;50832;399720;1125672;107.19;560720;275088;108
isaacpi;1;2017-03-28 19:57:52 UTC;64588;883144;93.18;50832;399732;1125672;107.19;560732;275088;120
isaacpi;1;2017-03-28 19:57:53 UTC;64556;883176;93.19;50832;399740;1125672;107.19;560740;275092;128
isaacpi;1;2017-03-28 19:57:54 UTC;64588;883144;93.18;50840;399752;1125672;107.19;560752;275088;140
isaacpi;1;2017-03-28 19:57:55 UTC;64340;883392;93.21;50840;399764;1125672;107.19;560764;275088;152
isaacpi;1;2017-03-28 19:57:56 UTC;64308;883424;93.21;50840;399776;1125672;107.19;560776;275088;164
isaacpi;1;2017-03-28 19:57:57 UTC;64308;883424;93.21;50840;399788;1125672;107.19;560788;275088;28
isaacpi;1;2017-03-28 19:57:58 UTC;64340;883392;93.21;50840;399796;1125672;107.19;560796;275092;36
isaacpi;1;2017-03-28 19:57:59 UTC;64340;883392;93.21;50844;399808;1125672;107.19;560808;275088;48
isaacpi;1;2017-03-28 19:58:00 UTC;64216;883516;93.22;50848;399816;1126616;107.28;560816;275088;64
isaacpi;1;2017-03-28 19:58:01 UTC;64184;883548;93.23;50848;399832;1126616;107.28;560864;275088;92
isaacpi;1;2017-03-28 19:58:02 UTC;64216;883516;93.22;50848;399844;1126616;107.28;560876;275088;104
isaacpi;1;2017-03-28 19:58:03 UTC;64216;883516;93.22;50848;399852;1126616;107.28;560884;275092;112
isaacpi;1;2017-03-28 19:58:04 UTC;64092;883640;93.24;50856;399864;1126616;107.28;560896;275088;128
isaacpi;1;2017-03-28 19:58:05 UTC;64060;883672;93.24;50856;399876;1126616;107.28;560908;275088;140
isaacpi;1;2017-03-28 19:58:06 UTC;64092;883640;93.24;50856;399888;1126616;107.28;560924;275088;152
isaacpi;1;2017-03-28 19:58:07 UTC;64092;883640;93.24;50856;399896;1126616;107.28;560944;275092;160
isaacpi;1;2017-03-28 19:58:08 UTC;64092;883640;93.24;50856;399908;1126616;107.28;560956;275088;172
isaacpi;1;2017-03-28 19:58:09 UTC;64092;883640;93.24;50864;399920;1126616;107.28;560968;275088;184
isaacpi;1;2017-03-28 19:58:10 UTC;64092;883640;93.24;50864;399932;1126616;107.28;560980;275088;196
isaacpi;1;2017-03-28 19:58:11 UTC;64092;883640;93.24;50864;399944;1126616;107.28;560992;275088;208
isaacpi;1;2017-03-28 19:58:12 UTC;64092;883640;93.24;50864;399952;1126616;107.28;561000;275092;216
isaacpi;1;2017-03-28 19:58:13 UTC;64060;883672;93.24;50864;399964;1126616;107.28;561012;275088;0
isaacpi;1;2017-03-28 19:58:14 UTC;64092;883640;93.24;50868;399976;1126616;107.28;561036;275088;40
isaacpi;1;2017-03-28 19:58:15 UTC;63968;883764;93.25;50868;399988;1126616;107.28;561036;275088;52
isaacpi;1;2017-03-28 19:58:16 UTC;63968;883764;93.25;50872;399996;1126616;107.28;561044;275092;76
isaacpi;1;2017-03-28 19:58:17 UTC;63968;883764;93.25;50872;400008;1126616;107.28;561056;275088;88
isaacpi;1;2017-03-28 19:58:18 UTC;63812;883920;93.27;50872;400020;1126616;107.28;561068;275088;0
isaacpi;1;2017-03-28 19:58:19 UTC;63844;883888;93.26;50876;400032;1126616;107.28;561080;275088;32
isaacpi;1;2017-03-28 19:58:20 UTC;63812;883920;93.27;50876;400044;1126616;107.28;561092;275088;44
isaacpi;1;2017-03-28 19:58:21 UTC;63936;883796;93.25;50880;400052;1126616;107.28;561100;275092;68
isaacpi;1;2017-03-28 19:58:22 UTC;63968;883764;93.25;50880;400064;1126616;107.28;561112;275088;80
isaacpi;1;2017-03-28 19:58:23 UTC;63968;883764;93.25;50880;400076;1126616;107.28;561124;275088;92
isaacpi;1;2017-03-28 19:58:24 UTC;63936;883796;93.25;50888;400080;1126616;107.28;561136;275088;104
isaacpi;1;2017-03-28 19:58:25 UTC;63968;883764;93.25;50888;400100;1126616;107.28;561144;275092;128
isaacpi;1;2017-03-28 19:58:26 UTC;63844;883888;93.26;50888;400108;1126616;107.28;561156;275092;136
isaacpi;1;2017-03-28 19:58:27 UTC;63844;883888;93.26;50888;400120;1126616;107.28;561168;275088;148
isaacpi;1;2017-03-28 19:58:28 UTC;63844;883888;93.26;50888;400132;1126616;107.28;561180;275088;160
isaacpi;1;2017-03-28 19:58:29 UTC;63844;883888;93.26;50888;400144;1126616;107.28;561192;275088;172
isaacpi;1;2017-03-28 19:58:30 UTC;64068;883664;93.24;50896;400152;1127540;107.37;561208;275084;192
isaacpi;1;2017-03-28 19:58:31 UTC;64060;883672;93.24;50896;400164;1127540;107.37;561256;275084;204
isaacpi;1;2017-03-28 19:58:32 UTC;63936;883796;93.25;50896;400176;1127540;107.37;561280;275084;224
isaacpi;1;2017-03-28 19:58:33 UTC;63904;883828;93.26;50896;400188;1128472;107.46;561280;275084;236
isaacpi;1;2017-03-28 19:58:34 UTC;63936;883796;93.25;50896;400200;1128472;107.46;561292;275084;0
isaacpi;1;2017-03-28 19:58:35 UTC;63968;883764;93.25;50900;400208;1128472;107.46;561300;275088;36
isaacpi;1;2017-03-28 19:58:36 UTC;63936;883796;93.25;50900;400220;1128472;107.46;561312;275084;48
isaacpi;1;2017-03-28 19:58:37 UTC;63968;883764;93.25;50904;400232;1128472;107.46;561324;275084;92
isaacpi;1;2017-03-28 19:58:38 UTC;63968;883764;93.25;50904;400244;1128472;107.46;561336;275084;104
isaacpi;1;2017-03-28 19:58:39 UTC;63968;883764;93.25;50904;400252;1128472;107.46;561344;275088;112
isaacpi;1;2017-03-28 19:58:40 UTC;63968;883764;93.25;50912;400264;1128472;107.46;561356;275084;124
isaacpi;1;2017-03-28 19:58:41 UTC;63968;883764;93.25;50912;400276;1128472;107.46;561368;275084;136
isaacpi;1;2017-03-28 19:58:42 UTC;63936;883796;93.25;50912;400288;1128472;107.46;561380;275084;148
isaacpi;1;2017-03-28 19:58:43 UTC;63968;883764;93.25;50912;400300;1128472;107.46;561392;275084;160
isaacpi;1;2017-03-28 19:58:44 UTC;63952;883780;93.25;50912;400308;1128472;107.46;561400;275088;168
isaacpi;1;2017-03-28 19:58:45 UTC;63828;883904;93.27;50920;400320;1128472;107.46;561412;275084;180
isaacpi;1;2017-03-28 19:58:46 UTC;63828;883904;93.27;50920;400332;1128472;107.46;561424;275084;192
isaacpi;1;2017-03-28 19:58:47 UTC;63704;884028;93.28;50920;400344;1128472;107.46;561464;275080;204
isaacpi;1;2017-03-28 19:58:48 UTC;61464;886268;93.51;50920;400544;1128472;107.46;563788;275256;220
isaacpi;1;2017-03-28 19:58:49 UTC;58332;889400;93.85;50920;400556;1128472;107.46;567540;274688;232
isaacpi;1;2017-03-28 19:58:50 UTC;55364;892368;94.16;50932;401004;1129508;107.56;570076;274988;244
isaacpi;1;2017-03-28 19:58:51 UTC;45748;901984;95.17;50932;410612;1129508;107.56;570140;284612;296
isaacpi;1;2017-03-28 19:58:52 UTC;34016;913716;96.41;50932;422144;1129508;107.56;570152;296148;308
isaacpi;1;2017-03-28 19:58:53 UTC;29660;918072;96.87;50932;426144;1129508;107.56;568368;301836;316
isaacpi;1;2017-03-28 19:58:54 UTC;28752;918980;96.97;50932;426824;1129508;107.56;566668;304260;32
isaacpi;1;2017-03-28 19:58:55 UTC;28584;919148;96.98;50932;427088;1129508;107.56;566680;304544;40
isaacpi;2;2017-03-28 19:58:57 UTC;27644;920088;97.08;50940;428036;1129508;107.56;566692;305360;68
isaacpi;1;2017-03-28 19:58:58 UTC;27644;920088;97.08;50940;428008;1129508;107.56;566712;305440;80
isaacpi;1;2017-03-28 19:58:59 UTC;27256;920476;97.12;50940;428016;1130440;107.65;566720;305444;88
isaacpi;1;2017-03-28 19:59:00 UTC;27304;920428;97.12;50940;428032;1130440;107.65;566700;305436;104
isaacpi;1;2017-03-28 19:59:01 UTC;27392;920340;97.11;50948;428044;1130440;107.65;566960;305336;120
isaacpi;1;2017-03-28 19:59:02 UTC;27480;920252;97.10;50948;428088;1130440;107.65;578108;294136;136
isaacpi;1;2017-03-28 19:59:03 UTC;27292;920440;97.12;50948;428096;1130440;107.65;589644;282612;144
isaacpi;1;2017-03-28 19:59:04 UTC;27324;920408;97.12;50948;428108;1130440;107.65;601140;271232;156
isaacpi;1;2017-03-28 19:59:05 UTC;27324;920408;97.12;50948;428120;1130440;107.65;609132;263152;168
isaacpi;1;2017-03-28 19:59:06 UTC;27324;920408;97.12;50956;428132;1130440;107.65;609172;263124;184
isaacpi;1;2017-03-28 19:59:07 UTC;27324;920408;97.12;50956;428144;1130440;107.65;609192;263124;196
