time,Payload no,Payload Yes,p1,p2
1,99.5,99.75,0.5,0.25
2,99.25,99.75,0.75,0.25
3,98.51,99.75,1.49,0.25
4,99.25,99.75,0.75,0.25
5,82.54,97.98,17.46,2.02
6,99.5,99.5,0.5,0.5
7,99.5,99.25,0.5,0.75
8,99.5,99.75,0.5,0.25
9,99.25,99.25,0.75,0.75
10,64.5,81.61,35.5,18.39
11,49.75,74.87,50.25,25.13
12,81.41,81.61,18.59,18.39
13,98.26,99.5,1.74,0.5
14,99.5,99.5,0.5,0.5
15,98.75,99.25,1.25,0.75
16,99.5,99.25,0.5,0.75
17,97.51,99.75,2.49,0.25
18,99.5,99.75,0.5,0.25
19,99.25,99.25,0.75,0.75
20,98.75,98.26,1.25,1.74
21,99.25,98.74,0.75,1.26
22,99.25,91.73,0.75,8.27
23,99,99,1,1
24,99.25,99.25,0.75,0.75
25,99,99.5,1,0.5
26,99.25,83.92,0.75,16.08
27,99.5,74.75,0.5,25.25
28,99.5,99,0.5,1
29,98.99,98.76,1.01,1.24
30,99,99.25,1,0.75
31,99.5,96.25,0.5,3.75
32,98.75,99.5,1.25,0.5
33,98.75,99.75,1.25,0.25
34,99.5,99.5,0.5,0.5
35,99.5,97.98,0.5,2.02
36,99.5,92.27,0.5,7.73
37,99,91.48,1,8.52
38,98.99,75,1.01,25
39,99.5,77.64,0.5,22.36
40,99,99.5,1,0.5
41,99.25,99.5,0.75,0.5
42,99.5,99,0.5,1
43,99.25,83.38,0.75,16.62
44,99.25,99.5,0.75,0.5
45,99,99.5,1,0.5
46,69.67,98.75,30.33,1.25
47,97.75,99.5,2.25,0.5
48,99.5,99,0.5,1
49,99.25,97.51,0.75,2.49
50,84.17,99.25,15.83,0.75
51,99.5,98.51,0.5,1.49
52,99.25,84.21,0.75,15.79
53,98.25,92.23,1.75,7.77
54,99.25,98.75,0.75,1.25
55,99,99.5,1,0.5
56,99.25,97.24,0.75,2.76
57,99.25,100,0.75,0
58,99.5,98.74,0.5,1.26
59,99.5,99.5,0.5,0.5
60,99.5,97.24,0.5,2.76
61,99.5,81.52,0.5,18.48
62,99.25,68.84,0.75,31.16
63,99.24,70.53,0.76,29.47
64,98.75,73.05,1.25,26.95
65,98.5,68.59,1.5,31.41
66,99.5,49.11,0.5,50.89
67,99,38.64,1,61.36
68,99.5,49.62,0.5,50.38
69,99.5,71.28,0.5,28.72
70,99.25,73.99,0.75,26.01
71,98.51,72.47,1.49,27.53
72,99.25,69.92,0.75,30.08
73,99.25,70.03,0.75,29.97
