id,type,title,time,,
oTraP,mist_file_light_0.txt,Started deployment,1489840687472.00,12:38:07.5,0:01:57.8
oTraP,mist_file_light_0.txt,Recieved deployment ,1489840689198.00,12:38:09.2,
oTraP,mist_file_light_0.txt,Started deployment to Camunda,1489840689286.00,12:38:09.3,
oTraP,mist_file_light_0.txt,Finished deployment to Camunda,1489840723805.00,12:38:43.8,
oTraP,mist_file_light_0.txt,Mist-docker  started,1489840727885.00,12:38:47.9,
oTraP,mist_file_light_0.txt,Mist-docker  completed,1489840795171.00,12:39:55.2,
oTraP,mist_file_light_0.txt,Sending response to callback,1489840801188.00,12:40:01.2,
oTraP%2Cmist_file_light_0.txt,Call back recieved,1.48984E+12,,0:00:00.0,
oTraP,mist_file_light_0.txt,Process End,1489840801551.00,12:40:01.6,
oTraP,mist_file_light_0.txt,Started un deployment to Camunda,1489840801562.00,12:40:01.6,
oTraP,mist_file_light_0.txt,Finished un deployment to Camunda,1489840805226.00,12:40:05.2,
AVhvr,mist_file_light_1.txt,Started deployment,1489840849016.00,12:40:49.0,
AVhvr,mist_file_light_1.txt,Recieved deployment ,1489840849297.00,12:40:49.3,
AVhvr,mist_file_light_1.txt,Started deployment to Camunda,1489840849361.00,12:40:49.4,
AVhvr,mist_file_light_1.txt,Started un deployment to Camunda,1489840849450.00,12:40:49.4,
AVhvr,mist_file_light_1.txt,Finished un deployment to Camunda,1489840849480.00,12:40:49.5,
pcObU,mist_file_light_1.txt,Started deployment,1489840864917.00,12:41:04.9,
pcObU,mist_file_light_1.txt,Recieved deployment ,1489840865172.00,12:41:05.2,
pcObU,mist_file_light_1.txt,Started deployment to Camunda,1489840865228.00,12:41:05.2,
pcObU,mist_file_light_1.txt,Finished deployment to Camunda,1489840871658.00,12:41:11.7,
pcObU,mist_file_light_1.txt,Image Fetch Started,1489840871830.00,12:41:11.8,
pcObU,mist_file_light_1.txt,Image Fetch complete,1489840878818.00,12:41:18.8,
pcObU,mist_file_light_1.txt,Mist-docker  started,1489840880840.00,12:41:20.8,
pcObU,mist_file_light_1.txt,Mist-docker  completed,1489840950526.00,12:42:30.5,
pcObU,mist_file_light_1.txt,Sending response to callback,1489840957266.00,12:42:37.3,
pcObU%2Cmist_file_light_1.txt,Call back recieved,1.48984E+12,,0:00:00.0,
pcObU,mist_file_light_1.txt,Process End,1489840958027.00,12:42:38.0,
pcObU,mist_file_light_1.txt,Started un deployment to Camunda,1489840958033.00,12:42:38.0,
pcObU,mist_file_light_1.txt,Finished un deployment to Camunda,1489840961022.00,12:42:41.0,
