# hostname,interval,timestamp,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
isaacpi,1,2017-03-18 13:37:45 UTC,166440,781292,82.44,26560,275672,1202780,114.54,385192,335276,60
isaacpi,1,2017-03-18 13:37:46 UTC,166316,781416,82.45,26560,275680,1202780,114.54,385200,335280,68
isaacpi,1,2017-03-18 13:37:47 UTC,166316,781416,82.45,26560,275692,1202780,114.54,385212,335276,80
isaacpi,1,2017-03-18 13:37:48 UTC,166316,781416,82.45,26560,275704,1202780,114.54,385224,335276,92
isaacpi,1,2017-03-18 13:37:49 UTC,166316,781416,82.45,26568,275708,1202780,114.54,385236,335276,104
isaacpi,1,2017-03-18 13:37:50 UTC,166316,781416,82.45,26568,275724,1202780,114.54,385248,335280,152
isaacpi,1,2017-03-18 13:37:51 UTC,166348,781384,82.45,26568,275736,1202780,114.54,385260,335276,164
isaacpi,1,2017-03-18 13:37:52 UTC,166348,781384,82.45,26568,275748,1202780,114.54,385272,335276,176
isaacpi,1,2017-03-18 13:37:53 UTC,166348,781384,82.45,26568,275760,1202780,114.54,385284,335276,188
isaacpi,1,2017-03-18 13:37:54 UTC,166348,781384,82.45,26568,275772,1202780,114.54,385296,335276,200
isaacpi,1,2017-03-18 13:37:55 UTC,166348,781384,82.45,26576,275780,1202780,114.54,385304,335280,212
isaacpi,1,2017-03-18 13:37:56 UTC,166348,781384,82.45,26576,275792,1202780,114.54,385324,335276,224
isaacpi,1,2017-03-18 13:37:57 UTC,166348,781384,82.45,26576,275804,1202780,114.54,385336,335276,236
isaacpi,1,2017-03-18 13:37:58 UTC,166348,781384,82.45,26576,275816,1202780,114.54,385348,335276,248
isaacpi,1,2017-03-18 13:37:59 UTC,157596,790136,83.37,26576,284408,1202772,114.54,395956,334080,11652
isaacpi,1,2017-03-18 13:38:00 UTC,155344,792388,83.61,26588,284368,1202772,114.54,401212,331208,11796
isaacpi,1,2017-03-18 13:38:01 UTC,151500,796232,84.01,26588,284396,1202772,114.54,408092,328272,11872
isaacpi,1,2017-03-18 13:38:02 UTC,148524,799208,84.33,26588,284408,1202772,114.54,415160,324184,11884
isaacpi,1,2017-03-18 13:38:03 UTC,143192,804540,84.89,26588,284420,1202772,114.54,424328,320348,11896
isaacpi,1,2017-03-18 13:38:04 UTC,140216,807516,85.21,26588,284428,1203764,114.63,429308,318444,11908
isaacpi,1,2017-03-18 13:38:05 UTC,139968,807764,85.23,26596,284440,1212652,115.48,429708,318192,11916
isaacpi,1,2017-03-18 13:38:06 UTC,140776,806956,85.15,26596,283180,1212652,115.48,428440,318164,11992
isaacpi,1,2017-03-18 13:38:07 UTC,140736,806996,85.15,26596,283332,1212652,115.48,428608,318176,12144
isaacpi,1,2017-03-18 13:38:08 UTC,140680,807052,85.16,26596,283456,1212652,115.48,428716,318180,12268
isaacpi,1,2017-03-18 13:38:09 UTC,140840,806892,85.14,26596,283664,1212652,115.48,428888,318188,12476
isaacpi,1,2017-03-18 13:38:10 UTC,140588,807144,85.17,26604,283908,1212652,115.48,429012,318184,12720
